,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-12-31,141.76,-8.62,-0.5741969758888434,0.0,10.8,-8.86,1.0600000000000005,24.6,150.60000000000008,-12.339999999999996,12.7,47.74,93.99,165.45,387.89,747.88,115.0,48.1,21.05,185.29,44.15,229.45,150.0,518.44,25.03,-1.7899999999999991,-12.75,9.919999999999998,-10.70917343387471,7.12,0.44,-1.63,-4.607666530445443,-4.847208827135267,-6.650821413976297,-6.48173273395995,-6.425369840621168,-5.15,-4.92,0.89,0.39,12,2014,0.0,15.012269938650308,-24.47
2015-03-31,67.99,-19.69,-1.31,0.0,-14.6,-23.56,-13.95,27.75,91.55,-28.3,2.18,48.82,104.51,168.46,379.76,748.3,146.51,47.7,16.34,211.04,38.51,249.55,150.0,498.74,-32.76,-3.71,25.96,9.61,-5.295,8.35,0.5,-1.31,-10.52,-12.56,-15.8,-15.199999999999998,-17.56,-31.13,-28.96,0.8,0.3,3,2015,0.0,15.030534351145038,-19.69
2015-06-30,120.41000000000001,-15.169999999999998,-1.0095926563396442,0.0,5.4,-19.37,-9.68,31.0,139.78000000000003,-27.679999999999996,2.48,77.9,103.11,197.27,371.36,761.29,184.49,47.86,11.76,245.4,32.32,277.72,150.0,483.58,-42.99,10.71,32.58,9.690000000000001,-7.675174686882004,9.62,0.57,-2.32,-7.972300631095811,-9.57372346528973,-12.55028112449799,-11.854010327022374,-14.482432587492827,-19.88,-18.5,0.8,0.38,6,2015,0.0,15.025862068965518,-34.86
2015-09-30,155.6,-7.340000000000003,-0.48875355450236985,0.0,22.0,-7.289999999999999,2.4499999999999993,23.4,162.89000000000001,-13.750000000000007,5.53,82.27,102.66,203.45,362.68,761.24,181.37,63.13,7.21,254.92,30.08,285.0,150.0,476.24,13.009999999999998,-1.33,-8.649999999999999,9.739999999999998,-11.97295640326975,7.37,0.6,-2.81,-3.8543696682464472,-4.536189573459717,-6.1642085308056895,-5.851127962085311,-6.901687203791472,-13.0,-12.27,0.8,0.4,9,2015,0.0,15.01779359430605,-42.2
2015-12-31,141.17000000000002,-40.28999999999999,-2.6863256152260875,0.0,8.98,-42.0,-32.69,24.0,183.16999999999996,-22.549999999999997,7.86,71.6,95.86,188.42,336.43,713.9,179.39,68.61,2.91,252.03,25.93,277.95,150.0,435.95,6.8700000000000045,2.369999999999999,-6.899999999999999,9.310000000000002,-2.2316728716803182,8.26,0.64,-5.5,-22.565135167899136,-24.65558491938416,-36.96384046551097,-33.77932355437022,-39.01521638986543,-17.77,-17.0,0.75,0.37,12,2015,0.0,14.998181818181818,-82.49
2016-03-31,158.81,-12.79,-0.85,0.0,16.21,-10.48,-2.91,20.2,169.28,-10.16,2.35,96.22,99.67,213.18,330.86,725.77,190.2,81.91,2.87,276.4,26.22,302.61,150.0,423.16,-13.54,-1.98,10.01,7.57,-5.94,7.16,0.72,-0.85,-7.04,-5.68,-12.08,-11.08,-9.32,-8.14,-8.05,0.77,0.41,3,2016,0.0,15.047058823529412,-12.79
2016-06-30,204.79000000000002,-7.560000000000002,-0.5052383292383295,0.0,20.6,-5.620000000000001,1.84,19.5,210.42,-9.579999999999998,2.88,102.75,128.45,257.24,328.79,756.18,197.24,112.76,2.82,314.34,26.24,340.58,150.0,415.6,-15.02,9.3,6.24,7.459999999999999,-9.650099206349203,7.04,0.82,-1.36,-3.9973267813267825,-3.1503095823095832,-7.281375921375924,-6.731557739557741,-5.4090221130221146,-5.66,-5.6,0.82,0.41,6,2016,0.0,14.963235294117647,-20.35
2016-09-30,200.93999999999994,-14.909999999999997,-0.9937180941576856,0.0,18.32,-12.649999999999999,-5.18,18.9,213.58999999999997,-15.809999999999999,4.77,117.1,147.03,292.4,328.71,791.01,237.7,118.52,3.52,361.28,29.05,390.33,150.0,400.69,-34.58,-6.800000000000001,43.28,7.470000000000001,-4.753360160965795,7.08,0.97,-2.35,-7.543800340328983,-6.2583096993760625,-14.884628474191718,-13.599137833238794,-11.315700510493475,-6.32,-6.25,0.81,0.4,9,2016,0.0,15.004255319148935,-35.26
2016-12-31,175.63,-29.360000000000007,-1.958242030331167,0.0,6.519999999999996,-21.75,-14.309999999999999,21.5,197.38,-23.870000000000005,1.6,97.69,147.03,273.89,576.08,1017.99,235.52,120.68,3.07,360.53,84.06,444.59,150.0,573.4,1.6099999999999994,-1.58,-3.200000000000003,7.440000000000001,-2.7456897138964576,5.62,0.78,-4.31,-11.5404518724853,-10.595406994738472,-20.482030331166822,-23.2626431445373,-13.957585886722379,-8.84,-8.73,0.76,0.35,12,2016,0.0,14.993039443155455,-64.62
2017-03-31,171.14,-9.42,-0.63,0.0,16.24,-7.18,-0.3,20.9,178.32,-9.55,11.68,101.58,135.16,272.94,570.6,1011.43,232.56,121.9,2.61,363.54,82.26,445.81,150.0,565.62,10.1,-1.04,1.02,6.88,-8.2925,5.54,0.79,-0.63,-3.72,-3.32,-6.68,-7.64,-4.44,-5.58,-5.5,0.75,0.38,3,2017,0.0,14.952380952380953,-9.42
2017-06-30,206.67000000000002,-9.78,-0.64690625,0.0,22.710000000000004,-6.75,0.13999999999999999,20.0,213.42000000000002,-8.64,17.44,103.46,149.54,298.88,565.55,1012.58,189.57,127.91,1.91,321.0,83.28,404.28,176.24,608.3,-16.06,18.34,3.48,6.89,-7.730061349693251,5.79,0.66,-1.27,-3.8712499999999994,-3.21925,-6.4385,-7.640624999999999,-4.095374999999999,-5.14,-5.08,0.93,0.47,6,2017,0.0,15.118110236220472,-19.2
2017-09-30,216.04000000000002,1.6600000000000001,0.10410490307867733,0.0,33.459999999999994,4.529999999999999,11.47,20.0,211.51,1.9800000000000004,1.09,106.8,131.21,269.33,559.8,976.67,193.65,85.68,1.68,282.28,84.43,366.71,176.24,609.96,-17.66,-2.2300000000000004,3.5500000000000007,6.940000000000001,48.02367469879517,5.78,0.6,-1.1,0.6814139110604335,0.4012770809578108,1.0902622576966934,1.3136145952109466,0.5110604332953251,-2.99,-2.95,0.95,0.49,9,2017,0.0,15.945454545454544,-17.54
