,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2008-03-31,441.59,55.24,0.1,0.2,93.7,69.16,79.12,6.9,0.0,372.43,64.9,44.34,277.45,204.89,1121.38,538.62,1664.65,27.42,184.68,458.55,0.0,458.55,143.0,1206.1,-113.16,-27.56,27.4,9.96,17.25,0.82,0.38,0.1,0.2,2.0,13.28,16.56,18.32,19.28,22.92,12.68,12.51,0.0,2.45,2.0,3,2008,110.48,552.4,55.24
2008-06-30,488.46999999999997,68.75999999999999,0.12199354838709676,0.003987096774193553,114.92,87.56,98.25,4.98,0.0,400.90000000000003,83.57999999999998,77.95,202.3,193.53,1250.74,564.5,1816.26,139.57,193.42,655.81,0.0,655.81,143.0,1160.45,73.75,-36.150000000000006,-4.039999999999999,10.689999999999998,10.207097149505529,0.61,0.57,0.22,0.2,0.91,15.149380645161289,20.561458064516124,23.71110967741935,24.620516129032254,29.96605161290322,13.5,13.33,0.0,1.91,1.61,6,2008,2.2472727272727298,563.6363636363636,124.0
2008-09-30,465.3900000000001,79.13999999999999,0.14025007384070098,0.10022733985518267,133.51999999999998,100.85999999999999,112.19,3.12,0.0,364.55000000000007,102.9,37.08,306.85,226.46,1344.01,591.43,1939.52,176.3,216.85,757.13,0.0,757.13,143.0,1182.39,19.599999999999998,-38.050000000000004,-22.419999999999998,11.330000000000002,5.563633434420016,0.38,0.64,0.36,0.3,0.83,16.31575859013488,23.15684552525352,26.77218076203603,27.972098060450918,33.940517869449636,14.7,14.56,0.0,1.78,1.48,9,2008,56.55606060606057,564.2777777777777,203.14
2008-12-31,437.8599999999999,70.31,0.12341854086670324,0.0028487840555860835,147.72000000000003,94.14000000000004,105.89999999999998,2.14,18.75,343.7099999999998,124.35000000000002,55.4,276.26,295.39,979.89,614.29,1598.39,60.0,194.15,345.68,0.0,345.68,143.0,1252.7,170.76,-34.290000000000006,-118.13,11.760000000000002,4.336463518702887,0.24,0.28,0.48,0.3,0.63,17.59742695191077,21.9376456390565,22.45188955933443,23.398098372645823,28.879938562808558,14.96,14.92,0.0,2.83,1.98,12,2008,1.622916666666697,569.6875,273.45
2009-03-31,423.72,67.48,0.12,0.15,111.43,85.99,99.17,1.95,0.0,337.73,89.3,45.58,290.84,250.25,966.59,617.73,1588.14,0.0,133.72,267.96,0.0,267.96,143.0,1320.18,68.31,-16.22,-61.89,13.18,4.0625,0.21,0.2,0.12,0.15,1.25,17.0,21.16,20.44,21.36,26.04,16.05,15.93,0.0,3.61,2.67,3,2009,84.35000000000001,562.3333333333334,67.48
2009-06-30,377.72,52.75,0.09213590617982201,0.0026698827247774786,99.56,68.39999999999999,81.69000000000001,2.76,4.16,309.31999999999994,74.58,119.39,279.56,212.21,868.12,617.07,1487.49,0.0,114.52,200.15,0.0,200.15,143.0,1287.34,172.76,-11.93,-87.04,13.29,7.487309004739337,0.31,0.16,0.21,0.15,0.71,14.180154703484986,16.408966148215917,16.391416451800715,17.233801879730517,21.042086001829826,15.22,15.0,208.64,4.34,3.28,6,2009,1.5285714285714107,572.5238095238095,120.23
2009-09-30,345.39999999999986,59.92,0.10310963086316959,0.07222116490226399,94.82,71.91000000000003,85.5,2.74,0.0,273.49,60.45000000000002,233.53,242.3,184.56,873.52,608.49,1483.35,9.35,71.03,176.13,0.0,176.13,143.0,1307.22,150.70999999999998,-4.18,-32.389999999999986,13.590000000000003,6.644384178905207,0.3,0.13,0.31,0.22,0.71,16.151624757146823,17.58850735498196,18.333557590896472,19.251565917291146,23.030034970857617,15.99,15.71,44.9,4.96,3.91,9,2009,41.96981566820277,581.1290322580645,180.15
2009-12-31,223.85000000000014,27.169999999999987,0.047179239822496596,-0.002001829803389482,51.20999999999998,29.80000000000001,43.31999999999999,3.16,4.16,194.04999999999995,40.819999999999965,328.5,238.24,179.37,876.31,599.34,1476.6,0.0,91.82,142.21,0.0,142.21,143.0,1334.39,108.19000000000005,-3.5600000000000023,-9.689999999999998,13.519999999999996,16.748892160471115,0.34,0.11,0.36,0.22,0.61,7.35996141230947,8.733401504919927,8.146282076017746,8.403146826162452,10.059662357707888,15.36,15.13,47.69,6.16,4.9,12,2009,-1.1528315412186316,575.8888888888889,207.32
2010-03-31,215.19,14.21,0.02,0.09999999999999999,41.38,17.92,31.04,2.76,0.0,197.27,20.3,430.36,227.97,176.74,957.04,591.46,1551.34,0.0,110.01,202.74,0.0,202.74,143.0,1348.6,106.12,-4.25,0.0,13.12,34.5,0.29,0.15,0.02,0.1,5.0,3.68,4.56,4.2,4.24,5.32,6.7,6.6,0.0,4.72,3.85,3,2010,71.05,710.5,14.21
2010-06-30,217.95999999999998,25.93,0.04521923268560041,-0.02390383657199802,54.059999999999995,28.799999999999997,41.96,2.9,0.11,189.16,30.959999999999997,395.92,143.3,159.49,875.92,586.87,1466.82,0.0,86.49,149.49,0.0,149.49,143.0,1317.33,29.99000000000001,-7.25,-57.2,13.160000000000002,16.03355379868878,0.31,0.11,0.07,0.1,1.43,7.080039860488292,8.1653014449427,7.881066268061783,7.95858495266567,9.173044344793224,9.41,9.27,0.0,5.86,4.79,6,2010,-13.707142857142863,573.4285714285713,40.14
2010-09-30,294.5,60.120000000000005,0.10793536804308798,0.03705052577583998,85.85,72.7,85.82,3.02,0.1,221.8,67.49000000000001,405.79,213.25,161.83,950.55,582.14,1533.44,0.0,116.04,178.86,0.0,178.86,143.0,1354.57,39.92999999999998,-7.170000000000002,-22.879999999999995,13.119999999999997,6.995853293413173,0.32,0.13,0.18,0.14,0.78,15.686606822262119,18.996624775583484,17.749371633752247,18.061184919210053,21.155332136445246,14.1,13.78,0.0,5.31,4.41,9,2010,20.63714285714287,557.0,100.26
2010-12-31,262.51,43.2,0.07528230865746549,0.004108462289139838,81.04999999999998,51.66000000000001,64.61000000000001,3.2,0.06,210.85000000000002,54.849999999999994,467.84,179.94,140.54,977.18,577.25,1555.1,0.0,95.82,154.37,17.17,171.54,143.0,1383.56,68.52000000000001,-6.459999999999997,-0.010000000000005116,12.950000000000003,10.626666666666667,0.33,0.12,0.25,0.14,0.56,11.117691342534505,13.598996235884567,12.490840652446673,12.71969887076537,14.70715181932246,14.81,14.49,17108.0,6.33,5.42,12,2010,2.357600000000005,573.84,143.46
2011-03-31,266.0,28.83,0.05,0.1,60.35,36.79,49.16,3.3,0.0,229.2,38.11,476.6,201.65,160.93,1089.82,574.32,1666.61,0.0,138.49,236.14,18.08,254.22,143.0,1412.39,15.86,-7.1,0.0,12.37,16.5,0.33,0.18,0.05,0.1,2.0,6.92,9.16,8.16,8.36,10.28,11.01,10.84,0.0,4.62,3.93,3,2011,57.66,576.5999999999999,28.83
2011-06-30,316.0,38.31,0.06847184986595174,-0.0030563002680965034,81.5,54.910000000000004,67.13000000000001,3.12,0.0,261.11,55.45,431.69,306.83,171.0,1132.43,573.2,1711.87,0.0,195.03,299.38,18.99,318.36,143.0,1393.51,20.25,-7.950000000000001,-57.2,12.22,11.391542678151918,0.32,0.23,0.12,0.1,0.83,8.946988382484362,13.169419124218052,11.001143878462914,11.297855227882039,14.812743521000895,11.69,11.54,0.0,3.78,3.21,6,2011,-1.7099999999999937,559.5,67.14
2011-09-30,361.17999999999995,46.989999999999995,0.08234469464645579,0.07195391220537985,89.02000000000001,64.39999999999999,76.92999999999999,2.32,0.0,296.77000000000004,63.03999999999999,390.93,278.49,177.49,1135.04,579.34,1719.81,0.0,182.36,299.46,19.9,319.36,143.0,1400.45,134.83999999999997,-135.57,-40.03999999999999,12.529999999999998,7.043562460097894,0.24,0.23,0.2,0.17,0.85,10.935375449049328,15.810181372119512,13.422185227372296,13.652750372382368,18.099363883290984,12.27,12.1,0.0,3.79,3.2,9,2011,41.060500000000005,570.65,114.13
2011-12-31,295.34000000000003,58.95000000000002,0.10217818349896003,0.0018514559741160215,100.43,65.97,79.05999999999997,2.92,0.27,229.37,78.21000000000001,524.35,186.36,175.94,1165.24,574.7,1745.06,0.0,161.41,264.95,20.72,285.67,143.0,1459.4,136.88,-3.469999999999999,0.0,13.090000000000003,7.141935538592025,0.29,0.2,0.3,0.17,0.57,13.514767737462448,18.337577998613362,16.15777675063555,16.593737000231112,20.43563669979201,14.17,13.97,0.0,4.4,3.73,12,2011,1.06816666666667,576.9333333333334,173.08
2012-03-31,396.05,51.5,0.09,0.13,85.42,59.93,72.51,2.98,0.0,336.12,60.32,575.68,260.1,170.54,1272.6,574.97,1852.92,0.0,164.23,322.89,21.7,344.59,143.0,1508.33,-59.36,113.26,-2.57,12.58,8.2775,0.28,0.23,0.09,0.13,1.44,11.12,13.64,13.64,14.12,15.679999999999998,13.19,13.0,0.0,3.94,3.41,3,2012,74.3888888888889,572.2222222222223,51.5
2012-06-30,347.69,41.44,0.07134064988164407,0.041936494273485864,78.44000000000001,46.800000000000004,59.39,3.1,0.0,300.88,52.800000000000004,504.22,194.87,242.65,1271.83,579.38,1854.48,0.0,198.77,381.06,22.68,403.74,143.0,1450.74,90.53999999999999,-62.980000000000004,-99.03,12.590000000000002,10.866175193050193,0.31,0.28,0.16,0.17,1.06,8.935416397675919,10.6832623197762,11.432339143533461,11.664196255648804,12.912657628577575,12.64,12.5,0.0,3.34,2.7,6,2012,24.3598611111111,580.875,92.94
2012-09-30,422.3299999999999,61.96000000000001,0.10800000000000001,0.05787499999999998,100.13999999999999,76.67999999999999,89.98999999999998,3.86,0.0,345.65999999999997,76.46000000000001,487.3,163.15,207.69,1200.85,577.73,1781.24,0.0,144.03,279.1,23.67,302.77,143.0,1478.47,-24.59,41.900000000000006,-34.23000000000002,13.309999999999995,8.9375,0.37,0.2,0.27,0.23,0.85,13.92,16.768,16.768,17.216,19.536000000000005,13.42,13.28,0.0,4.3,3.56,9,2012,33.20310185185184,573.7037037037037,154.9
2012-12-31,475.01,94.79999999999998,0.1670484581497797,-0.002514276390928346,154.29000000000002,123.59,136.77000000000004,3.94,0.0,351.40999999999997,124.80999999999997,539.89,289.15,199.8,1356.55,567.12,1927.09,0.0,207.12,329.93,23.89,353.82,143.0,1573.27,52.8,-0.20000000000000284,0.0,13.18,5.89349947257384,0.36,0.22,0.44,0.23,0.52,19.681345614737683,25.391365638766516,24.100536643972767,25.01171005206247,29.187921505806962,15.38,15.22,0.0,4.11,3.51,12,2012,-1.4268518518518363,567.5,249.7
2013-03-31,417.34,50.13,0.09000000000000001,0.18,92.9,62.66,75.26,5.15,0.0,354.68,63.4,467.46,376.5,210.7,1395.38,558.41,1973.47,0.0,188.01,319.22,27.22,346.44,143.0,1627.03,-72.17,-0.26,0.0,12.6,14.305,0.45,0.21,0.09,0.18,2.0,10.16,13.12,12.32,12.8,15.16,12.21,12.01,0.0,4.37,3.71,3,2013,100.25999999999999,557.0,50.13
2013-06-30,410.2,37.4,0.06409231120758596,0.008184622415171983,88.71000000000001,46.64,59.17999999999999,3.92,0.0,363.56,38.89000000000001,457.94,348.91,193.21,1345.67,550.97,1918.35,0.0,228.51,328.07,28.54,356.62,143.0,1561.74,94.68,-1.51,-102.69,12.540000000000001,15.288495320855615,0.36,0.23,0.15,0.18,1.2,7.793625042842453,9.895852850451272,9.571118473666171,9.930035416428652,11.74171141322975,10.67,10.58,0.0,4.1,3.51,6,2013,4.776000000000025,583.5333333333334,87.53
2013-09-30,374.09000000000015,52.02000000000001,0.08946470798996776,0.09935764958796132,101.0,65.01,77.71000000000001,3.94,0.0,309.06999999999994,78.42,371.95,407.38,203.56,1249.45,554.23,1811.87,0.0,142.89,225.48,29.69,255.17,143.0,1556.7,-16.19,-12.75,-57.05000000000001,12.700000000000003,11.012163590926567,0.36,0.16,0.24,0.28,1.17,11.481304192045863,14.463461125044788,13.360063059835186,13.717921891795054,16.386952346829094,11.78,11.61,0.0,5.54,4.64,9,2013,57.77233333333335,581.4583333333334,139.55
2013-12-31,436.9699999999998,63.56,0.11265619614986953,-0.008567771158485582,113.66999999999996,79.50999999999999,92.15,3.48,0.0,357.47,54.849999999999994,608.45,250.69,205.04,1350.25,551.78,1910.4,0.0,206.13,259.59,30.55,290.14,143.0,1620.27,242.01000000000002,-5.510000000000002,0.0,12.639999999999993,7.725274150409063,0.31,0.18,0.36,0.28,0.78,13.305948500812368,16.56046083403082,15.696763330215152,15.922075722514894,19.251692186499923,12.54,12.4,0.0,5.2,4.41,12,2013,-4.833888888888907,564.1944444444445,203.11
2014-03-31,426.29,58.07,0.1,0.18,105.11,73.26,85.32,3.36,0.0,353.03,75.31,564.71,266.28,217.59,1419.25,541.88,1969.34,0.0,191.49,258.98,32.01,291.0,143.0,1678.34,-43.53,-0.2,0.0,12.06,8.4,0.29,0.17,0.1,0.18,1.8,11.8,14.880000000000003,13.84,14.04,17.12,13.8,13.62,0.0,5.48,4.64,3,2014,104.52599999999998,580.6999999999999,58.07
2014-06-30,391.71,46.419999999999995,0.07996554694229112,-6.201550387594686e-05,97.33,57.89,69.88,4.06,0.0,333.82000000000005,64.97,576.56,304.15,191.57,1354.44,537.34,1899.92,0.0,148.07,244.38,33.48,277.85,143.0,1622.07,116.15,-1.62,-102.69,11.99,12.695467470917707,0.36,0.17,0.18,0.18,1.0,9.773566848502249,12.208073499856445,11.443958273518998,11.657199732031772,14.073936261843237,12.9,12.77,0.0,5.54,4.76,6,2014,-0.03599999999998715,580.5,104.49
2014-09-30,327.8399999999999,44.09000000000002,0.07715304886256566,0.11715304886256561,84.31,55.23999999999998,67.17000000000002,4.18,0.0,272.6,35.53999999999999,229.01,191.1,173.26,1309.96,529.47,1848.82,0.0,117.18,216.75,34.38,251.12,143.0,1597.7,157.94,-437.02,-68.46000000000001,11.929999999999996,13.547099115445674,0.37,0.16,0.26,0.3,1.15,9.543238659308118,12.08335442186028,11.038820837259392,11.181257235159514,13.555197200161535,13.11,12.97,0.0,6.04,5.24,9,2014,66.94846153846153,571.4615384615385,148.58
2014-12-31,361.9200000000001,62.42999999999998,0.10946921946827161,-0.0006124390750711865,107.43,77.75999999999999,90.02999999999997,3.78,0.0,284.15999999999985,70.69,220.17,262.37,162.28,1332.06,519.72,1862.7,0.0,114.27,166.91,35.32,202.23,143.0,1660.47,-31.28,22.439999999999998,0.0,12.270000000000003,8.635760852154416,0.33,0.12,0.37,0.3,0.81,13.408500071086674,16.56831429790057,15.04166248045116,15.21918013364295,18.438166911520774,14.16,13.99,0.0,7.98,7.01,12,2014,-0.3492723492723542,570.2972972972973,211.01
2015-03-31,284.5,18.75,0.03,0.25,52.02,23.6,35.42,3.98,0.0,260.89,18.94,559.7,129.15,161.62,1346.72,510.0,1869.46,0.0,105.76,153.58,36.77,190.35,143.0,1679.11,99.06,240.47,0.0,11.82,33.1675,0.34,0.11,0.03,0.25,8.33,4.0,4.920000000000001,4.48,4.48,5.52,6.7,6.59,0.0,8.77,7.72,3,2015,156.25,625.0,18.75
2015-06-30,222.60000000000002,15.04,0.026706126072802604,-0.02744894939331165,43.57,18.879999999999995,31.099999999999994,3.52,0.0,203.73000000000002,12.23,405.79,214.43,165.66,1164.26,496.47,1724.6,0.0,92.61,133.17,38.37,171.55,143.0,1553.05,16.22,-28.930000000000007,-142.62,12.219999999999999,32.953113364361705,0.32,0.11,0.06,0.25,4.17,3.489600473512873,4.166155667357206,3.8812903225806457,3.7922699023379693,4.753690440958863,6.82,6.66,0.0,8.74,7.5,6,2015,-15.458333333333343,563.1666666666666,33.79
2015-09-30,339.15999999999997,36.669999999999995,0.0624524552937837,0.07021856372409876,79.09,45.95000000000001,58.27000000000001,3.72,0.0,293.21000000000004,48.269999999999996,293.97,290.44,161.63,1205.04,487.76,1763.91,0.0,114.01,162.14,39.98,202.12,142.63,1561.79,16.75999999999999,-92.94,-34.22,12.32,14.891328061085357,0.34,0.13,0.12,0.31,2.58,8.306176554073232,10.200567697984672,9.388685779165483,9.284598353675845,11.4912517740562,8.43,8.33,0.0,7.43,6.44,9,2015,41.22999999999999,587.1666666666666,70.46
2015-12-31,245.43000000000006,12.670000000000002,0.02286178274990978,-0.018440394562732994,53.94,16.08999999999999,28.219999999999985,2.76,0.0,229.32999999999993,15.909999999999997,378.47,264.6,180.61,1222.22,477.22,1769.75,0.0,108.64,155.28,40.41,195.69,142.63,1574.06,93.27000000000001,-8.759999999999991,0.0,12.130000000000003,30.18137332280978,0.25,0.12,0.15,0.31,2.07,2.865343437988693,3.505473354986167,3.2189390111872975,3.1335883555876345,3.9444195837844345,7.7,7.61,0.0,7.87,6.71,12,2015,-10.219666666666626,554.2,83.13
2016-03-31,253.35,14.66,0.03,0.08,51.19,19.11,30.77,2.66,0.0,234.24,14.97,334.58,222.04,166.93,1232.3,466.6,1768.12,0.0,90.31,139.04,42.08,181.12,142.63,1587.0,24.76,-68.65,0.0,11.66,22.1675,0.24,0.11,0.03,0.08,2.67,3.32,4.2,3.6800000000000006,3.6,4.68,5.88,5.79,0.0,8.86,7.66,3,2016,39.093333333333334,488.6666666666667,14.66
2016-06-30,273.81999999999994,18.26,0.033280680437424055,0.008748481166464163,54.46000000000001,23.590000000000003,35.17,2.76,0.0,250.23000000000002,19.5,170.2,262.86,178.62,1258.32,457.65,1785.67,0.0,134.87,182.66,43.49,226.16,142.63,1559.52,31.48,-150.22,-45.64,11.579999999999998,20.732749178532313,0.25,0.15,0.06,0.08,1.33,4.082430133657351,5.391470230862698,4.6814823815309845,4.7036695018226,5.901773997569867,6.34,6.24,0.0,6.89,5.91,6,2016,4.800000000000004,548.6666666666667,32.92
2016-09-30,203.62,1.4099999999999966,0.0024643169239731955,0.05328575589863092,27.48999999999998,1.4599999999999937,13.799999999999997,2.72,0.0,202.16999999999996,-1.8100000000000023,240.98,186.7,168.0,1182.11,448.35,1698.8,0.0,79.85,123.58,43.76,167.34,142.63,1531.46,67.78,31.52000000000001,-28.519999999999996,12.34,275.9182446808517,0.25,0.11,0.06,0.13,2.17,0.33186134576172366,0.41893387707544316,0.3680046606466639,0.3647189047480329,0.4600058258083298,4.77,4.7,0.0,9.57,8.21,9,2016,30.488333333333323,572.1666666666666,34.33
2016-12-31,220.23000000000002,6.140000000000001,0.01062021250308871,0.0013437937566921963,35.26000000000002,6.920000000000002,17.180000000000007,2.58,0.0,213.30000000000007,3.5800000000000054,194.18,162.91,158.64,1209.18,438.95,1718.54,0.0,91.22,135.44,43.3,178.74,142.63,1539.8,62.489999999999995,-109.28999999999999,0.0,10.260000000000005,60.73795602605862,0.24,0.12,0.07,0.13,1.86,1.426142821843341,1.7781270076599953,1.5960662218927602,1.5778601433160369,1.9601877934272303,4.32,4.26,0.0,8.93,7.76,12,2016,0.7769047619047598,578.1428571428571,40.47
2017-03-31,249.95,1.28,0.0,,29.08,3.57,14.32,2.38,0.0,246.38,-1.14,170.22,142.75,145.88,1242.2,429.88,1739.43,0.0,118.7,155.84,45.18,201.02,142.63,1538.41,34.56,-58.52,0.0,10.75,0.0,0.22,0.13,0.0,0.02,0.0,0.28,0.8,0.32,0.32,0.92,0.52,0.51,0.0,7.97,7.03,3,2017,inf,inf,1.28
2017-06-30,246.75,7.999999999999999,0.017241379310344827,-inf,35.07000000000001,8.66,19.35,2.36,0.0,238.09000000000003,4.01,117.46,138.65,139.58,1214.84,424.59,1706.0,0.0,96.49,128.25,43.63,171.88,142.63,1534.12,12.5,-53.85,-11.41,10.690000000000001,34.220000000000006,0.22,0.11,0.02,0.02,1.0,1.8620689655172413,2.4137931034482754,2.068965517241379,2.068965517241379,2.689655172413793,1.9,1.87,0.0,9.47,8.38,6,2017,-inf,463.99999999999994,9.28
2017-09-30,168.66000000000003,4.9300000000000015,0.006938775510204083,0.026938775510204082,27.689999999999998,6.599999999999998,16.57,2.44,0.06,162.06999999999994,17.75,184.69,162.2,125.5,1178.75,418.22,1662.17,0.0,54.57,90.9,44.77,135.68,142.63,1526.49,-21.000000000000004,99.64,-11.41,9.969999999999999,87.91176470588233,0.23,0.09,0.02,0.04,2.0,1.179591836734694,1.5542857142857147,1.2906122448979596,1.2906122448979596,1.6653061224489798,2.19,2.14,0.0,12.97,11.59,9,2017,19.14,710.5,14.21
