,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-09-30,,,,,,,,,0.0,,,134.97,416.4,100.83,659.5,127.86,859.69,0.0,91.18,220.56,0.0,220.56,100.0,639.13,,,,,,0.0,0.35,1.18,0.0,0.0,,,,,,13.49,13.41,0.0,2.99,2.53,9,2005,,100.28813559322035,118.34
2005-12-31,204.55000000000007,36.47999999999999,0.3463738535072987,0.0,43.70999999999998,43.359999999999985,46.870000000000005,1.59,0.0,161.18999999999994,33.75,144.75,369.26,105.92,879.93,130.99,1083.27,0.0,65.56,178.48,0.0,178.48,143.0,904.78,33.34,-253.20000000000002,229.18,3.51,1.145871710526316,0.25,0.2,1.47,0.0,0.0,13.468523446583124,0.0,16.12641260819015,0.0,22.384704818498896,14.46,14.24,0.0,4.93,4.34,12,2005,0.0,105.31972789115646,154.82
2006-03-31,278.94,41.63,0.29,0.7,65.77,51.06,54.73,1.88,0.0,227.88,43.43,471.77,110.42,105.14,944.09,158.95,1130.68,0.0,91.4,184.26,0.0,184.26,143.0,946.41,106.02,221.14,0.0,3.67,1.6174999999999997,0.28,0.19,0.29,0.7,2.41,14.72,0.0,17.6,0.0,21.6,15.44,14.92,0.0,5.12,4.55,3,2006,100.48620689655172,143.55172413793105,41.63
2006-06-30,264.64000000000004,55.10999999999999,0.38737647302046724,-0.006332651329906807,90.09000000000002,69.33,74.0,2.0,0.0,195.31,64.69999999999999,394.48,338.67,155.53,924.86,166.93,1107.97,0.0,81.09,206.55,0.0,206.55,143.0,901.42,-12.5,35.19999999999999,-100.11,4.67,1.2902177463255309,0.32,0.23,0.68,0.7,1.03,19.892921232168696,0.0,24.450291502997725,0.0,30.443233409137893,18.32,17.8,0.0,4.48,3.72,6,2006,-0.9009127789046829,142.26470588235293,96.74
2006-09-30,393.9699999999999,105.39999999999999,0.7352033244286137,0.00535636338239676,144.27999999999997,131.69,136.68000000000004,2.04,0.0,262.28000000000003,122.64000000000001,390.74,494.71,182.69,1108.87,227.55,1339.17,0.0,134.84,332.34,0.0,332.34,143.0,1006.82,47.33,-51.089999999999975,0.0,4.99,0.695215844402277,0.29,0.33,1.41,0.7,0.5,31.47295933511428,47.82471554368259,41.88051845255763,51.2243791431681,52.225507074304936,22.18,21.56,0.0,3.34,2.79,9,2006,0.7678973717146675,143.36170212765958,202.14
2006-12-31,393.44000000000005,85.44999999999999,0.5972200006954343,0.4986198585012794,122.55000000000001,106.28,111.53999999999996,3.45,0.0,287.15999999999997,99.22999999999999,352.14,605.05,216.91,1186.78,288.56,1477.56,0.0,143.96,456.78,0.0,456.78,143.0,1020.78,80.71000000000001,-47.77000000000001,-71.51,5.26,1.4472053832650673,0.48,0.45,2.01,1.2,0.6,23.12816161897145,33.26604541187106,33.47997496435898,35.500420737855976,41.728147710281995,22.18,21.61,0.0,2.6,2.12,12,2006,71.34233089869798,143.07960199004975,287.59
2007-03-31,366.91,64.35,0.45000000000000007,0.7,95.05,79.97,84.9,3.63,0.0,286.94,72.27,453.98,582.45,301.0,1350.86,326.82,1678.95,0.0,227.04,593.82,0.0,593.82,143.0,1085.12,142.4,-40.53,0.0,4.93,2.015,0.48,0.55,0.45,0.7,1.56,15.32,22.76,23.72,25.36,29.48,18.01,17.54,0.0,2.27,1.77,3,2007,100.09999999999998,142.99999999999997,64.35
2007-06-30,474.72999999999996,89.24000000000001,0.6216993293834235,0.0026434012631031015,129.57999999999998,111.78999999999999,117.85,5.48,0.0,362.94,104.82000000000001,249.33,259.98,206.5,1198.21,366.87,1565.31,0.0,184.67,491.04,0.0,491.04,143.0,1074.27,-61.24000000000001,-43.34,-100.1,6.0600000000000005,2.2029941730165845,0.73,0.46,1.07,0.7,0.65,22.79951559346312,33.35097337066215,33.234767888534414,36.139904941727984,41.485357119604146,18.65,18.25,0.0,2.44,2.02,6,2007,0.3794392523364536,143.54205607476635,153.59
2007-09-30,541.18,107.05999999999997,0.7475511221945136,0.6983979304076258,157.51999999999998,133.95,140.13,8.75,0.0,407.2299999999999,131.60999999999999,157.28,229.32,153.14,1073.77,449.08,1526.58,0.0,177.51,445.36,0.0,445.36,143.0,1081.22,95.77000000000001,-87.43,-100.39000000000001,6.1800000000000015,2.9276258640014947,1.16,0.41,1.82,1.4,0.77,28.04548935353922,37.344696719739105,39.61199462881258,41.024948398235175,49.48624131977747,19.16,18.85,0.0,2.41,2.07,9,2007,100.02056074766354,143.2142857142857,260.65
2007-12-31,472.20000000000005,69.63,0.1222762504541601,1.0479048080416615,107.91000000000003,87.39000000000004,95.89999999999998,8.7,0.0,384.8100000000002,80.19,157.71,203.62,186.13,1176.09,521.01,1700.1,0.0,232.62,549.24,0.0,549.24,143.0,1150.85,80.38999999999999,-79.97999999999999,0.0,8.509999999999998,17.787591555364067,1.08,0.48,0.58,1.4,2.41,16.385017560857452,21.925396633159746,24.202264745064795,25.652714060796903,30.265480198619354,18.11,17.8,0.0,2.14,1.8,12,2007,596.7275862068965,569.448275862069,330.28
