,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2004-06-30,124.31,44.17,0.36618814905314595,9.005431259034319,,59.08,61.69999999999999,16.0,0.0,65.22999999999999,230.88,20.75,1453.68,99.6,120.0,1354.06,-12.920000000000016,119.99,-120.0,2.62,10.921980982567353,1.42,0.07,0.95,10.0,10.53,12.149737324373854,17.052803909590715,13.044007330482591,13.491142333536958,39.6,6,2004,,1086.244597866045,,120.62105263157896,114.59
2004-09-30,121.62,41.41,0.3450833333333333,-0.05175438596491328,,53.22,55.91,16.7,0.0,68.4,332.09,20.81,1483.04,87.54,120.0,1395.48,103.68,-2.469999999999999,0.0,2.6900000000000004,12.102149239314176,1.44,0.06,1.3,10.0,7.69,11.170082051282051,15.289846153846154,11.870866666666666,12.16816923076923,37.96,9,2004,,-6.210526315789593,,120.0,156.0
2004-12-31,115.73000000000002,22.389999999999986,0.18701216435898865,-0.022983351084702747,,31.099999999999994,33.72,16.6,0.0,84.63,295.22,20.92,1523.99,106.11,120.0,1417.86,-35.27000000000001,-1.5999999999999943,0.0,2.619999999999999,22.189198302813768,1.4,0.07,1.49,10.0,6.71,5.87895958293626,8.007634957116425,6.315739671506247,6.426189808845784,33.87,12,2004,,-2.7516778523490757,,119.72483221476509,178.39
2005-03-31,106.15,30.19,0.25,0.0,,40.27,42.81,21.9,0.0,65.88,295.36,21.8,1533.03,84.96,120.0,1448.06,3.06,-2.92,0.0,2.54,21.9,1.81,0.06,0.25,0.0,0.0,7.88,10.48,8.32,8.36,28.44,3,2005,,0.0,,120.76,30.19
2005-06-30,113.00999999999999,26.77,0.2208900983146067,2.0,,34.199999999999996,36.78999999999999,21.0,0.0,78.81,50.07,20.65,1318.16,83.32,120.0,1234.82,-4.61,-0.6699999999999999,-240.0,2.59,23.76702278670153,2.04,0.07,0.47,2.0,4.26,8.12123595505618,10.095147471910112,8.666411516853934,8.271629213483147,25.99,6,2005,,242.38297872340428,,121.19148936170214,56.96
2005-09-30,103.32000000000002,22.699999999999996,0.1880743158423299,-0.00819440067093692,,28.810000000000002,30.840000000000003,23.5,0.0,74.50999999999999,122.26,21.2,1343.78,86.24,120.0,1257.52,196.78,-124.59,0.0,2.0300000000000002,31.241107929515422,2.24,0.07,0.66,2.0,3.03,6.759276926939492,8.332262113984433,7.215214662314836,6.850464474014561,24.7,9,2005,,-0.9890393294649016,,120.69696969696969,79.66
2005-12-31,115.12,24.260000000000005,0.20310046189376446,-0.02090769123101668,,34.46000000000001,35.120000000000005,22.5,0.0,80.66000000000003,123.23,20.45,1384.87,103.06,120.0,1281.78,8.0,-7.039999999999992,0.0,0.6600000000000001,27.693437757625716,2.11,0.08,0.87,2.0,2.3,7.003464203233257,8.843040800615862,7.5730792917628955,7.190223248652812,23.75,12,2005,,-2.497387669801441,,119.44827586206897,103.92
2006-03-31,102.46,19.47,0.16,0.0,,26.05,28.45,23.4,0.0,76.41,186.44,43.47,1379.16,77.9,120.0,1301.25,69.86,-6.65,0.0,2.4,36.5625,2.16,0.06,0.16,0.0,0.0,5.64,7.16,6.0,5.68,19.0,3,2006,,0.0,,121.68749999999999,19.47
2006-06-30,103.67999999999999,14.46,0.11932802829354555,0.7,,22.37,21.779999999999998,22.2,0.0,81.31,119.67,56.39,1314.28,82.56,120.0,1231.72,-180.66,197.89000000000001,-84.0,-0.5899999999999999,46.512961618257265,2.16,0.07,0.28,0.7,2.5,4.398090185676393,6.273244916003537,4.687886825817861,4.687886825817861,16.46,6,2006,,84.82499999999999,,121.17857142857142,33.93
2006-09-30,101.91000000000003,24.21,0.1998761609907121,-0.0003095975232197673,,29.840000000000003,34.73,16.5,0.0,72.06,47.14,74.2,1338.42,82.5,120.0,1255.92,-49.239999999999995,-23.29000000000002,0.0,4.890000000000001,20.640780669144984,1.58,0.07,0.48,0.7,1.46,7.228854489164087,9.727306501547988,7.711888544891641,7.711888544891641,18.87,9,2006,,-0.037499999999994316,,121.125,58.14
2006-12-31,112.24000000000001,29.950000000000003,0.24819502781246452,-0.002632251106822537,,41.61,46.989999999999995,17.2,0.0,70.64000000000001,201.99,80.23,1374.04,88.17,120.0,1285.88,165.57999999999998,-10.72999999999999,0.0,5.38,17.323876460767945,1.61,0.07,0.73,0.7,0.96,8.717425360426835,11.818163242138722,9.315813372687025,9.329413100238394,20.96,12,2006,,-0.31763698630136616,,120.67123287671234,88.09
2007-03-31,98.7,18.38,0.15,0.0,,24.25,29.55,16.4,0.0,74.44,455.4,78.65,1371.2,66.95,120.0,1304.26,257.12,-3.71,0.0,5.3,27.3325,1.51,0.05,0.15,0.0,0.0,5.36,7.04,5.64,5.64,18.62,3,2007,,0.0,,122.53333333333333,18.38
2007-06-30,120.93999999999998,27.279999999999998,0.22703460359176522,0.6,,36.58,42.25,16.7,0.0,84.36000000000001,469.04,75.63,1334.7,75.16,120.0,1259.54,87.88,-2.2300000000000004,-72.0,5.670000000000001,18.390368401759535,1.59,0.06,0.38,0.6,1.58,8.173245729303549,10.969356110381076,8.675111695137977,8.770705212439772,20.79,6,2007,,72.09473684210525,,120.1578947368421,45.66
2007-09-30,145.39,30.439999999999998,0.252,0.0031578947368421516,,42.400000000000006,48.47,16.0,0.0,102.99000000000001,691.06,78.36,1368.39,78.41,120.0,1289.98,230.28999999999996,-8.280000000000001,0.0,6.0699999999999985,15.875,1.49,0.06,0.63,0.6,0.95,8.896,12.208,9.440000000000001,9.568000000000001,20.85,9,2007,,0.3814536340852186,,120.79365079365078,76.1
