,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2004-06-30,,,,,,,,,0.0,,315.79,0.0,133.49,1678.23,609.67,850.0,1068.56,,,,,,0.0,0.57,0.08,0.0,0.0,,,,,14.72,0.0,6,2004,,,,807.75,64.62
2004-09-30,160.35999999999996,17.39999999999999,0.021214337966349663,0.0,,28.659999999999997,40.75,,0.0,131.7,815.88,0.0,129.03,1999.41,592.48,1065.0,1406.94,447.01,-265.19,318.28,12.089999999999996,0.0,0.0,0.42,0.1,0.0,0.0,3.4791514264813443,0.0,4.947183613752741,0.0,13.68,0.0,9,2004,,0.0,,820.1999999999999,82.02
2004-12-31,166.06000000000006,5.340000000000003,0.006112637362637367,0.0,,12.030000000000001,25.400000000000006,,0.0,154.01999999999998,916.35,0.0,122.6,1998.18,586.18,1065.0,1412.0,-153.18999999999994,256.72,-3.069999999999993,13.370000000000005,0.0,0.0,0.42,0.1,0.0,0.0,1.0684890109890117,0.0,1.513489010989012,0.0,11.41,0.0,12,2004,,0.0,,873.5999999999999,87.36
2005-03-31,288.82,90.8,0.09,0.0,,118.0,130.51,,0.0,170.81,784.05,0.0,115.96,2570.25,1142.0,1065.0,1428.25,-167.59,-3.0,38.29,12.51,0.0,0.0,0.8,0.09,0.0,0.0,14.120000000000001,0.0,25.439999999999998,0.0,31.44,0.0,3,2005,,0.0,,1008.8888888888889,90.8
2005-06-30,284.89000000000004,98.67999999999999,0.09374287523749207,0.0,,137.1,149.74,,0.0,147.8,906.33,0.0,109.76,2038.73,511.8,1065.0,1526.93,264.32,-55.33,-86.72,12.639999999999999,0.0,0.0,0.34,0.18,0.0,0.0,19.35269579902892,28.601992822461472,25.852201815495036,30.41435507705299,33.03,0.0,6,2005,,0.0,,1052.6666666666667,189.48
2005-09-30,167.56999999999994,24.409999999999997,0.02282481649445977,0.0,,32.03999999999999,44.97000000000003,,0.0,135.52999999999997,923.43,0.0,104.24,2056.86,505.52,1065.0,1551.34,145.23000000000002,-93.49,-34.63,12.93,0.0,0.0,0.33,0.2,0.0,0.0,4.747561830847632,6.463988031231007,6.295084389172003,6.600936930197766,28.85,0.0,9,2005,,0.0,,1069.4499999999998,213.89
2005-12-31,95.68000000000006,-28.809999999999974,-0.02646261076291331,0.07,,-29.72999999999996,-16.730000000000018,5.75,0.0,125.40999999999997,990.9,0.0,100.48,2044.22,521.69,1065.0,1522.54,-74.86000000000001,143.69,-1.3599999999999994,13.0,-54.316258243665445,4.02,0.34,0.17,0.07,0.41,-5.6349794683380106,-7.932556732223895,-7.571419926518256,-7.851612275772631,22.11,0.0,12,2005,,76.20941176470589,,1088.7058823529412,185.08
2006-03-31,160.78,17.68,0.02,0.16,,28.86,41.8,3.06,0.0,131.92,996.57,0.0,94.37,1932.49,580.68,1065.0,1351.81,129.78,-122.75,-1.37,12.94,38.25,2.41,0.43,0.02,0.16,8.0,3.64,5.12,5.24,5.080000000000001,11.0,0.0,3,2006,,141.44,,884.0,17.68
2006-06-30,80.1,-15.52,-0.0,,,-16.56,-3.479999999999997,1.62,0.0,96.66000000000003,795.24,0.0,64.9,1494.81,175.77,1065.0,1319.04,-36.93000000000001,8.0,-172.39,13.08,-0.0,1.31,0.13,0.0,0.16,0.0,-4.023703703703704,-20.118518518518513,-4.598518518518518,-4.31111111111111,0.9,0.0,6,2006,,inf,,inf,2.16
2006-09-30,72.47000000000003,0.18999999999999995,0.0,,,2.039999999999999,13.899999999999999,1.7,0.0,70.42999999999998,685.46,0.0,68.18,1424.96,113.97,1065.0,1310.99,-112.32,3.25,-0.7199999999999989,11.860000000000003,0.0,1.38,0.09,0.0,0.16,0.0,0.05174468085106382,0.265191489361702,0.058212765957446795,0.05174468085106382,0.75,0.0,9,2006,,,,inf,2.35
2006-12-31,66.82999999999998,-13.95,-0.012025862068965517,-inf,,-14.93,-3.289999999999999,1.91,0.0,81.76999999999998,440.13,0.0,65.24,1425.39,136.3,1065.0,1289.08,-243.03,-1.5,-0.7900000000000205,11.64,-39.70609318996416,1.58,0.11,-0.01,0.16,-16.0,-3.8963793103448277,-0.1443103448275862,-4.3293103448275865,-3.9925862068965516,-3.05,0.0,12,2006,,-inf,,1160.0,-11.6
2007-03-31,73.93,-3.84,0.0,,,-2.81,8.99,1.22,0.0,76.74,370.37,0.0,62.02,1437.71,150.18,1068.2,1287.54,-67.73,-4.48,2.44,11.8,0.0,1.01,0.12,0.0,0.0,0.0,-1.08,-0.68,-1.2,-1.16,-5.19,0.0,3,2007,,,,-inf,-3.84
2007-06-30,104.65,27.19,0.023289079229122055,,,29.18,41.1,1.69,0.0,75.47000000000001,104.47,0.0,54.15,1680.47,356.8,1068.28,1323.66,-357.53999999999996,2.3100000000000005,89.34,11.919999999999998,18.14155020228025,1.36,0.27,0.02,0.0,0.0,6.474364025695931,7.7319743040685225,8.197755888650963,8.244334047109207,13.08,0.0,6,2007,,,,1167.5,23.35
2007-09-30,118.10999999999999,15.969999999999999,0.01218463886063072,0.0,,29.34,41.129999999999995,1.53,0.0,88.76999999999998,134.27,0.0,46.64,1888.8,541.87,1070.33,1346.94,28.779999999999973,-0.3900000000000001,1.4099999999999966,11.79,31.39198497182217,1.22,0.4,0.03,0.0,0.0,3.3792065106815867,5.458718209562563,4.743886063072227,4.808870803662257,13.25,0.0,9,2007,,0.0,,1310.6666666666667,39.32
2007-12-31,65.87,-28.79,-0.027340930674264005,0.0,,-33.83,-23.629999999999995,1.5,0.0,99.70000000000002,171.52,0.0,40.42,2026.32,713.28,1070.48,1313.04,-0.3299999999999841,-31.94,69.50999999999999,10.200000000000003,-13.715699895797153,1.22,0.54,0.01,0.0,0.0,-5.686913580246914,-13.889192782526116,-8.749097815764483,-8.858461538461539,2.9,0.0,12,2007,,0.0,,1053.0,10.53
2008-03-31,93.64,-1.7,0.0,,,7.5,17.36,1.29,0.0,86.13,190.13,0.0,34.31,1564.81,277.66,1073.88,1287.15,193.02,-17.23,-157.19,9.86,0.0,1.08,0.22,0.0,0.03,0.0,-0.44,2.0,-0.52,-0.52,-1.82,0.0,3,2008,,-inf,,-inf,-1.7
2008-06-30,106.3,8.95,0.012344827586206895,inf,,18.71,27.660000000000004,1.04,0.0,87.6,236.65,0.0,29.13,1593.7,306.12,1074.36,1287.58,30.45999999999998,12.99,3.069999999999993,8.95,21.061452513966483,0.87,0.24,0.01,0.03,2.5,2.222068965517241,7.900689655172414,2.765241379310345,2.765241379310345,3.63,0.0,6,2008,,inf,,725.0,7.25
2008-09-30,62.76999999999998,-32.95,-0.025642023346303503,0.013073929961089492,,-41.75,-37.18000000000001,0.62,0.0,104.52000000000001,264.96,0.0,29.27,1570.09,332.86,1074.36,1237.23,98.82000000000002,-39.699999999999996,-30.789999999999992,4.57,-6.0447647951441565,0.54,0.27,-0.02,0.03,-1.25,-8.410583657587548,-4.615564202334631,-10.667081712062258,-10.205525291828796,-9.78,0.0,9,2008,,16.799999999999997,,1285.0,-25.7
2008-12-31,63.700000000000045,-94.3,-0.07858333333333332,-0.0021249999999999976,,-104.46000000000001,-100.23,0.33,64.47,168.16000000000003,635.36,0.0,26.03,1273.12,134.08,1074.36,1139.03,372.07,-0.9699999999999989,-0.710000000000008,4.23,-1.0498409331919407,0.31,0.12,-0.1,0.03,-0.25,-29.641633333333328,-22.85203333333333,-33.13073333333333,-30.77323333333333,-36.76,0.0,12,2008,,-2.549999999999997,,1200.0,-120.0
2009-03-31,324.04,-28.3,-0.02,0.0,,-28.3,-24.71,0.37,0.0,352.34,638.05,0.0,24.0,1545.89,438.76,1074.36,1107.13,52.42,-49.04,-0.69,3.59,-4.625000000000001,0.36,0.4,-0.02,0.0,0.0,-7.32,-7.279999999999999,-10.24,-9.44,-8.73,0.0,3,2009,,0.0,,1415.0,-28.3
2009-06-30,940.9100000000001,41.79,0.030978502594514453,0.0,,41.79,45.269999999999996,0.62,0.0,899.1200000000001,430.27,0.0,30.8,1540.36,388.0,1074.36,1152.36,-196.94,-10.130000000000003,-0.7,3.4800000000000004,5.003469729600383,0.58,0.34,0.01,0.0,0.0,10.904432913269089,10.656604892512973,14.497939214232764,13.754455151964418,1.07,7.14,6,2009,,0.0,,1349.0,13.49
