,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2000-03-31,180.08,10.12,0.73,0.0,,13.76,13.76,39.75,0.0,39.59,398.68,0.0,197.86,1550.85,730.48,139.0,820.37,27.65,-27.11,2.2,13.6125,6.74,0.89,0.73,0.0,0.0,2.6,0.0,4.92,0.0,5.62,3,2000,,,0.0,,13.863013698630136,10.12
2000-06-30,196.81999999999996,1.8800000000000008,0.1347333333333334,0.0,,4.750000000000002,4.750000000000002,39.75,2.37,42.97999999999999,407.38,0.0,197.02,1575.05,772.03,139.0,803.02,43.85,-11.410000000000004,-23.74,73.75531914893614,6.88,0.96,0.86,0.0,0.0,0.4762666666666669,0.0,0.9337333333333336,0.0,3.18,6,2000,,,0.0,,13.953488372093023,12.0
2000-09-30,186.51,1.2200000000000006,0.08767019667170957,1.25,,2.349999999999998,2.349999999999998,37.0,2.36,43.85000000000001,254.09,0.0,195.92,1519.02,718.37,139.0,800.65,-10.659999999999997,-142.47,-0.16000000000000014,105.51618852459013,6.42,0.9,0.95,1.25,1.32,0.3211497730711045,0.0,0.6090771558245086,0.0,2.35,9,2000,,,17.394736842105264,,13.915789473684212,13.22
2000-12-31,186.31000000000006,-23.93,-1.7204575163398692,-0.0006019951840385447,,-24.06,-24.06,34.0,31.24,41.67,179.03,0.0,196.02,1498.47,711.6,139.0,786.87,-3.3600000000000065,-74.97,3.2699999999999996,-4.941011282908483,6.01,0.9,-0.77,1.25,-1.62,-6.345583566760036,0.0,-12.154920634920634,0.0,-1.43,12,2000,,,-0.008373205741627032,,13.90909090909091,-10.71
2001-03-31,174.42,-8.11,-0.58,0.0,,-8.11,-8.11,31.0,0.0,44.4,150.5,0.0,195.9,1507.27,720.68,139.0,786.59,-20.66,-16.45,8.58,-13.3625,5.48,0.92,-0.58,0.0,0.0,-2.16,-2.12,-4.12,-4.04,-4.65,3,2001,,,0.0,,13.982758620689655,-8.11
2001-06-30,175.43000000000004,1.6899999999999995,0.1210903426791277,0.0,,1.6899999999999995,1.6899999999999995,33.0,0.0,44.53000000000001,147.47,0.0,199.71,1470.94,686.59,139.0,784.34,1.3599999999999994,2.92,-7.3100000000000005,68.131775147929,5.85,0.88,-0.46,0.0,0.0,0.46330218068535817,0.4422429906542054,0.8634267912772582,0.852897196261682,-1.84,6,2001,,,0.0,,13.956521739130434,-6.42
2001-09-30,154.91999999999996,0.46999999999999975,0.03396638655462183,0.0,,0.46999999999999975,0.46999999999999975,23.25,3.4,42.579999999999984,133.45,0.0,202.61,1421.97,645.38,139.0,776.6,-23.749999999999996,-0.21000000000000085,9.93,171.1257978723405,4.16,0.83,-0.43,0.0,0.0,0.13270588235294112,0.12638655462184867,0.24329411764705872,0.23697478991596627,-1.18,9,2001,,,0.0,,13.837209302325583,-5.95
2001-12-31,150.53999999999996,7.19,0.5218548387096774,0.0,,7.19,7.19,24.0,5.69,39.10000000000002,144.04,0.0,199.82,1378.92,587.22,139.0,791.7,-26.810000000000002,64.83,3.7600000000000016,11.49759388038943,4.21,0.74,0.09,0.0,0.0,2.0874193548387097,2.0874193548387097,3.710967741935484,3.710967741935484,0.19,12,2001,,,0.0,,13.777777777777779,1.24
2002-03-31,157.95,-9.21,-0.66,0.0,,-9.21,-9.21,22.0,0.0,38.37,136.05,0.0,198.1,1372.86,589.47,139.0,783.39,-41.44,58.86,-15.36,-8.3325,3.9,0.75,-0.66,0.0,0.0,-2.6799999999999997,-2.56,-4.72,-4.68,-5.83,3,2002,,,0.0,,13.954545454545455,-9.21
2002-06-30,162.54000000000002,2.160000000000001,0.15625531914893626,0.0,,2.6500000000000012,2.6500000000000012,22.0,0.0,41.220000000000006,144.14,0.0,196.58,1386.7,598.8,139.0,787.9,35.61,-5.200000000000003,-0.07000000000000028,35.20104166666665,3.88,0.76,-0.51,0.0,0.0,0.625021276595745,0.5637446808510642,1.0907234042553198,1.102978723404256,-2.2,6,2002,,,0.0,,13.823529411764705,-7.05
