,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-10-31,,,,,,,,,,,77.44,100.06,57.78,238.63,181.79,421.41,57.0,37.3,109.46,0.0,109.46,140.0,311.95,,,,,,0.0,0.35,0.57,0.0,0.0,,,,,,28.14,28.0,2.18,1.65,10,2005,,70.01754385964912,39.91
2006-01-31,133.73,38.5,0.2602346639459253,0.0,53.449999999999996,41.85,46.059999999999995,,91.88,41.61000000000001,118.11,94.59,50.18,266.49,182.26,449.75,57.0,30.8,107.09,0.0,107.09,210.0,342.66,53.16,-4.68,-7.800000000000001,4.21,0.0,0.0,0.31,0.53,0.0,0.0,34.233133528886626,0.0,44.937125366662414,0.0,48.80627470985844,28.48,28.38,2.49,2.02,1,2006,0.0,147.94339622641508,78.41
2006-04-30,102.77000000000004,28.49000000000001,0.1465809167446212,0.0,36.86999999999999,28.679999999999993,33.24000000000001,2.84,74.10000000000002,28.47,297.84,78.08,53.56,435.79,226.2,662.99,0.0,24.57,35.7,0.0,35.7,300.0,627.3,29.090000000000003,-48.51,199.14000000000001,4.5600000000000005,4.840329940329939,1.36,0.06,0.55,0.0,0.0,17.184613657623952,0.0,18.165373246024327,0.0,19.338020579981297,28.3,28.2,12.21,10.71,4,2006,0.0,194.36363636363635,106.9
2006-07-31,118.76999999999998,20.039999999999992,0.09156451867023788,0.0,25.689999999999998,22.5,27.72999999999999,2.16,96.25999999999999,15.769999999999996,204.87,80.53,50.03,445.58,227.27,674.03,0.0,18.32,26.17,0.0,26.17,300.0,647.86,13.52000000000001,-106.48000000000002,0.0,5.229999999999999,5.890928143712578,1.0,0.04,0.58,0.0,0.0,11.89075783834882,0.0,12.37068221206869,0.0,13.286327398771066,25.92,25.5,17.03,15.11,7,2006,0.0,218.86206896551724,126.94
2006-10-31,-365.37,-93.05,-0.30202124520507523,0.0,-120.58999999999999,-99.28,-112.12,2.54,-266.09000000000003,-93.14,244.98,71.88,46.74,481.84,237.69,720.95,0.0,21.89,86.41,0.0,86.41,300.0,634.54,-75.25000000000001,137.74,-186.34,-12.84,-2.102418323481999,1.2,0.14,0.11,0.0,0.0,-51.618176453231044,-71.16718796105046,-58.647034523458245,-78.63534966066686,-64.13832989082324,25.92,25.59,5.58,5.04,10,2006,0.0,308.0909090909091,33.89
2007-01-31,119.57,31.11,0.10529538461538462,0.16,41.34,32.52,37.61000000000001,2.08,87.04999999999998,28.119999999999997,212.68,72.06,54.06,415.16,242.98,704.52,0.0,24.61,39.52,0.0,39.52,300.0,665.0,27.150000000000006,-11.450000000000003,-48.0,5.090000000000001,4.936113789778206,0.94,0.06,0.22,0.16,0.73,17.67048,23.06926153846154,18.70428923076923,24.696553846153847,20.025267692307693,26.44,25.79,10.51,9.14,1,2007,47.27272727272727,295.45454545454544,65.0
2007-04-30,119.93,26.22,0.08623108967331725,0.004531701580594363,37.349999999999994,28.17,33.14,2.1,91.75999999999999,24.07,246.82,67.76,58.4,456.26,244.96,733.04,0.0,15.29,41.98,0.0,41.98,300.0,691.06,3.9200000000000017,30.220000000000002,0.0,4.969999999999999,6.088291380625477,0.91,0.06,0.3,0.16,0.53,14.302863407147555,16.096470072352552,15.176671782503837,15.912510414382808,16.25743477307608,25.21,24.53,10.87,9.48,4,2007,1.3779393939393927,304.06666666666666,91.22
2007-07-31,130.95999999999998,25.72,0.08577732170343767,-0.0022520950914999218,37.66000000000001,26.939999999999998,32.17,2.5,104.02000000000004,23.200000000000003,221.72,75.22,73.14,440.96,313.7,765.21,0.0,9.79,48.88,0.0,48.88,300.0,716.34,7.559999999999988,-32.66,0.0,5.230000000000002,7.286016718506999,1.05,0.07,0.39,0.16,0.41,13.442845903882331,15.237571404138876,14.357804002052333,15.079213271763297,15.307952796305797,23.91,23.25,9.02,7.52,7,2007,-0.6752820512820534,299.8461538461538,116.94
2007-10-31,-358.55999999999995,-88.53999999999999,-0.2805845070422535,-0.1520346695557963,-117.03,-91.17,-103.80000000000001,2.5,-267.39,-78.33,271.49,72.51,48.88,463.28,315.7,782.75,0.0,21.32,79.88,0.0,79.88,300.0,702.87,-48.879999999999995,33.8,48.0,-12.630000000000003,-2.2276711091032304,1.07,0.11,0.09,0.0,0.0,-45.267633802816896,-55.618084507042255,-50.38050704225352,-52.999295774647884,-59.48391549295774,19.82,19.68,5.8,5.19,10,2007,-47.97538461538461,315.55555555555554,28.4
2008-01-31,151.77,26.22,0.0864079091907726,0.14,38.04,26.159999999999997,33.96,2.22,125.62,23.39,210.79,108.93,63.42,444.46,309.85,758.09,0.0,13.73,28.81,0.0,28.81,300.0,729.28,6.060000000000002,-24.77,-42.0,7.8,6.421287185354691,0.91,0.04,0.18,0.14,0.78,13.825265470523616,15.668634199926768,14.382116440864152,15.034976199194434,15.707037715122665,18.69,18.45,15.43,13.23,1,2008,42.48222222222223,303.44444444444446,54.62
2008-04-30,111.71999999999997,21.479999999999997,0.07056504599211563,0.00043948021608992483,33.71000000000001,22.64,29.22,2.48,89.05999999999997,21.61999999999999,97.34,75.71,112.16,469.88,305.42,779.28,0.0,17.16,28.09,0.0,28.09,300.0,751.18,-27.8,-85.65,0.0,6.580000000000002,8.786219739292365,0.99,0.04,0.25,0.14,0.56,11.030727989487515,12.28396320630749,11.437182654402102,11.91137976346912,12.374286465177397,18.88,18.66,16.73,12.73,4,2008,0.1337777777777731,304.4,76.1
2008-07-31,192.20999999999998,25.16000000000001,0.08447955757456058,-0.003091447758246098,42.59,26.49000000000001,33.21000000000001,2.08,165.73000000000002,25.88000000000001,83.15,131.0,121.27,453.62,353.51,812.38,0.0,15.02,40.66,0.0,40.66,300.0,771.72,8.459999999999997,-22.64,0.0,6.719999999999999,6.157702702702701,0.81,0.05,0.34,0.14,0.41,12.383709263282643,13.705565870037532,13.039668180920406,13.526667983409052,14.013667785897693,17.04,16.88,11.16,8.17,7,2008,-0.9207058823529408,297.8235294117647,101.26
2008-10-31,-455.89,-78.28,-0.27251523063533506,-0.14515333026160857,-125.0,-84.93,-107.31,1.95,-370.96,-79.94,114.02,88.12,90.77,456.01,352.28,813.57,0.0,15.48,67.28,0.0,67.28,300.0,746.29,-3.769999999999996,131.20000000000002,42.0,-22.380000000000003,-1.7892577925396014,0.78,0.09,0.08,0.0,0.0,-38.424647519582244,-40.74102697998259,-41.9673455178416,-43.19366405570061,-43.60243690165361,16.0,15.94,6.78,5.43,10,2008,-41.69529411764706,287.25,22.98
2009-01-31,193.34,25.790000000000003,0.08460939101906911,0.14,38.49,26.340000000000003,32.81,1.41,167.0,25.240000000000002,179.92,86.58,56.69,477.95,352.63,835.82,0.0,52.32,62.14,0.0,62.14,300.0,773.67,113.69999999999999,-5.79,-42.0,6.470000000000001,4.165022295463358,0.55,0.08,0.16,0.14,0.88,12.331818741029322,13.325979085503382,13.325979085503382,13.727873692843962,13.727873692843962,14.52,14.45,7.69,6.78,1,2009,42.673750000000005,304.8125,48.77
2009-04-30,115.39999999999998,16.740000000000002,0.056217371393680354,-0.003309800030529686,29.569999999999993,17.17,23.339999999999996,1.21,98.22999999999996,22.67,164.95,64.99,89.09,495.41,348.19,848.78,0.0,51.68,56.0,0.0,56.0,300.0,792.78,36.05000000000001,-51.03,0.0,6.169999999999998,5.380899044205496,0.46,0.07,0.22,0.14,0.64,7.890874675622043,8.463269729812243,8.44282704930545,8.677917875133568,8.688139215386965,14.53,14.46,8.85,7.26,4,2009,-0.9855681818181807,297.7727272727273,65.51
2009-07-31,140.47000000000003,14.920000000000002,0.0500857888847445,5.4592926655603794e-05,22.77000000000001,15.539999999999992,21.689999999999998,1.49,124.93,13.86,268.6,80.38,61.84,473.72,342.21,821.04,0.0,9.38,14.86,0.0,14.86,300.0,806.18,17.120000000000005,86.53,0.0,6.150000000000002,7.439235924932975,0.55,0.02,0.27,0.14,0.52,7.27171453437772,7.531418624891209,7.405276638070372,7.561099092378465,7.627880144224791,13.69,13.56,31.88,27.72,7,2009,0.01626262626263042,297.8888888888889,80.43
2009-10-31,-491.99,-67.91000000000001,-0.21696485623003198,-0.1332410365637203,-101.21000000000001,-69.81,-89.12,2.02,-422.18,-70.86,287.36,79.22,115.78,549.39,336.52,890.97,0.0,63.7,104.33,0.0,104.33,300.0,786.65,-184.08,-24.610000000000003,42.0,-19.310000000000002,-2.3275658960388745,0.77,0.13,0.04,0.0,0.0,-30.59204472843451,-33.412587859424924,-34.497412140575086,-35.36527156549521,-36.23313099041535,12.45,12.35,5.27,4.16,10,2009,-41.704444444444455,313.0,12.52
2010-01-31,106.37,18.150000000000002,0.05917835017932834,0.11000000000000001,26.880000000000003,18.65,24.630000000000003,1.74,87.72000000000001,18.519999999999996,212.4,74.38,133.65,487.93,333.7,826.63,0.0,16.32,21.88,0.0,21.88,300.0,804.75,-42.61,0.66,-33.0,5.98,7.350661157024793,0.65,0.03,0.1,0.11,1.1,8.782067166612325,9.04245190740137,9.018780567329639,9.20815128790349,9.350179328333878,14.97,14.76,22.3,16.19,1,2010,33.737,306.7,30.67
2010-04-30,147.09999999999997,21.08,0.06924830917874396,-0.0008268599033816515,30.970000000000006,21.619999999999997,27.349999999999994,1.7,125.48000000000002,23.15,210.47,70.02,113.14,459.7,357.59,845.52,0.0,14.17,18.07,0.0,18.07,300.0,827.45,15.090000000000002,-17.02,0.0,5.729999999999999,6.137333965844403,0.62,0.02,0.17,0.11,0.65,9.97175652173913,10.265043478260868,10.183574879227052,10.411686956521738,10.509449275362318,14.73,14.58,25.44,19.18,4,2010,-0.2517058823529439,304.4117647058823,51.75
2010-07-31,114.0,12.769999999999996,0.043543087414755106,-0.004178002261040812,23.89999999999999,13.31000000000001,19.409999999999997,1.99,100.69,14.589999999999996,255.66,63.66,91.04,470.94,343.16,861.25,0.0,16.86,21.73,0.0,21.73,300.0,839.52,50.760000000000005,-5.559999999999999,0.0,6.100000000000001,11.431205951448712,0.71,0.03,0.22,0.11,0.5,5.929776813391196,6.278121512709236,6.088115313081214,6.206869187848727,6.286038437693737,13.89,13.76,21.67,17.48,7,2010,-1.22529411764706,293.27272727272725,64.52
2010-10-31,-344.84,-48.61,-0.15276555625392835,-0.10138277812696417,-78.75,-50.00000000000001,-64.75999999999999,2.0,-294.84000000000003,-52.78999999999999,279.9,75.26,52.33,459.61,398.78,886.35,0.0,24.29,52.88,0.0,52.88,300.0,833.47,17.769999999999996,-13.599999999999998,33.0,-14.76,-3.2729890968936433,0.72,0.06,0.05,0.0,0.0,-21.99824010056568,-22.97593966059082,-23.34257699560025,-23.953639220615965,-24.442489000628534,12.93,12.83,8.69,7.7,10,2010,-32.26,318.2,15.91
2011-01-31,133.39,22.12,0.0756139889560873,0.08,38.83,22.14,31.74,1.81,111.25,23.14,218.16,81.94,108.01,475.8,453.11,952.59,0.0,53.61,93.25,0.0,93.25,300.0,859.34,21.189999999999998,-58.93,-24.0,9.6,5.983019891500904,0.63,0.11,0.13,0.08,0.62,9.28307125953195,10.143907441493559,10.306768340783591,10.63249013936366,10.516160925585064,14.89,14.78,5.1,3.94,1,2011,23.403076923076924,292.53846153846155,38.03
2011-04-30,119.35000000000002,17.9,0.060808153048453426,0.0004973249528944095,31.060000000000002,19.42,29.590000000000003,1.91,99.93,17.129999999999995,266.11,63.83,58.04,431.09,519.87,974.53,0.0,19.83,97.12,0.0,97.12,300.0,877.4,35.89,12.060000000000002,0.0,10.169999999999998,7.850509776536313,0.65,0.11,0.19,0.08,0.42,7.348185231539424,8.193098516002145,8.154693366708386,8.397925978902197,8.500339710352225,15.1,14.85,4.44,3.84,4,2011,0.14639676113360167,294.36842105263156,55.93
2011-07-31,140.20000000000005,24.46,0.08215200895633787,0.0009061090342475166,31.159999999999997,24.729999999999997,37.019999999999996,2.04,115.47000000000003,24.570000000000007,212.59,90.25,54.47,396.82,520.33,938.73,0.0,29.95,36.87,0.0,36.87,300.0,901.86,22.55000000000001,-76.07000000000001,0.0,12.29,6.21165576451349,0.68,0.04,0.27,0.08,0.3,10.418091802462994,11.221355890036076,10.844065182236598,11.233526558029608,11.19701455404901,15.81,15.55,10.76,9.29,7,2011,0.2697855750487328,297.7407407407407,80.39
2011-10-31,-348.1500000000001,-47.54,-0.1591902587519026,-0.0797600766672304,-83.44999999999999,-49.4,-78.22999999999999,1.82,-298.75,-48.34,264.62,109.08,42.36,429.95,555.5,1006.91,0.0,24.3,102.17,0.64,102.81,300.0,904.1,-83.39000000000001,154.49,24.0,-28.83,-2.8590003155237698,0.6,0.11,0.11,0.0,0.0,-18.871281582952815,-20.55001522070015,-21.013114155251138,-21.881424657534243,-21.47621308980213,19.61,19.46,4.21,3.79,10,2011,-23.81925925925926,298.6363636363636,32.85
