,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-06-30,,,,,,,,,,,16.87,6.16,8.69,34.02,319.03,370.11,10.0,35.89,21.37,109.59,89.05,198.64,100.0,171.47,,,,,,0.0,1.16,0.02,0.0,0.0,,,,,,4.39,4.3,0.31,0.23,6,2014,,313.5,6.27
2014-09-30,89.81,9.46,0.024055944055944058,0.0,29.879999999999995,13.27,20.49,,76.54999999999998,17.9,29.02,5.29,7.02,43.27,334.71,397.94,25.0,35.17,23.7,124.47,92.54,217.01,100.0,180.93,17.71,-25.67,20.11,7.219999999999999,0.0,0.0,1.2,0.04,0.0,0.0,9.502097902097905,0.0,20.904615384615383,0.0,21.04895104895105,6.76,6.68,0.35,0.29,9,2014,0.0,393.25,15.73
2014-12-31,107.77000000000001,17.52,0.042153383458646616,0.0,38.8,21.53,29.800000000000004,4.08,86.23999999999998,24.21,104.04,8.46,7.48,221.0,359.52,600.86,0.0,40.97,12.71,56.38,61.51,117.89,142.5,482.96,23.1,-123.56,175.48,8.270000000000003,24.197345890410958,1.2,0.24,0.08,0.0,0.0,11.65541052631579,0.0,14.500763909774435,0.0,17.59903759398496,9.83,9.68,3.92,3.79,12,2014,0.0,415.625,33.25
2015-03-31,117.6,23.67,0.04,0.029999999999999995,45.61,30.12,38.25,4.94,87.48,28.09,108.43,3.83,6.94,227.52,364.14,612.33,0.0,32.39,8.48,73.99,45.96,119.95,142.5,492.38,41.3,-15.75,-21.17,8.13,30.875,1.43,0.24,0.04,0.03,0.63,15.479999999999999,0.0,19.24,0.0,22.36,20.48,20.13,3.08,2.98,3,2015,17.752499999999998,591.75,23.67
2015-06-30,125.13,23.589999999999996,0.0399322894625476,-5.0782903089289185e-05,46.06,29.99,38.68000000000001,7.15,95.14,26.38,86.73,2.96,9.84,210.04,360.61,613.72,0.0,31.99,8.48,62.32,35.43,97.75,142.5,515.97,30.53,-26.119999999999997,-26.1,8.69,44.76577787197966,1.97,0.19,0.08,0.03,0.31,15.373931443080828,24.398628861616587,18.288988573846805,27.45344900550148,21.763097757088445,19.93,19.47,3.37,3.21,6,2015,-0.029999999999997584,590.75,47.26
2015-09-30,144.51000000000002,28.440000000000005,0.048840158520475574,-0.0004349405548216707,50.519999999999996,36.31,46.69,7.85,108.19999999999999,31.739999999999995,51.21,8.34,11.73,155.2,412.21,629.71,0.0,37.1,0.49,63.54,21.77,85.3,142.5,544.41,63.019999999999996,-74.16,-24.380000000000003,10.379999999999999,40.179026019690575,2.05,0.16,0.13,0.03,0.19,18.063344782034346,28.207070013210043,20.888560105680323,31.36289564068693,25.5922430647292,20.08,19.55,2.44,2.26,9,2015,-0.25326923076923435,582.3076923076923,75.7
2015-12-31,156.26,30.789999999999992,0.05493567471124049,0.048831309548747814,56.08000000000001,38.33999999999999,50.16,9.5,117.92000000000002,38.290000000000006,60.25,4.09,13.83,113.62,480.02,655.02,0.0,43.32,0.49,75.41,24.7,100.11,142.5,554.91,105.62,-67.96000000000001,-28.61999999999999,11.820000000000004,43.232380643065945,2.44,0.18,0.19,0.08,0.39,18.805348859047797,24.819359564278333,22.194012583341156,23.732211475255887,26.889567095501917,19.97,19.59,1.51,1.32,12,2015,27.368663967611337,560.4736842105262,106.49
2016-03-31,176.02,35.24,0.06,0.0,61.81,43.64,56.38,8.45,132.37,38.93,74.63,4.81,17.7,132.23,498.49,693.26,0.0,37.86,0.5,108.03,23.58,131.61,142.5,561.65,45.51,-31.01,-0.12,12.74,35.2075,2.14,0.23,0.06,0.0,0.0,20.32,26.76,25.08,26.76,29.84,20.57,20.02,1.22,1.06,3,2016,0.0,587.3333333333334,35.24
2016-06-30,174.31999999999996,30.669999999999995,0.055839781520254886,0.05,54.39,36.58,49.71,9.95,137.75,33.449999999999996,67.92,6.26,18.42,102.36,538.76,706.11,0.0,33.33,2.51,71.12,42.68,113.8,142.5,592.31,55.339999999999996,-53.42,-8.620000000000001,13.13,44.54888490381481,2.39,0.19,0.12,0.05,0.42,17.366172052799268,22.63372477620998,20.716558944014565,22.13116674252769,23.50854802002731,19.24,18.81,1.44,1.18,6,2016,27.462500000000002,549.25,65.91
2016-09-30,195.25000000000006,40.39,0.07219285042333021,0.0009136876763875773,67.55999999999999,49.879999999999995,63.599999999999994,11.6,145.36,46.980000000000004,24.98,4.84,18.84,109.74,631.48,810.4,0.0,43.93,12.52,112.42,93.78,206.2,142.5,604.2,3.1300000000000097,-105.94999999999999,59.870000000000005,13.720000000000002,40.1684513493439,2.74,0.34,0.19,0.05,0.26,19.9404252116651,27.463680150517405,26.73415239887112,28.132413922859833,28.329994355597368,19.88,19.48,0.98,0.81,9,2016,0.5111842105263129,559.4736842105262,106.3
