,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2004-03-31,143.89,1.65,0.01,0.1,22.89,2.83,16.27,0.89,0.0,141.06,2.64,43.38,69.81,176.47,301.63,208.85,514.86,119.03,50.08,10.38,215.74,17.98,233.72,200.0,281.14,-4.07,-15.13,16.3,13.44,22.3675,0.64,0.83,0.01,0.1,10.0,1.28,2.28,2.36,2.36,3.8000000000000003,1.15,1.15,1.4,0.58,3,2004,16.5,165.0,1.65
2004-06-30,232.01,25.67,0.13154465592972184,0.015446559297218164,48.150000000000006,27.060000000000002,44.480000000000004,0.88,0.0,204.95,26.419999999999998,29.82,138.02,174.58,355.77,243.14,602.98,108.65,95.85,12.06,240.8,55.38,296.18,200.0,306.8,26.3,-47.989999999999995,8.14,17.42,1.6735761589403972,0.57,0.97,0.14,0.1,0.71,17.025636896046855,21.498155197657393,33.449926793557836,34.84054172767203,31.006954612005856,7.29,7.27,1.48,0.75,6,2004,3.014285714285716,195.14285714285714,27.32
2004-09-30,237.39999999999998,24.380000000000003,0.12260735009671181,0.0018623929262227158,48.08999999999999,25.740000000000002,40.2,0.85,0.0,211.64999999999998,25.41,57.84,103.09,244.95,419.2,241.44,664.54,95.96,120.73,10.4,250.03,83.32,333.35,200.0,331.19,26.8,-12.720000000000006,13.929999999999996,14.46,1.7388843314191957,0.51,1.01,0.26,0.1,0.38,14.675156673114122,18.089299806576403,29.44462669245648,31.066816247582207,25.313702127659575,8.46,8.43,1.68,0.7,9,2004,0.3703296703296708,198.84615384615384,51.7
2004-12-31,269.38,10.729999999999997,0.05328047413102674,0.001261720819625671,41.41,12.389999999999993,28.38000000000001,0.92,0.43,257.0,13.11,55.12,88.55,219.72,374.32,232.58,611.66,74.84,75.85,10.4,179.03,90.72,269.74,200.0,341.92,16.769999999999996,-6.590000000000003,-12.899999999999999,15.990000000000002,4.334608574091334,0.54,0.79,0.31,0.1,0.32,7.019272785519781,8.222380265897803,12.553567195258687,13.38543008169149,10.807342623738585,7.09,7.07,2.09,0.86,12,2004,0.2540942928039698,201.38709677419354,62.43
2005-03-31,268.8,7.87,0.04,0.2,35.8,9.41,23.58,0.89,0.0,259.38,9.29,56.56,133.76,268.68,473.21,236.9,713.5,94.41,143.54,14.39,314.82,88.89,403.71,200.0,309.78,-3.02,-17.0,21.46,14.17,5.5925,0.58,1.3,0.04,0.2,5.0,4.4,6.12,10.16,10.64,9.44,2.93,2.93,1.5,0.65,3,2005,39.35,196.75,7.87
2005-06-30,331.21,32.64,0.16114539619846954,0.005726980992347552,65.21000000000001,35.510000000000005,49.71000000000001,1.03,0.0,295.71000000000004,35.35,30.13,170.61,339.47,559.42,226.48,788.95,120.79,184.54,18.16,363.96,82.56,446.52,200.0,342.42,-5.34,-3.9800000000000004,-17.1,14.200000000000001,1.5979358149509804,0.6,1.3,0.2,0.2,1.0,16.533517649962974,20.787756109602572,38.12700074055789,40.22189089113799,34.066136756356464,6.76,6.75,1.54,0.6,6,2005,1.1599999999999966,202.54999999999998,40.51
2005-09-30,377.35,36.449999999999996,0.1799766112266112,-2.3388773388755812e-05,70.33,40.019999999999996,53.06999999999999,1.04,0.0,337.3299999999999,39.44,65.23,206.89,419.31,713.08,215.93,931.85,136.2,291.09,13.6,476.73,76.24,552.97,200.0,378.88,31.98,-2.469999999999999,5.589999999999999,13.05,1.4515775034293554,0.55,1.46,0.38,0.2,0.53,15.648492723492721,20.157380457380455,38.47710498960499,41.072557172557175,35.351195426195424,7.89,7.87,1.5,0.62,9,2005,-0.004736842105259598,202.52631578947367,76.96
2005-12-31,643.2099999999999,94.52,0.4740331233963144,-0.00314046137036082,137.08,96.84,110.63000000000001,1.28,0.0,546.37,92.67,85.52,166.62,416.37,687.28,230.67,920.69,61.51,263.73,18.04,380.06,67.24,447.3,200.0,473.39,126.28,-26.88,-79.11,13.79,0.6757966567922132,0.54,0.94,0.86,0.2,0.23,41.07552134359692,52.32002799160252,79.85804525309074,92.73410776766971,74.12555166783298,10.62,10.58,1.81,0.71,12,2005,-0.626193390452876,199.3953488372093,171.48
2006-03-31,534.03,60.75,0.3,0.3,100.64,62.81,76.37,2.25,0.0,471.22,56.66,102.16,233.94,645.55,1011.47,226.14,1240.79,157.35,417.17,18.0,803.91,62.74,866.66,200.0,374.14,-66.67,-9.22,92.52,13.56,1.875,1.2,2.32,0.3,0.3,1.0,19.6,25.72,64.96,71.08,57.52,11.53,11.38,1.26,0.46,3,2006,60.75,202.5,60.75
2006-06-30,867.29,120.87,0.40596134786917737,0.09596134786917741,190.96000000000004,125.1,139.51999999999998,2.53,0.0,742.19,122.70000000000002,134.51,349.06,479.26,985.99,221.29,1212.09,137.17,344.89,18.0,558.84,58.24,617.08,300.0,595.02,129.5,-10.859999999999998,-86.28999999999999,14.42,1.5551973194341027,1.27,1.04,0.61,0.3,0.49,39.87738354806739,49.993141724479685,81.24551040634292,103.15411298315163,76.58693756194252,13.05,12.96,1.76,0.91,6,2006,28.571311475409843,297.7377049180328,181.62
