,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2015-06-30,,,,,,,,,,,111.17,458.38,4566.35,6976.91,5080.18,12964.72,6524.11,1806.59,508.3,8849.18,1146.35,9995.53,4000.0,2969.18,,,,,,0.0,3.37,-0.23,,,,,,-11.47,-11.39,0.0,0.79,0.27,6,2015,,4038.8695652173915,-928.94
2015-09-30,4966.790000000001,-276.02,-0.06872095339264372,0.0,-88.75,-285.25,-190.71000000000004,,5252.039999999999,-296.5,180.51,430.57,4405.48,6860.47,5135.91,13055.63,7205.77,1599.32,500.57,9324.05,1039.51,10363.57,4000.0,2692.07,-185.22000000000003,-220.0,474.56000000000006,94.54000000000002,0.0,0.0,3.85,-0.3,-8.457258664188023,0.0,-41.012664984729774,0.0,-31.602475766830434,-9.24,-9.18,0.0,0.74,0.26,9,2015,0.0,4016.5333333333338,-1204.96
2015-12-31,4382.869999999999,-369.3499999999999,-0.08680596578818656,0.0,-55.15999999999997,-279.8900000000001,-185.64999999999998,1.54,4662.77,-301.3299999999999,203.59,576.93,3471.44,6131.89,5615.06,12705.57,4873.76,1740.34,491.98,7111.3,941.99,8053.28,5100.0,4652.29,521.48,-227.08,-271.32000000000005,94.23999999999995,-4.432875050764858,1.69,1.73,-0.37,-11.62730720125007,0.0,-31.756906835375496,0.0,-26.285784883536277,-9.07,-8.99,0.0,0.86,0.37,12,2015,0.0,4254.891891891892,-1574.31
2016-03-31,4627.63,200.81,0.04,0.0,231.34,243.27,441.14,1.58,4384.37,30.48,343.57,415.33,1902.23,5559.32,5801.98,12920.13,4837.93,960.37,468.27,7063.79,902.3,7966.09,5100.0,4954.04,527.73,-172.56,-215.59,197.87,9.875,1.63,1.61,0.04,6.2,0.0,16.2,0.0,16.6,4.55,4.34,3.71,0.79,0.52,3,2016,0.0,5020.25,200.81
2016-06-30,5243.589999999999,670.73,0.13083059871032887,0.0,795.0500000000001,797.21,1017.13,1.96,4446.37,571.34,384.52,559.11,1872.59,6169.98,6052.58,13870.78,4638.72,1296.86,461.82,7303.11,942.49,8245.6,5100.0,5625.18,735.8599999999999,-313.5,-381.01,219.92000000000002,3.745492299434943,1.78,1.47,0.17,19.332144938843886,23.857344470707027,47.68390527112927,62.429283337540454,48.761333731096684,9.24,8.83,8.24,0.84,0.59,6,2016,0.0,5126.7058823529405,871.54
2016-09-30,5559.6900000000005,531.71,0.10609570639586675,0.0,980.0899999999999,704.8399999999999,933.0300000000002,4.8,4854.85,719.9999999999999,885.2,688.41,2035.34,7263.8,6235.19,15095.77,5508.66,1201.32,443.47,8063.83,875.35,8939.18,5100.0,6156.59,-78.17999999999984,-120.14000000000004,699.01,228.19,11.308657444847755,3.98,1.45,0.28,14.095572421165153,18.794096561553538,34.541730696597185,48.07651152681276,37.61850618207732,9.35,9.09,9.38,0.9,0.65,9,2016,0.0,5011.607142857142,1403.25
2016-12-31,5348.68,43.549999999999955,0.00842825546032623,0.0,614.2199999999998,44.350000000000136,295.77,7.05,5304.329999999998,353.59000000000015,308.7,815.04,2708.09,7073.63,6321.2,15596.27,5588.08,1347.11,459.65,8242.02,1227.18,9469.2,5100.0,6127.05,-681.8700000000001,23.670000000000073,81.93,251.41999999999996,209.12987370838138,5.87,1.55,0.28,1.1173458667403915,1.5231061653303828,2.8427301631186035,3.2316339507879426,2.9306248272048627,7.01,6.96,7.33,0.86,0.53,12,2016,0.0,5167.142857142857,1446.8
2017-03-31,5953.45,136.05,0.029999999999999995,0.0,485.15,202.67,469.23,6.65,5750.78,150.81,560.23,716.34,3051.68,7439.45,6667.65,16302.48,6119.77,1145.37,504.36,8711.66,1341.39,10053.05,5108.66,6249.81,20.44,-155.87,398.68,266.56,55.4175,5.44,1.61,0.03,3.3200000000000003,5.56,8.72,9.72,10.68,2.32,2.29,3.06,0.85,0.5,3,2017,0.0,4535.000000000001,136.05
2017-06-30,6206.759999999999,600.79,0.1141504261440747,0.0,1065.4499999999998,733.2,1005.8199999999999,6.1,5473.56,715.6500000000001,711.22,813.42,2922.7,7904.05,6865.55,16984.05,5910.94,1203.47,584.2,8806.54,1319.1,10125.64,5108.66,6850.54,630.4499999999999,-113.13,-362.28000000000003,272.61999999999995,13.359126649910952,4.55,1.48,0.14,14.154652841865259,19.796945334129525,35.093102437435526,38.51761522175777,37.310882145377555,6.11,6.06,6.64,0.9,0.57,6,2017,0.0,5263.142857142857,736.84
2017-09-30,7043.130000000001,701.35,0.136545240893067,0.0,1235.6,859.89,1160.4199999999998,5.95,6183.25,858.8699999999999,1210.31,895.64,2978.16,8693.78,7270.52,18141.89,4315.03,1992.92,633.62,8164.36,2413.16,10577.51,5109.4,7553.2,1599.2800000000002,-536.69,-557.84,300.5300000000001,10.893825301204819,4.02,1.4,0.28,15.468625146886016,21.086486486486486,37.14030552291422,40.92455934195065,35.111633372502936,7.54,7.49,8.56,1.06,0.7,9,2017,0.0,5136.392857142857,1438.19
