,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2012-12-31,,,,,,,,13.4,,,29.24,5042.2,539.89,,,0.0,12,2012,,,,,,,,,,,,
2013-03-31,128.24,,,,,,,14.0,38.72,-1.39,30.13,5317.11,545.33,101.82,-100.94,0.24,3,2013,,,,,,,,,,,,
2013-06-30,129.82,,,,,,,11.6,40.900000000000006,-1.36,26.0,5360.26,548.22,78.68,-82.81,0.43,6,2013,,,,,,,,,,,,
2013-09-30,126.33999999999997,,,,,,,11.0,41.17999999999999,-1.33,51.52,5398.72,552.04,108.33999999999997,-82.81,0.62,9,2013,,,,,,,,,,,,
2013-12-31,133.51,,,,,,,10.1,46.33,-0.5899999999999999,113.62,5438.11,562.79,144.92000000000002,-82.81,0.82,12,2013,,,,,,,,,,,,
2014-03-31,133.05,,,,,,,10.1,44.49,-0.54,61.5,5424.46,545.19,34.39,-86.51,0.19,3,2014,,,,,,,,,,,,
2014-06-30,135.13,,,,,,,11.0,42.62,-0.39,54.17,5431.97,547.7,79.99,-87.32000000000001,0.39,6,2014,,,,,,,,,,,,
2014-09-30,134.82,,,,,,,10.8,42.80999999999999,-0.9699999999999999,38.56,5442.71,546.04,71.70000000000002,-87.31999999999996,0.59,9,2014,,,,,,,,,,,,
2014-12-31,134.57000000000005,,,,,,,10.3,44.77000000000001,-0.6099999999999999,70.0,5457.29,550.32,118.77000000000001,-87.32000000000005,0.78,12,2014,,,,,,,,,,,,
2015-03-31,137.79,,,,,,,10.3,39.85,-0.54,72.79,5508.24,534.57,94.13,-91.34,0.2,3,2015,,,,,,,,,,,,
2015-06-30,138.47,,,,,,,11.2,38.050000000000004,-0.6799999999999999,37.78,5525.94,533.96,58.890000000000015,-93.9,0.41,6,2015,,,,,,,,,,,,
2015-09-30,142.23000000000002,,,,,,,12.2,38.66,-0.71,38.79,5550.2,537.24,94.91,-93.89999999999998,0.61,9,2015,,,,,,,,,,,,
2015-12-31,142.65999999999997,,,,,,,13.2,39.0,-0.5900000000000001,70.32,5573.68,535.97,129.69,-98.17000000000002,0.83,12,2015,,,,,,,,,,,,
2016-03-31,142.8,,,,,,,15.6,37.13,-0.48,61.19,5452.46,521.94,95.94,-105.06,0.23,3,2016,,,,,,,,,,,,
2016-06-30,142.11,,,,,,,15.3,39.51,-0.55,56.02,5453.63,519.55,104.16,-109.34,0.47,6,2016,,,,,,,,,,,,
2016-09-30,142.86999999999995,,,,,,,15.5,35.870000000000005,-0.55,78.76,5500.97,523.94,123.91999999999999,-101.17999999999998,0.69,9,2016,,,,,,,,,,,,
2016-12-31,142.55000000000007,,,,,,,14.7,46.040000000000006,-0.54,104.15,5419.64,532.21,131.65000000000003,-106.25999999999999,0.92,12,2016,,,,,,,,,,,,
2017-03-31,152.2,,,,,,,14.3,39.42,-0.54,59.24,5232.16,499.95,61.94,-106.85,0.23,3,2017,,,,,,,,,,,,
2017-06-30,150.82,,,,,,,12.9,41.2,-0.5800000000000001,76.05,5207.57,500.5,126.6,-109.78999999999999,0.47,6,2017,,,,,,,,,,,,
2017-09-30,152.83000000000004,,,,,,,13.5,37.67999999999999,-0.69,80.89,5216.45,498.81,114.63000000000002,-109.80000000000001,0.71,9,2017,,,,,,,,,,,,
