,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-06-30,,,,,,,,,,,4.07,1.13,6.18,11.38,75.76,152.59,2.64,53.57,3.39,60.57,16.82,77.4,70.0,75.2,,,,,,0.0,1.03,0.02,,,,,,2.17,2.16,0.19,0.09,6,2014,,187.0,3.74
2014-09-30,87.41999999999999,5.379999999999999,0.023596491228070175,0.0,10.139999999999997,1.9299999999999997,4.779999999999999,4.88,85.47999999999999,1.3999999999999995,44.73,2.29,7.68,164.7,75.68,309.9,0.0,57.72,6.39,64.11,6.23,70.33,100.0,239.57,10.010000000000002,-119.02000000000001,149.67,2.8499999999999996,51.70260223048327,2.04,0.29,0.04,6.93736842105263,0.0,8.990263157894736,0.0,7.220526315789473,3.51,3.5,2.57,2.45,9,2014,0.0,227.99999999999997,9.12
2014-12-31,80.39999999999998,-2.0299999999999994,-0.005726375176304653,0.0,6.020000000000003,-3.21,1.4000000000000021,4.44,83.62000000000003,-4.41,17.23,3.25,9.12,139.6,80.64,296.61,0.0,55.02,0.41,55.44,6.33,61.76,100.0,234.85,-10.550000000000002,-8.169999999999987,-8.780000000000001,4.609999999999999,-193.83990147783257,1.89,0.26,0.02,-2.737207334273624,-0.0,-3.45873060648801,-0.0,-2.0500423131170655,2.09,2.08,2.52,2.35,12,2014,0.0,354.5,7.09
2015-03-31,75.06,-4.98,-0.03,0.0,4.66,-6.18,0.52,3.88,81.23,-6.76,30.24,2.68,9.54,102.03,107.57,286.47,0.0,49.47,0.42,49.88,6.72,56.61,100.0,229.87,-0.32,13.43,-0.1,6.7,-32.3325,1.69,0.25,-0.03,-6.96,0.0,-8.68,0.0,-10.44,-6.69,-6.63,2.05,1.85,3,2015,0.0,166.00000000000003,-4.98
2015-06-30,82.18,-5.379999999999999,-0.015579150579150576,0.0,4.18,-6.700000000000001,-1.79,3.3,88.89,-7.880000000000001,68.0,2.69,9.27,79.96,112.22,282.51,0.0,51.18,0.42,51.6,6.42,58.02,100.0,224.49,-1.21,39.07,-0.1,4.909999999999999,-52.9553903345725,1.47,0.26,-0.03,-7.623397683397682,-12.297142857142857,-9.575984555984556,-14.353590733590732,-11.59088803088803,-6.66,-6.59,1.55,1.37,6,2015,0.0,345.3333333333333,-10.36
2015-09-30,80.19999999999999,-7.789999999999999,-0.021460055096418733,0.0,1.4900000000000002,-9.72,-4.66,2.96,89.93,-9.98,41.72,2.27,9.79,53.79,112.24,275.32,0.0,51.45,0.43,51.88,6.75,58.63,100.0,216.69,-0.6900000000000002,-25.48,-0.10999999999999999,5.060000000000002,-34.4826700898588,1.37,0.27,-0.05,-11.313741046831955,-13.253730027548208,-14.38682093663912,-13.665763085399448,-17.35689256198347,-7.71,-7.64,1.04,0.85,9,2015,0.0,362.99999999999994,-18.15
2015-12-31,80.69999999999999,-12.470000000000002,-0.03258001306335729,0.0,-4.36,-15.379999999999995,-10.080000000000002,2.96,96.07999999999998,-17.59,6.03,3.03,10.84,19.9,130.8,283.05,3.76,56.6,2.42,62.78,16.04,78.82,100.0,204.23,-11.879999999999999,-27.09,3.27,5.299999999999997,-22.71331194867682,1.45,0.39,-0.08,-17.625787067276292,-21.339908556499022,-24.418719790986287,-22.724559111691708,-28.08397126061398,-9.75,-9.62,0.32,0.14,12,2015,0.0,382.75,-30.62
2016-03-31,82.36,-14.27,-0.04,0.0,-6.23,-16.57,-10.12,2.16,98.92,-20.36,22.48,2.89,13.08,84.45,154.77,384.37,0.0,78.96,2.12,178.61,15.38,193.99,100.0,190.38,-13.02,-65.94,95.4,6.45,-13.5,1.13,1.02,-0.04,-14.84,-19.76,-30.0,-27.16,-32.2,-18.16,-17.33,0.47,0.4,3,2016,0.0,356.75,-14.27
2016-06-30,86.51,-19.080000000000002,-0.045769115442278865,0.0,-6.08,-21.89,-13.99,1.71,108.41000000000001,-24.08,205.04,2.12,13.31,228.49,157.88,547.49,0.0,78.01,2.14,179.45,15.23,194.69,137.5,352.8,-16.27,17.849999999999994,180.98,7.8999999999999995,-9.342544549266247,0.67,0.55,-0.08,-13.936695652173915,-21.213985007496255,-21.62590704647676,-26.431664167916043,-23.914362818590707,-20.47,-19.75,1.27,1.2,6,2016,0.0,416.875,-33.35
2016-09-30,93.27999999999997,-23.909999999999997,-0.050108278030038415,0.0,-4.880000000000001,-23.339999999999996,-14.79,1.44,116.61999999999998,-25.700000000000003,153.36,2.39,15.21,170.96,174.94,512.26,0.0,74.78,5.73,80.52,24.86,105.37,150.0,406.88,-16.33,-11.309999999999995,-24.039999999999992,8.549999999999999,-7.184441656210791,0.53,0.26,-0.12,-18.673684945860984,-26.206629409710093,-23.500782396088017,-30.682968913726857,-23.901648620328324,-22.56,-21.84,2.12,1.93,9,2016,0.0,477.1666666666667,-57.26
2016-12-31,88.14000000000004,-25.270000000000003,-0.048990670059372354,0.0,-5.109999999999999,-16.680000000000007,-10.440000000000005,1.54,104.82,-18.799999999999997,78.12,4.6,15.19,152.9,175.69,486.57,0.0,75.5,5.8,81.3,23.13,104.44,150.0,382.13,-10.370000000000005,-63.46,-1.4099999999999966,6.240000000000002,-7.862721606648199,0.6,0.27,-0.16,-20.77204410517388,-24.972994062765057,-26.454961832061073,-34.47718405428329,-23.71148430873622,-24.29,-23.56,1.88,1.69,12,2016,0.0,515.8125,-82.53
2017-03-31,90.56,-15.41,-0.029999999999999995,0.0,-3.86,-15.65,-7.21,1.54,106.21,-17.35,60.13,6.16,14.74,136.03,173.36,468.0,0.0,73.4,5.87,79.27,22.01,101.28,150.0,366.71,-8.59,-7.97,-1.43,8.44,-12.8325,0.63,0.28,-0.03,-13.16,-14.68,-16.8,-22.12,-16.12,-17.34,-17.02,1.72,1.53,3,2017,0.0,513.6666666666667,-15.41
2017-06-30,95.32,-15.850000000000001,-0.02535188739603327,0.0,-3.02,-14.06,-4.97,1.49,109.39,-16.519999999999996,50.78,7.73,14.44,127.94,175.14,456.34,0.0,74.13,7.47,81.6,23.88,105.48,150.0,350.86,-0.7799999999999994,-6.660000000000001,-1.91,9.090000000000002,-14.693186119873818,0.64,0.3,-0.05,-13.892834293026231,-12.006653870761356,-18.070825335892515,-18.009980806142035,-16.08323736404351,-17.2,-16.82,1.57,1.39,6,2017,0.0,625.2,-31.26
2017-09-30,107.54000000000002,-10.309999999999999,-0.017361077700264613,0.0,4.23,-10.579999999999998,-1.4399999999999995,1.45,118.10999999999999,-13.350000000000001,39.73,6.1,15.29,116.13,171.46,438.24,0.0,67.84,7.49,75.33,22.35,97.68,150.0,340.56,-2.7200000000000006,-6.4399999999999995,-1.88,9.14,-20.875720174587784,0.64,0.29,-0.07,-9.41466442145778,-8.412682222756795,-12.11307192687034,-11.031724801539568,-11.011883569882125,-14.51,-14.17,1.54,1.34,9,2017,0.0,593.8571428571428,-41.57
