,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2002-06-30,,,,,,,,,0.0,,,3.4,60.63,62.5,134.74,358.54,508.81,85.53,48.58,22.23,157.46,191.55,349.01,145.0,159.8,,,,,,0.0,2.18,-0.08,,,,,,-7.95,-7.87,0.0,0.86,0.46,6,2002,,145.0,-11.6
2002-09-30,83.84,-12.81,-0.0839655878738222,0.0,-6.11,-9.280000000000001,2.6100000000000003,1.32,0.0,93.13,-9.659999999999998,2.87,76.32,66.24,165.08,363.07,543.68,60.93,47.28,29.74,139.48,172.21,311.7,195.0,231.99,-32.69,-16.42,48.57000000000001,11.89,-3.9301814988290396,1.11,1.34,-0.16,-9.425137238836543,0.0,-22.08294961081524,0.0,-8.522507169192954,-10.64,-10.55,0.0,1.18,0.71,9,2002,0.0,152.5625,-24.41
2002-12-31,120.44,-5.440000000000001,-0.03280402010050252,0.0,11.290000000000001,-0.2799999999999976,4.129999999999999,1.3,0.0,120.70000000000002,-4.75,1.61,84.41,73.61,169.32,373.38,558.54,84.56,45.32,25.24,161.01,170.98,331.99,195.0,226.55,-4.409999999999997,-15.0,18.139999999999986,4.41,-9.904273897058822,1.12,1.47,-0.18,-3.8927437185929654,0.0,-9.607932998324959,0.0,-3.0617085427135686,-8.64,-8.49,0.0,1.05,0.59,12,2002,0.0,165.83333333333334,-29.85
2003-03-31,103.77,-12.72,-0.07,0.0,1.1,-8.73,1.41,1.7,0.0,112.5,-9.59,10.47,75.48,83.14,178.96,366.98,565.78,118.16,38.91,28.76,188.91,163.04,351.95,195.0,213.84,-12.36,-7.81,29.02,10.14,-6.0725,1.55,1.65,-0.07,-9.0,0.0,-23.8,0.0,-9.28,-12.36,-12.26,0.0,0.95,0.51,3,2003,0.0,181.7142857142857,-12.72
2003-06-30,127.8,-4.26,-0.022579505300353353,0.0,6.9399999999999995,0.16000000000000014,11.08,2.88,0.0,127.63999999999999,-0.9399999999999995,4.49,88.05,86.92,192.02,361.7,573.49,126.9,44.55,32.42,208.42,155.5,363.92,195.0,209.58,-5.330000000000002,-4.8500000000000005,4.209999999999997,10.919999999999998,-31.887323943661976,2.68,1.74,-0.09,-2.970459363957597,-1.5855830388692578,-8.128621908127208,-9.222473498233214,-2.3583038869257953,-7.4,-7.33,0.0,0.92,0.5,6,2003,0.0,188.66666666666669,-16.98
2003-09-30,159.14,2.870000000000001,0.01423812898653438,0.0,10.3,6.82,17.39,3.98,0.0,152.32,4.829999999999999,10.72,109.59,149.54,302.22,358.97,680.66,174.18,43.6,32.42,255.86,147.36,403.22,260.0,277.44,-69.25,-28.7,104.18,10.57,69.88628919860625,3.73,1.45,-0.07,1.684167257264352,0.23594613749114113,4.141261516654857,4.507384833451455,0.333579021970234,-3.71,-3.61,0.0,1.18,0.6,9,2003,0.0,201.57142857142856,-14.11
2003-12-31,160.96999999999997,3.42,0.015996258185219832,0.0,18.919999999999998,7.08,17.779999999999998,4.0,0.0,153.89000000000004,3.62,7.8,142.69,94.67,318.89,353.2,692.5,179.61,39.27,38.43,263.42,148.22,411.64,260.0,280.86,-6.609999999999999,-8.64,12.330000000000013,10.7,62.51461988304093,3.7,1.47,-0.05,1.9707390084190834,-1.0877455565949485,4.875659494855006,5.387539756782039,-1.5868288119738072,-1.98,-1.94,0.0,1.21,0.85,12,2003,0.0,213.79999999999998,-10.69
2004-03-31,128.17,0.62,0.0,0.0,16.08,4.34,14.73,9.0,0.0,123.82,2.36,49.58,126.62,132.29,332.11,359.15,710.61,205.66,36.1,44.04,295.69,133.43,429.12,260.0,281.49,43.18,-19.44,18.04,10.39,0.0,8.31,1.52,0.0,0.35999999999999993,2.72,0.88,1.0,4.2,0.5,0.48,0.0,1.12,0.68,3,2004,0.0,inf,0.62
2004-06-30,167.30000000000004,-3.17,-0.012431372549019609,0.0,7.930000000000003,0.2999999999999998,11.04,6.45,0.0,167.01999999999998,-0.97,7.05,161.99,115.68,311.27,365.15,698.48,191.0,48.65,50.04,300.74,119.42,420.16,260.0,278.32,3.3100000000000023,-23.169999999999998,-22.669999999999998,10.739999999999998,-129.7121451104101,6.03,1.51,-0.01,-1.839843137254902,3.629960784313726,-4.574745098039216,-5.221176470588236,5.817882352941176,-0.88,-0.86,0.0,1.04,0.65,6,2004,0.0,254.99999999999997,-2.55
2004-09-30,149.35999999999996,-3.66,-0.01178743961352657,0.0,6.34,-0.16999999999999993,10.02,7.5,0.0,149.52000000000004,-3.5999999999999996,9.06,153.27,138.42,327.08,360.0,707.6,218.83,47.34,60.04,333.53,99.41,432.94,260.0,274.65,-8.899999999999999,-6.910000000000004,17.82,10.190000000000001,-159.06762295081967,7.1,1.58,-0.02,-2.074589371980676,1.508792270531401,-5.327922705314009,-5.304347826086957,2.805410628019324,-1.43,-1.4,0.0,0.98,0.57,9,2004,0.0,310.5,-6.21
