,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2004-03-31,496.49,114.0,0.06,0.0,,124.23,145.59,4.04,0.0,372.26,2456.08,146.5,6503.29,2345.5,14304.6,4150.31,534.27,-7.62,97.21,21.36,16.8325,13.92,0.57,0.06,0.0,0.0,7.0,6.8,11.0,13.08,22.96,0.0,3,2004,,0.0,,1900.0,114.0
2004-06-30,318.55999999999995,68.81,0.03387615557135824,0.1,,77.52999999999999,98.99000000000001,3.66,0.23,241.03999999999996,2487.5,134.96,5854.55,1717.59,14938.22,4128.77,127.13999999999999,-2.999999999999999,-92.72,21.46,27.012362665310274,13.24,0.42,0.09,0.1,1.11,4.697493572561676,5.495465237131448,6.669838630271866,7.783987746840983,22.43,0.0,6,2004,,203.12222222222226,,2031.2222222222224,182.81
2004-09-30,306.60000000000014,76.49000000000001,0.03834824527574239,-0.0018352830269529321,,84.84000000000003,106.73999999999998,3.4,0.0,221.75,1064.81,139.58,6058.69,1846.62,14938.22,4204.72,-586.77,-835.22,-0.7000000000000002,21.9,22.162030984442406,12.08,0.44,0.13,0.1,0.77,5.050168916313152,5.793534901658312,7.280266872348631,8.17702583879676,23.12,0.0,9,2004,,-3.66068376068381,,1994.6153846153845,259.3
2004-12-31,323.89999999999986,59.19999999999999,0.029739403453689164,-0.0002004588817775587,,62.81999999999999,84.63999999999999,3.22,0.0,261.08000000000015,774.68,129.49,6356.58,2095.53,14938.22,4254.49,-577.98,-10.230000000000018,298.09,21.820000000000007,27.075190033783787,11.31,0.49,0.16,0.1,0.63,3.7248602825745674,3.754599686028257,5.568703296703296,5.776879120879119,22.03,0.0,12,2004,,-0.3990384615384528,,1990.625,318.5
2005-03-31,452.39,163.29,0.08,0.1,,171.68,190.7,2.98,0.0,280.71,1294.78,126.96,8005.37,3779.34,14938.22,4218.78,423.66,78.68,17.75,19.02,9.3125,10.55,0.9,0.08,0.1,1.25,8.16,9.48,15.48,15.6,36.09,0.0,3,2005,,204.11249999999998,,2041.1249999999998,163.29
2005-06-30,268.33000000000004,23.47,0.011310237738273719,0.0016377971728421764,,30.859999999999985,47.97,2.44,56.39,237.48000000000008,284.77,127.48,7040.3,2781.75,3983.53,4250.69,-508.3,-12.120000000000005,-489.58,17.110000000000003,53.93122709842352,2.29,0.65,0.09,0.1,1.11,1.3320946669522382,1.5784065110301992,2.2067530520454057,2.2419404583422575,25.91,0.0,6,2005,,3.3986111111111654,,2075.1111111111113,186.76
2005-09-30,240.73000000000002,13.320000000000022,0.006657337065173941,-0.0037140699275845343,,21.560000000000002,38.01000000000002,2.52,57.82,219.15999999999997,370.46,122.46,7134.05,2861.48,3983.53,4263.78,137.57999999999998,-24.840000000000003,-27.05000000000001,16.449999999999996,94.6324324324323,2.35,0.67,0.1,0.1,1.0,0.7456217512994813,0.9053978408636558,1.2489164334266314,1.2595681727309096,20.81,0.0,9,2005,,-7.431111111111136,,2000.8,200.08
2005-12-31,217.30999999999995,-41.53,-0.02095490381583097,-0.0009549038158309745,,-36.00999999999999,-20.220000000000027,2.24,103.27,253.30999999999995,740.61,115.1,6438.49,2207.79,3983.53,4222.65,361.24,9.520000000000003,-0.6100000000000136,15.790000000000006,-26.72405490007224,2.11,0.52,0.08,0.1,1.25,-2.577453169347209,-3.080370860927152,-3.9290444654683063,-3.918567013560391,13.45,0.0,12,2005,,-1.8925000000000125,,1981.875,158.55
2006-03-31,393.54,156.22,0.08,0.0,,164.67,175.35,2.24,0.0,228.88,1260.15,111.51,6042.14,1672.61,3983.53,4361.88,498.38,-8.74,29.89,10.68,7.0,2.05,0.38,0.08,0.0,0.0,10.36,9.36,14.32,14.559999999999999,39.7,0.0,3,2006,,0.0,,1952.75,156.22
2006-06-30,246.19,31.960000000000008,0.015285365075991075,0.0,,38.420000000000016,60.55000000000001,1.96,0.0,207.76,807.88,113.15,6152.03,1753.48,3983.53,4390.37,-412.75,-9.62,-29.89,22.130000000000003,32.060078222778465,1.78,0.4,0.09,0.0,0.0,2.078809650334786,2.092396641513445,2.9144096078222983,2.9619640769476043,29.42,0.0,6,2006,,0.0,,2090.888888888889,188.18
2006-09-30,301.90999999999997,60.609999999999985,0.029234293982877118,0.0,,66.78,76.78,1.91,0.0,235.13,365.33,106.58,7076.62,2631.82,1991.76,4437.34,-445.44,-5.780000000000001,8.67,10.0,16.336977396469234,0.86,0.59,0.12,0.0,0.0,3.430157160657582,3.7030105711644348,5.466812974798021,5.5740053860685705,26.42,0.0,9,2006,,0.0,,2073.25,248.79
2006-12-31,207.2199999999999,-66.85999999999999,-0.03307535865442752,0.0,,-60.44,-40.25,1.7,0.0,267.65999999999997,427.2,105.22,6343.04,1994.46,1991.76,4340.66,65.99000000000001,-9.100000000000001,4.970000000000001,20.189999999999998,-12.85020079270117,0.78,0.46,0.09,0.0,0.0,-4.218945748364754,-4.821652283845433,-6.159366789424503,-6.247567745836309,15.84,0.0,12,2006,,0.0,,2021.4444444444446,181.93
2007-03-31,354.82,72.32,0.04,0.07,,111.04,125.0,1.37,0.0,243.78,1254.69,100.26,7100.37,2702.26,1991.76,4390.86,704.95,-9.42,131.96,13.96,8.5625,0.62,0.62,0.04,0.07,1.75,4.08,6.76,6.6,6.6,20.38,0.0,3,2007,,126.56,,1807.9999999999998,72.32
2007-06-30,348.09999999999997,69.07,0.034195487658250236,0.007342103401937896,,94.51,108.37,1.95,0.0,253.6,636.25,91.4,7027.31,2708.76,1991.76,4311.0,-501.02000000000004,-20.770000000000003,-96.65,13.86,14.257729115390184,0.9,0.63,0.07,0.07,1.0,3.927596011033312,6.09656694249947,6.409211401089185,6.350590565103614,20.11,0.0,6,2007,,14.829999999999984,,2019.8571428571424,141.39
2007-09-30,460.66999999999996,110.65,0.05707229011268053,-0.0029277098873194615,,168.5,181.17000000000002,2.86,1.23,292.15999999999997,352.65,83.75,8514.1,4090.59,1991.76,4416.32,-204.11,-7.969999999999995,-71.51,12.670000000000002,12.527971079981924,1.29,0.93,0.13,0.07,0.54,5.197968576416442,8.429138232026663,10.02716235518172,9.992040945881609,21.66,0.0,9,2007,,-5.676153846153824,,1938.7692307692307,252.04
2007-12-31,359.02,81.6,0.04157774847140631,0.000849556869218773,,121.64999999999998,133.84999999999997,2.78,1.86,237.3800000000001,1265.77,86.81,8277.51,3785.05,1991.76,4484.97,1044.68,-12.400000000000006,-119.16000000000001,12.199999999999996,16.712665441176473,1.23,0.84,0.17,0.07,0.41,3.9425488550533507,6.632873756144347,7.278551732406187,7.395947728090157,21.91,0.0,12,2007,,1.667330316742067,,1962.5882352941173,333.64
2008-03-31,395.92,82.08,0.04,0.0,,120.78,130.64,2.28,0.19,275.14,339.95,82.34,7919.48,3373.11,1991.76,4539.84,-1020.64,-3.56,98.37,9.86,14.249999999999998,1.0,0.74,0.04,0.0,0.0,4.16,6.44,7.24,7.36,20.73,0.0,3,2008,,0.0,,2052.0,82.08
2008-06-30,280.71,24.83,0.011612571321672436,0.11999999999999998,,33.71000000000001,42.890000000000015,1.87,29.49,247.0,978.72,77.56,7605.47,3251.2,1991.76,4347.45,965.28,12.38,-338.89,9.18,40.25809504631494,0.86,0.75,0.05,0.12,2.4,1.3098980450846505,1.9602020390983068,2.285354036105135,2.294644093162473,15.8,0.0,6,2008,,256.58399999999995,,2138.2,106.91
2008-09-30,266.46000000000004,-17.75999999999999,-0.007968592260235554,0.00487537857543468,,-26.710000000000008,-16.400000000000006,1.21,88.61,293.16999999999996,1294.6,86.39,7090.67,2746.99,1991.76,4338.08,339.03000000000003,-3.7600000000000007,-1.3799999999999955,10.310000000000002,-37.96153575450453,0.56,0.63,0.04,0.12,3.0,-1.0040426247896796,-1.3068491306786307,-1.641530005608524,-1.6255928210880528,9.45,0.0,9,2008,,10.866000000000042,,2228.75,89.15
2008-12-31,420.38,97.97,0.047121098760153905,-0.008636703719538254,,125.78999999999999,133.88,0.74,150.5,294.59000000000015,1916.61,224.52,6654.6,2198.33,1991.76,4450.49,712.3899999999999,-90.37,0.0,8.089999999999996,3.9249933653159133,0.33,0.49,0.09,0.12,1.33,5.884901667379222,7.120521590423258,8.79593843522873,8.774995724668662,13.72,0.0,12,2008,,-17.95666666666665,,2079.1111111111113,187.12
2009-03-31,171.8,-59.94,-0.03,0.08,,-55.34,-39.54,0.72,0.0,227.14,1116.75,220.01,8073.65,3665.74,1991.76,4402.65,-749.99,-49.2,-0.68,15.8,-6.0,0.33,0.83,-0.03,0.08,-2.5,-2.96,-2.76,-5.44,-5.36,-34.89,0.0,3,2009,,159.84,,1998.0,-59.94
2009-06-30,478.05,70.05,0.06928783382789318,-0.07810089020771516,,103.30000000000001,119.78,1.17,0.0,374.75,2152.44,206.99,9381.14,5083.26,1991.76,4292.4,1202.56,-17.539999999999992,-149.32,16.48,4.221520342612419,0.54,1.18,0.01,0.08,7.5,3.0486646884272997,15.520474777448072,6.651632047477745,6.374480712166173,1.56,2.6,6,2009,,-78.96000000000001,,1010.9999999999999,10.11
2009-09-30,474.57000000000005,107.65,0.05484884510869565,0.038790760869565226,,135.54999999999998,151.73000000000002,1.37,0.0,339.02,435.68,190.44,7426.81,3031.24,1991.76,4390.36,-1704.87,-11.540000000000006,-0.36000000000001364,16.18,6.243522526706919,0.62,0.69,0.06,0.08,1.25,5.813977581521739,9.251171874999999,9.799660326086958,9.872792119565219,10.47,7.47,9,2009,,76.13333333333335,,1962.6666666666667,117.76
2009-12-31,499.47,124.58,0.061688536766526365,0.0022513823553684835,,145.18,160.98999999999998,1.2,0.0,354.2900000000001,208.92,178.3,8059.34,3542.99,1991.76,4511.02,-563.8900000000001,-2.8700000000000045,340.0,15.809999999999995,4.863140150907048,0.53,0.79,0.12,0.08,0.63,6.189416522241478,9.19159197821243,11.04224808120822,11.124499463563588,14.92,9.91,12,2009,,4.546666666666653,,2019.5,242.34
2010-03-31,283.83,31.99,0.02,0.1,,58.7,74.07,1.16,0.01,225.13,606.16,165.43,10272.34,5745.43,1991.76,4522.57,739.82,-2.0,-340.58,15.37,14.5,0.51,1.27,0.02,0.1,5.0,1.24,2.56,2.84,2.88,11.27,5.34,3,2010,,159.95000000000002,,1599.5,31.99
2010-06-30,467.84,191.25,0.0942371438810249,0.02118571940512453,,222.8,237.93,1.15,0.22,245.04000000000002,583.28,155.54,9646.24,5125.59,1991.76,4516.08,121.62,54.6,-199.09999999999997,15.13,3.049487581699346,0.51,1.13,0.11,0.1,0.91,7.915920086006092,10.143343486830316,16.92841784626411,17.373902526428957,29.7,12.21,6,2010,,42.99545454545455,,2029.4545454545455,223.24
2010-09-30,748.32,293.4,0.14765407246825643,-0.002132661392494174,,368.4,383.83000000000004,2.84,1.98,379.92,246.03,148.72,15525.52,10753.12,1991.76,4768.43,-3066.3,8.0,2721.06,15.43,4.807182004089979,1.19,2.26,0.26,0.1,0.38,7.564431712604522,12.857262310312791,24.601440074326415,25.623660576029728,34.44,0.0,9,2010,,-4.237762237762269,,1987.0769230769229,516.64
