,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2015-03-31,6564.72,531.38,0.47,0.0,677.86,654.35,914.52,,5910.37,540.99,1257.27,3618.3,367.14,7240.55,21427.26,43949.28,2209.79,1594.82,5783.91,11613.32,17397.23,11237.26,25815.88,8.05,-1879.12,-292.6,260.17,0.0,0.0,0.67,0.47,0.0,0.0,4.84,0.0,8.24,0.0,6.84,8.24,8.09,5.41,1.25,1.19,3,2015,0.0,1130.595744680851,531.38
2015-06-30,6716.55,473.70000000000005,0.3864707286982131,0.0,701.7599999999999,582.2800000000001,845.79,26.0,6134.28,508.93000000000006,5933.2,3777.59,366.89,17466.91,21760.22,54552.74,2753.41,1594.82,5435.5,12660.17,18095.67,14983.01,35612.81,1160.8700000000001,-6829.349999999999,10344.41,263.50999999999993,16.820290690310323,10.94,0.51,0.82,0.0,0.0,3.4688104429498154,0.0,5.316329048433955,0.0,4.75076212838779,7.72,7.57,6.68,3.21,3.15,6,2015,0.0,1225.7073170731708,1005.08
2015-09-30,5061.73,565.85,0.4286387681182484,0.35,436.22,674.3599999999999,942.9000000000001,22.1,4387.359999999999,283.3499999999999,1788.81,1961.87,382.16,15107.79,23069.99,53450.89,1272.96,1594.82,4196.08,12625.23,16821.31,14983.01,35683.5,726.71,-4318.25,-552.8500000000004,268.5400000000001,12.888649863037909,9.28,0.47,1.19,0.35,0.29,4.235959590815631,0.0,6.339531360404347,0.0,5.590314017811105,8.9,8.56,7.12,3.6,3.51,9,2015,462.03823529411767,1320.109243697479,1570.93
2015-12-31,5016.459999999999,335.04999999999995,0.2461043662577781,0.010618931252287678,450.78,462.22,752.2799999999997,22.2,4554.240000000002,262.98,2864.88,2848.52,406.3,16316.25,23467.2,55866.53,1959.81,1594.82,4568.79,14171.16,18739.95,14983.01,36004.88,736.1599999999999,-1082.7600000000002,1422.6600000000017,290.05999999999995,22.555471422175795,9.24,0.52,1.4,0.35,0.25,2.3977596826829237,0.0,3.719691707153275,0.0,3.255609187924322,8.49,8.16,6.67,3.57,3.48,12,2015,14.456764705882335,1361.4142857142858,1905.98
2016-03-31,5836.63,870.52,0.58,0.6,882.95,1044.82,1356.6,26.25,4791.81,711.87,5733.45,2308.37,409.36,15672.53,24562.35,56569.99,1462.38,1594.84,4299.84,14098.25,18398.09,14983.01,36899.34,1198.83,1811.89,-142.15,311.78,11.315,10.66,0.5,0.58,0.6,1.03,6.16,8.32,9.44,11.12,8.0,15.87,14.91,10.51,3.64,3.55,3,2016,900.5379310344828,1500.896551724138,870.52
2016-06-30,5748.97,686.55,0.4585612721329163,-0.0014883391728452496,944.8799999999999,908.6000000000001,1221.7800000000002,33.5,4840.37,740.4699999999999,7781.88,2757.87,422.14,14998.14,25549.05,57415.46,1718.56,1594.84,4518.49,14687.3,19205.79,14983.01,36736.1,1090.58,1142.11,-184.26000000000002,313.18000000000006,18.262772085063,13.66,0.52,1.04,0.6,0.58,4.779619413385396,6.1553032297841455,7.478076130167558,7.583897962198231,6.50804266988639,14.11,13.44,9.94,3.32,3.23,6,2016,-2.2283156498674543,1497.1826923076922,1557.07
2016-09-30,5462.109999999999,724.1800000000001,0.4825221260273973,0.4514550727081139,736.4000000000001,879.3899999999999,1195.02,36.5,4582.719999999999,546.3100000000002,6454.46,2781.75,439.23,11871.28,25877.96,57280.95,1672.02,1594.84,4096.86,14892.08,18988.94,14983.01,36781.71,779.3800000000001,-1669.17,-562.44,315.63,18.90856296086608,14.87,0.52,1.52,1.05,0.69,5.05378437260274,6.501350750684932,7.8727294246575354,7.9997089315068495,6.768007715068494,14.07,13.38,10.71,2.9,2.79,9,2016,677.5538714574901,1500.8223684210527,2281.25
2016-12-31,4737.120000000003,418.6500000000001,0.2791103374199045,-0.0006145695454607485,745.6799999999998,596.9200000000001,922.0899999999997,37.25,4140.199999999999,411.15999999999985,5421.67,2179.93,457.76,11665.02,26128.52,58028.28,1140.24,1913.28,4195.26,15078.91,19274.17,14983.01,37149.91,1061.3000000000002,-2475.16,505.88,325.16999999999996,33.35777558820016,15.02,0.52,1.8,1.05,0.58,2.8841401533390134,3.7338760694840554,4.5091825623171236,4.577409533686433,3.950961887477315,13.06,12.39,10.13,2.78,2.67,12,2016,-0.9218201754385973,1499.9444444444446,2699.9
2017-03-31,5698.18,749.87,0.5,0.7,788.8,907.45,1222.57,33.75,4790.73,596.6,5733.83,2385.34,468.97,12136.52,26200.14,59125.52,2050.92,1929.01,4801.84,14816.88,19618.73,14983.01,37888.08,1765.3,-1110.79,-342.35,315.12,16.875,13.35,0.52,0.5,0.7,1.4,5.08,6.280000000000001,7.92,8.04,6.679999999999999,13.97,13.16,11.68,2.53,2.43,3,2017,1049.818,1499.74,749.87
2017-06-30,5729.34,814.7499999999999,0.5415628075826718,0.002187930615740572,937.81,1021.95,1344.3799999999999,36.25,4707.390000000001,774.9399999999999,4419.53,2957.45,470.85,10854.44,26325.12,58378.2,1718.99,2332.59,4743.02,14299.59,19042.61,14983.01,37643.72,231.70000000000005,-294.27,-1251.7399999999998,322.42999999999995,16.73600895980362,14.43,0.51,1.04,0.7,0.67,5.582262785852156,6.936169804808835,8.66500492132275,8.769151615088647,7.498561951144686,14.45,13.69,10.22,2.29,2.19,6,2017,3.2916153846153975,1504.4423076923076,1564.62
