,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2008-03-31,86.78,4.3,0.09,0.15,15.16,5.92,7.98,2.08,1.02,80.87,5.98,24.52,42.28,47.09,132.48,93.25,227.43,0.0,90.15,3.69,107.76,19.08,126.84,50.0,100.59,11.42,-9.31,3.74,2.06,5.7775,1.03,1.26,0.09,0.15,1.67,7.56,11.52,17.08,16.96,19.8,5.01,4.96,0.0,1.23,0.79,3,2008,7.166666666666667,47.77777777777778,4.3
2008-06-30,93.74000000000001,6.989999999999999,0.14240035429583703,0.004000590493061678,18.91,9.32,12.36,2.26,1.67,84.4,9.84,12.12,55.73,51.3,133.8,92.56,228.29,10.0,71.28,4.14,108.6,19.6,128.2,50.0,100.09,-14.3,-0.28999999999999915,2.1899999999999995,3.0399999999999996,3.9692668097281834,1.13,1.28,0.23,0.15,0.65,12.25881310894597,19.515039858281664,27.935234720992025,28.851550044286977,31.526200177147917,6.31,6.25,0.0,1.23,0.76,6,2008,0.1963768115942015,49.086956521739125,11.29
2008-09-30,81.46000000000001,6.150000000000002,0.1234231651376147,0.1522324990027922,18.009999999999998,8.360000000000001,10.420000000000002,2.1,2.43,73.10999999999999,8.14,16.78,42.58,73.67,154.56,90.38,246.94,10.0,83.42,4.06,129.64,18.56,148.2,50.0,98.74,13.84,-0.13000000000000078,-9.05,2.0600000000000005,4.253658536585365,1.06,1.5,0.35,0.3,0.86,9.958486238532112,15.516055045871564,24.910321100917436,25.62970183486239,28.38027522935781,6.72,6.66,0.0,1.19,0.62,9,2008,7.585527950310562,49.828571428571436,17.44
2008-12-31,101.38999999999999,2.7300000000000004,0.054139811601388206,0.003548409944047022,12.920000000000002,4.059999999999999,5.469999999999995,1.5,3.17,97.32999999999998,4.009999999999998,13.27,40.71,47.35,112.64,88.73,203.46,8.0,54.64,3.96,84.48,17.51,101.99,50.0,101.46,1.1999999999999993,-1.0700000000000003,-3.6399999999999997,1.4100000000000001,6.926510989010988,0.74,1.01,0.4,0.3,0.75,5.365255329697571,7.677025285076847,10.762994546355975,11.044521566683194,12.587506197322757,5.6,5.55,0.0,1.33,0.77,12,2008,0.1789285714285711,50.425000000000004,20.17
2009-03-31,63.75,-3.29,-0.07,0.0,4.26,-2.9,-0.75,1.45,-0.13,66.65,-3.89,9.54,36.52,20.85,83.68,86.64,171.92,8.0,29.96,3.86,57.29,16.46,73.75,50.0,98.17,-1.83,-0.37,-1.52,2.15,-5.1775,0.74,0.75,-0.07,0.0,0.0,-7.64,-5.8,-13.4,-13.24,-10.12,-5.23,-5.16,0.0,1.46,1.1,3,2009,0.0,46.99999999999999,-3.29
2009-06-30,66.84,-0.3500000000000001,-0.006730769230769233,0.12000000000000001,10.200000000000001,0.22999999999999998,2.3600000000000003,1.59,0.26,66.60999999999999,8.540000000000001,22.13,46.22,24.15,107.12,84.62,193.65,8.0,55.79,3.9,86.5,15.32,101.83,50.0,91.82,19.85,-0.09000000000000002,-7.18,2.1300000000000003,-59.045999999999985,0.87,1.11,-0.07,0.12,-1.71,-0.7230769230769232,-0.48846153846153856,-1.5230769230769234,-1.457692307692308,-0.957692307692308,-2.82,-2.79,-8.34,1.24,0.96,6,2009,6.24,52.0,-3.64
2009-09-30,98.53999999999999,7.4,0.15744680851063833,0.037234042553191474,17.949999999999996,9.19,11.25,1.58,0.98,89.35000000000002,12.459999999999999,9.41,47.06,37.38,123.39,82.74,209.0,0.0,76.55,3.98,98.11,14.17,112.28,50.0,96.72,-0.41000000000000014,-0.15999999999999998,-12.16,2.0599999999999996,2.5087837837837834,0.82,1.16,0.08,0.17,2.13,14.170212765957448,22.514893617021276,30.623404255319155,30.30851063829788,46.289361702127664,1.66,1.64,7.95,1.26,0.88,9,2009,1.7499999999999991,46.99999999999999,3.76
2009-12-31,66.64999999999998,-0.05999999999999961,-0.0011351351351351277,0.018837837837837854,11.940000000000005,0.4900000000000002,2.5600000000000005,4.06,1.64,66.14999999999998,4.789999999999999,4.8,37.68,41.04,107.42,80.81,192.04,10.0,50.49,4.63,92.94,12.44,105.37,50.0,86.67,-13.01,-0.18000000000000005,8.59,2.0700000000000003,-894.1666666666725,2.34,1.22,0.07,0.17,2.43,-0.12518918918918837,-0.22962162162162011,-0.27697297297297113,-0.25491891891891727,-0.4585945945945916,1.26,1.25,6.61,1.16,0.71,12,2009,0.9957142857142864,52.857142857142854,3.7
2010-03-31,90.85,3.42,0.07,0.20000000000000004,15.26,4.84,6.83,7.1,0.18,86.0,7.67,14.81,47.45,31.61,111.24,78.96,196.61,13.0,56.85,4.5,95.04,11.48,106.52,50.0,90.09,18.29,-0.15,-8.13,1.99,25.3575,3.94,1.18,0.07,0.2,2.86,6.96,10.52,15.200000000000001,14.52,19.08,3.81,3.76,0.0,1.17,0.84,3,2010,9.771428571428572,48.857142857142854,3.42
2010-06-30,72.77000000000001,0.8600000000000003,0.018084112149532715,0.04452603471295059,12.65,1.8200000000000003,3.99,7.1,0.66,70.97,7.290000000000001,17.16,38.17,24.43,99.27,80.07,185.62,10.0,46.75,4.95,85.42,11.75,97.17,50.0,88.44,10.380000000000003,0.01999999999999999,-8.049999999999999,2.17,98.1538372093023,4.01,1.1,0.09,0.25,2.78,1.8566355140186923,2.8211214953271035,3.890093457943926,3.8177570093457955,5.344859813084114,2.64,2.62,0.0,1.16,0.88,6,2010,2.117460317460317,47.55555555555556,4.28
