,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2000-03-31,68.83,22.12,2.77,0.0,,22.12,22.12,8.59,0.0,32.44,143.04,0.0,660.23,1402.09,1048.54,80.0,353.56,50.14,5.24,-42.44,0.775,1.94,2.97,2.77,0.0,0.0,6.32,0.0,25.04,0.0,32.14,0.0,3,2000,,,0.0,,7.985559566787004,22.12
2000-06-30,77.25000000000001,-2.0199999999999996,-0.25224875621890536,0.0,,-2.0199999999999996,-2.0199999999999996,9.36,0.0,31.07,125.18,0.0,651.21,1250.01,977.66,80.0,272.35,9.030000000000001,4.1,-30.980000000000004,-9.278836633663369,2.75,3.59,2.51,0.0,0.0,-0.6472039800995023,-0.0,-2.966686567164178,-0.0,13.76,0.0,6,2000,,,0.0,,8.007968127490042,20.1
2000-09-30,45.50999999999999,-7.970000000000001,-0.9987139323990107,0.0,,-7.970000000000001,-7.970000000000001,9.17,0.0,28.78000000000001,122.01,0.0,643.12,1278.54,1020.99,80.0,257.55,19.42,4.130000000000001,-26.730000000000004,-2.294350690087829,2.85,3.96,1.52,0.0,0.0,-2.496784830997527,-0.0,-12.378796372629845,-0.0,6.33,0.0,9,2000,,,0.0,,7.980263157894737,12.13
2000-12-31,96.67999999999998,19.049999999999997,2.3827774214239894,0.0,,19.049999999999997,19.049999999999997,8.21,0.0,32.86,128.42,0.0,635.6,1382.99,1111.25,80.0,271.74,4.069999999999993,1.8499999999999996,2.0,0.8633832020997376,2.42,4.09,3.9,0.0,0.0,5.4987171263630525,0.0,28.03123797305965,0.0,10.82,0.0,12,2000,,,0.0,,7.994871794871795,31.18
2001-03-31,77.11,3.25,0.41,0.0,,3.25,3.25,8.78,0.0,28.66,130.64,0.0,627.43,1320.98,1063.58,80.0,257.4,14.41,2.17,-12.33,5.3575,2.73,4.13,0.41,0.0,0.0,1.0,0.96,5.04,4.24,4.21,0.0,3,2001,,,0.0,,7.926829268292684,3.25
2001-06-30,88.58,6.050000000000001,0.7546236559139785,0.5,,6.050000000000001,6.050000000000001,9.93,0.0,30.830000000000002,121.48,0.0,620.13,1321.41,1047.49,80.0,273.92,34.58,1.6099999999999999,-45.35,3.2895867768595037,2.9,3.82,1.16,0.5,0.43,1.821505376344086,1.8735483870967742,8.84731182795699,8.84731182795699,5.61,0.0,6,2001,,,4.008620689655173,,8.017241379310345,9.3
2001-09-30,74.80000000000001,2.709999999999999,0.33846794338051617,-0.0006603692325361739,,2.709999999999999,2.709999999999999,8.02,0.0,31.009999999999998,120.43,0.0,612.55,1567.48,1319.16,80.0,248.32,6.019999999999996,-0.08999999999999986,-6.970000000000006,5.927444649446495,2.58,5.31,1.5,0.5,0.33,0.6949875104079931,0.7581681931723561,4.368492922564529,4.287260616153204,4.99,0.0,9,2001,,,-0.005287356321839631,,8.006666666666666,12.01
2001-12-31,104.33999999999997,-4.72,-0.5891906721536351,0.00026977594878833786,,-4.72,-4.72,8.4,13.06,37.209999999999994,115.35,0.0,605.04,1386.57,1213.38,80.0,173.19,-13.469999999999999,14.160000000000002,5.130000000000003,-3.563914194915255,3.88,7.01,0.91,0.5,0.55,-1.3726200274348421,-1.3726200274348421,-10.903264746227709,-8.494705075445815,2.11,0.0,12,2001,,,0.0021611721611725088,,8.010989010989011,7.29
2002-03-31,106.15,-4.93,-0.62,0.0,,-4.93,-4.93,9.93,4.41,31.92,113.9,0.0,598.71,1266.6,1090.23,80.0,176.37,16.99,-2.02,-16.42,-4.005,4.5,6.18,-0.62,0.0,0.0,-1.56,-1.5199999999999998,-11.2,-9.08,-4.64,0.0,3,2002,,,0.0,,7.951612903225806,-4.93
2002-06-30,107.16999999999999,5.06,0.7784615384615384,0.0,,5.06,5.06,9.93,0.81,36.19,122.75,0.0,590.76,1262.04,1046.65,80.0,215.4,46.260000000000005,8.7,-31.11,3.1891749011857713,3.69,4.86,0.02,0.0,0.0,1.5569230769230769,1.5569230769230769,9.34153846153846,7.7846153846153845,0.06,0.0,6,2002,,,0.0,,6.5,0.13
2002-09-30,123.84000000000003,2.5100000000000002,0.31375000000000003,0.0,,2.5100000000000002,2.5100000000000002,8.78,0.0,37.0,138.69,0.0,578.94,1489.45,1308.09,80.0,181.36,41.45,-14.29,-36.230000000000004,6.999681274900398,3.88,7.21,0.33,0.0,0.0,0.6845454545454546,0.6465151515151516,5.552424242424243,4.677727272727273,0.78,0.0,9,2002,,,0.0,,8.0,2.64
2002-12-31,105.70999999999998,16.06,2.0096470588235293,0.0,,16.06,16.06,8.78,0.82,31.86,125.45,0.0,578.21,1569.36,1355.97,80.0,213.39,20.700000000000003,0.6000000000000005,-34.53999999999999,1.091609589041096,3.29,6.35,2.34,0.0,0.0,4.087999999999999,4.362823529411765,30.093176470588233,33.21929411764705,4.22,0.0,12,2002,,,0.0,,7.9914529914529915,18.7
2003-03-31,104.74,3.51,0.44,0.0,,4.63,4.63,11.84,0.0,29.96,127.39,0.0,569.94,1094.64,876.46,80.0,218.18,13.74,0.02,-11.82,6.7275,4.34,4.02,0.44,0.0,0.0,1.28,1.56,6.44,7.12,3.35,0.0,3,2003,,,0.0,,7.977272727272727,3.51
2003-06-30,99.89,7.960000000000001,0.9923975588491718,0.5,,6.88,6.88,16.12,0.0,32.68,126.55,0.0,562.0,1242.24,923.38,80.0,318.86,43.14,-2.13,-41.839999999999996,4.059890075376884,4.04,2.9,1.43,0.5,0.35,2.5538622493461207,2.5538622493461207,9.993374019180472,11.908770706190062,5.61,0.0,6,2003,,,4.010489510489511,,8.020979020979022,11.47
2003-09-30,93.07,9.229999999999999,1.1548647342995166,-0.0017955474477213778,,9.229999999999999,9.229999999999999,16.81,0.0,32.75,124.3,0.0,553.72,1175.38,819.81,80.0,355.57,12.54,-9.66,-5.130000000000003,3.638759479956663,3.78,2.31,2.59,0.5,0.19,3.139091787439613,2.7823768115942027,10.380405797101448,13.75136231884058,6.95,0.0,9,2003,,,-0.014350514350514487,,7.992277992277993,20.7
2003-12-31,95.43,-12.209999999999999,-1.524452296819788,0.0010709851699250497,,-11.399999999999999,-11.399999999999999,26.74,0.0,41.519999999999996,125.95,0.0,546.02,1486.76,1079.15,80.0,407.61,27.78,-24.860000000000003,-1.2700000000000031,-4.384066339066339,5.25,2.65,1.06,0.5,0.47,-3.2790106007067132,-3.5091166077738514,-11.965512367491165,-15.704734982332155,2.16,0.0,12,2003,,,0.008577984993078935,,8.00943396226415,8.49
2004-03-31,81.98,7.96,0.9900000000000001,0.0,,7.96,7.96,21.39,0.0,31.18,124.94,0.0,536.3,1101.56,806.69,80.0,294.87,-9.92,15.57,-6.67,5.4,5.8,2.74,0.99,0.0,0.0,2.88,2.88,10.8,12.4,9.71,0.0,3,2004,,,0.0,,8.04040404040404,7.96
2004-06-30,78.08,18.2,2.275,0.5,,19.93,19.93,15.28,0.0,33.440000000000005,126.52,0.0,528.31,1172.66,809.1,80.0,363.56,65.03999999999999,0.620000000000001,-64.07,1.678120879120879,3.36,2.23,3.27,0.5,0.15,6.205810397553516,6.428440366972477,20.03669724770642,21.34464831804281,16.34,0.0,6,2004,,,4.0,,8.0,26.16
2004-09-30,80.07999999999998,13.360000000000003,1.6700000000000004,0.0,,20.57,20.57,16.81,0.0,27.25,124.42,0.0,521.73,1056.7,707.58,80.0,349.12,-7.979999999999997,-1.8500000000000014,7.729999999999997,2.5143712574850294,3.85,2.03,4.94,0.5,0.1,5.0573279352226725,5.868663967611337,15.307206477732798,15.171983805668019,16.46,0.0,9,2004,,,0.0,,8.0,39.52
2004-12-31,77.18,-9.860000000000003,-1.2333310856372224,-0.00033715441672287885,,-5.480000000000004,-5.480000000000004,18.87,0.0,44.56,126.16,0.0,513.49,1090.22,761.54,80.0,328.68,5.589999999999996,-0.009999999999999787,-3.8300000000000054,-3.827824543610547,4.59,2.32,3.71,0.5,0.13,-3.616884693189482,-4.441321645313555,-11.994227916385707,-10.717680377612952,9.35,0.0,12,2004,,,-0.0026954177897575704,,7.994609164420485,29.66
2005-03-31,74.53,15.31,1.9099999999999997,1.0,,17.9,17.9,17.57,4.39,30.15,148.19,0.0,505.5,1081.31,714.24,80.0,367.07,48.25,-22.28,-27.94,2.3,3.83,1.95,1.91,1.0,0.52,5.68,6.56,16.68,18.52,20.54,0.0,3,2005,,,8.015706806282724,,8.015706806282724,15.31
2005-06-30,81.9,5.8100000000000005,0.5804498106060606,0.19918838251626197,,21.28,21.28,16.65,4.46,31.58,149.79,0.0,497.79,1172.4,738.63,100.0,433.77,37.22,-0.33999999999999986,-35.269999999999996,7.170258175559379,3.84,1.7,2.11,1.0,0.47,1.9806818181818182,3.675265151515152,5.3588446969696975,5.832007575757576,13.5,0.0,6,2005,,,1.9937718667030584,,10.009478672985782,21.12
2005-09-30,76.25,10.55,1.0559993684875275,-0.0018960338921669376,,10.399999999999999,10.399999999999999,17.95,2.58,33.04,148.17,0.0,489.96,1119.57,641.91,100.0,477.67,-19.310000000000002,-0.23999999999999844,17.92,4.247682464454976,3.76,1.34,3.17,1.0,0.32,3.770950426270919,6.0761604041679815,8.834417429744239,10.206883485948849,13.61,0.0,9,2005,,,-0.018942395383257704,,9.990536277602525,31.67
2005-12-31,75.70999999999998,-4.710000000000001,-0.47169881305637995,-0.0005359031723597735,,-6.6299999999999955,-6.6299999999999955,17.57,0.0,38.35000000000001,149.36,0.0,482.95,1181.62,648.24,100.0,533.38,-18.099999999999994,10.469999999999999,8.810000000000002,-9.315796178343948,3.29,1.22,2.7,1.0,0.37,-1.5932937685459942,-2.641513353115727,-3.5290059347181013,-4.367581602373888,8.74,0.0,12,2005,,,-0.005351092417340553,,9.985185185185184,26.96
2006-03-31,65.26,3.77,0.38,0.5,,3.77,3.77,18.0,4.72,29.75,149.52,0.0,518.71,1180.92,607.31,100.0,573.6,29.71,-0.8,-28.75,11.842500000000001,3.14,1.06,0.38,0.5,1.32,1.28,1.32,2.64,3.2,5.78,0.0,3,2006,,,4.9605263157894735,,9.921052631578947,3.77
