,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-06-30,,,,,,,,,,,16.77,120.77,96.77,255.1,9.86,275.24,10.0,73.81,92.79,10.21,103.0,130.0,172.24,,,,,,0.0,0.6,0.3,0.0,0.0,,,,,,11.28,11.04,134.48,2.75,1.71,6,2014,,101.73333333333333,30.52
2014-09-30,151.72000000000003,15.95,0.07207876049063912,0.0,39.13000000000001,20.009999999999998,20.730000000000004,,131.72000000000003,17.339999999999996,12.23,123.79,95.09,271.44,12.4,295.0,10.0,81.05,96.2,10.62,106.82,130.0,188.19,19.029999999999994,-23.47,-0.10000000000000142,0.72,0.0,0.0,0.57,0.21,0.0,0.0,21.623628147191734,0.0,33.89761136216914,0.0,40.748525930707984,11.08,10.85,147.53,2.82,1.83,9,2014,0.0,221.28571428571428,46.47
2014-12-31,155.18999999999994,14.14,0.058323708958917676,0.0,40.870000000000005,18.589999999999996,19.439999999999998,3.7,136.59999999999997,15.879999999999995,25.66,129.86,101.52,547.81,12.81,572.37,0.0,88.2,100.73,11.11,111.84,175.0,460.53,9.920000000000002,-245.17,248.68,0.8500000000000001,15.859759547383309,1.41,0.24,0.25,0.0,0.0,9.88236924599901,0.0,12.280640158389705,0.0,15.35080019798713,10.6,10.39,176.36,5.44,4.43,12,2014,0.0,242.44,60.61
2015-03-31,130.96,10.37,0.030000000000000002,0.0,29.08,11.85,12.98,3.86,119.1,6.58,22.18,122.52,100.22,541.89,15.89,571.7,0.0,78.5,89.86,10.94,100.79,175.0,470.9,-0.24,-3.23,0.0,1.13,32.1675,1.43,0.21,0.03,0.0,0.0,7.24,0.0,8.8,0.0,9.84,8.25,7.92,0.0,6.03,4.92,3,2015,0.0,345.66666666666663,10.37
2015-06-30,150.47,15.820000000000002,0.04228331424207714,0.15,42.790000000000006,19.799999999999997,20.999999999999996,3.16,130.68,14.69,11.52,132.98,99.93,491.34,17.06,522.63,0.0,66.97,76.17,12.25,88.42,175.0,434.22,-9.41,51.23,-52.49,1.2000000000000002,18.682310366624524,1.27,0.2,0.07,0.15,2.14,12.105108820160368,19.160381825124094,14.569621993127148,20.875876288659796,17.130782741504394,9.66,9.31,0.0,6.45,5.14,6,2015,56.12142857142857,374.1428571428571,26.19
2015-09-30,151.81,8.349999999999998,0.024174869716270985,-0.012482422036562165,36.33,10.270000000000003,11.130000000000003,2.62,141.53,9.54,8.9,120.75,103.9,517.79,16.96,550.31,0.0,91.0,94.57,13.17,107.74,175.0,442.57,35.12,-37.74,-0.00999999999999801,0.8599999999999999,27.094251497005995,1.04,0.24,0.1,0.15,1.5,6.072727272727271,9.592588303416328,7.542559351476546,10.588592935726691,8.896352055587721,8.18,7.97,0.0,5.48,4.38,9,2015,-4.311428571428571,345.4,34.54
2015-12-31,149.71000000000004,11.660000000000004,0.032809523809523816,0.004214285714285744,33.55,14.689999999999998,15.82,2.3,135.03000000000003,10.390000000000004,28.18,116.9,114.31,535.61,16.22,569.01,0.0,88.57,101.7,15.51,117.21,175.0,451.8,24.880000000000003,-5.58,0.0,1.1300000000000003,17.523113207547166,0.89,0.26,0.13,0.15,1.15,8.197333333333335,10.014476190476193,10.327428571428575,10.226476190476195,12.225333333333335,8.14,7.93,0.0,5.27,4.14,12,2015,1.4976923076923185,355.3846153846154,46.2
2016-03-31,169.72,13.43,0.04,0.0,35.23,17.05,18.22,2.5,152.67,9.15,16.34,135.0,96.84,513.79,15.02,551.94,0.0,59.88,70.71,16.0,86.71,175.0,465.23,-23.9,12.06,0.0,1.17,15.625,0.94,0.19,0.04,0.0,0.0,9.72,12.12,11.56,11.48,14.160000000000002,8.3,7.91,0.0,7.27,5.9,3,2016,0.0,335.75,13.43
2016-06-30,122.21000000000001,2.3900000000000006,0.007553729456384326,0.1,26.96,2.719999999999999,3.91,2.32,119.49000000000004,1.0299999999999994,19.37,121.36,114.88,494.35,14.18,527.64,0.0,72.9,78.4,16.62,95.02,175.0,432.61,12.129999999999999,25.89,-35.0,1.19,76.78326359832634,0.94,0.22,0.05,0.1,2.0,1.8128950695322381,2.272161820480405,2.211731984829331,2.205689001264223,2.6589127686472827,5.6,5.42,0.0,6.31,4.84,6,2016,31.64,316.4,15.82
2016-09-30,180.49,12.79,0.035763718979377836,0.011527437958755686,44.83,15.889999999999997,17.09,2.4,164.58999999999997,14.030000000000001,15.08,171.55,116.06,551.3,13.4,583.34,0.0,112.45,121.32,16.61,137.94,175.0,445.4,12.07,-16.360000000000003,0.0,1.2000000000000002,16.77677873338546,0.94,0.31,0.08,0.1,1.25,8.762111149947572,11.24768961901433,11.480153792380287,11.515917511359666,13.804795526039845,6.21,6.06,0.0,4.54,3.59,9,2016,4.122500000000002,357.625,28.61
2016-12-31,190.3,11.920000000000002,0.03235134468295091,0.0029391808536886137,50.89,15.080000000000005,18.64,2.58,175.23000000000002,9.329999999999998,35.87,273.95,237.57,847.84,41.56,1379.85,0.0,171.45,194.25,47.96,242.21,292.25,1137.64,17.189999999999998,11.989999999999998,-8.39,3.56,19.933483640939595,0.66,0.21,0.11,0.1,0.91,3.458652849740933,6.1291093017517895,4.188028620774735,5.999703923019986,5.0350456452010866,6.28,6.12,0.0,4.36,3.14,12,2016,1.082954545454541,368.45454545454544,40.53
2017-03-31,297.84,26.1,0.04,0.09,80.23,31.03,38.6,2.6,266.81,25.99,25.15,265.48,261.87,910.31,39.21,1435.43,0.0,201.77,227.44,44.25,271.69,292.25,1163.74,62.56,-73.27,0.0,7.57,16.25,0.65,0.23,0.04,0.09,2.25,7.28,12.48,8.96,12.8,10.28,8.91,8.76,0.0,4.0,2.85,3,2017,58.724999999999994,652.5,26.1
2017-06-30,331.38000000000005,31.009999999999998,0.054298721765014886,-0.012827876028716528,93.02999999999999,38.91,46.529999999999994,3.1,292.46999999999997,35.8,30.37,269.47,287.23,890.27,38.4,1408.38,0.0,202.74,223.43,42.81,266.23,292.25,1142.15,-6.780000000000001,64.6,-52.6,7.619999999999999,14.272895840051598,0.79,0.23,0.1,0.09,0.9,8.818112414638415,15.703190334442306,10.859744353002975,15.746629311854315,12.814498336543513,9.2,9.08,0.0,3.98,2.7,6,2017,-7.326000000000008,571.0999999999999,57.11
2017-09-30,347.74,33.900000000000006,0.05959784639050655,-0.00036193824854410166,99.13,42.68000000000001,50.50999999999999,3.44,305.07000000000005,39.62,35.16,319.64,299.97,912.42,38.27,1431.35,0.0,198.72,212.0,43.3,255.3,292.25,1176.05,-37.14,41.940000000000005,0.0,7.83,14.430051622418878,0.85,0.22,0.16,0.09,0.56,9.47605757609054,16.65759806614658,11.532183276563016,16.732095374134712,13.767102516207013,9.42,9.32,0.0,4.3,2.89,9,2017,-0.20587499999999181,568.8125,91.01
