,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,405.07,84.89,2.36,0.0,186.72,121.06,137.08,35.5,0.0,284.0,116.92,629.26,183.16,150.19,989.23,525.96,1850.87,55.46,3.1,175.4,4.89,180.29,360.0,1670.58,137.03,-12.0,-0.73,16.02,3.76,0.77,0.11,2.36,0.0,0.0,18.36,0.0,20.32,0.0,28.92,21.17,20.96,5.64,4.78,3,2000,0.0,35.97033898305085,84.89
2000-06-30,346.01000000000005,58.02999999999999,1.6119444444444444,4.5,152.29,82.69,99.48999999999998,43.0,0.0,263.33000000000004,83.05,505.33,160.56,162.32,858.36,523.95,1717.45,42.69,3.17,146.77,4.07,150.84,360.0,1566.61,52.879999999999995,-14.3,-162.75,16.8,6.668204377046356,0.99,0.1,3.97,4.5,1.13,13.51272320179121,0.0,14.812023509655747,0.0,21.064906241253848,19.23,19.03,5.85,4.74,6,2000,161.99999999999997,35.99999999999999,142.92
2000-09-30,369.67999999999995,-74.26999999999998,-2.0663612527312445,-0.007210487982518078,149.07999999999998,-49.34,-31.72,40.0,0.0,419.02,78.38000000000002,516.86,172.46,162.98,881.92,536.47,1620.17,52.09,3.24,124.59,3.23,127.82,360.0,1492.35,41.349999999999994,-29.19,-0.7600000000000193,17.619999999999997,-4.838868318298103,0.96,0.09,1.91,4.5,2.36,-18.348422432629274,-0.0,-19.9063073561544,-0.0,-44.65936780772031,6.2,6.13,7.08,5.77,9,2000,-0.2591623036648514,35.94240837696336,68.65
2000-12-31,378.0,48.50999999999999,1.3456597814953908,0.013334563732594755,163.79000000000002,71.11000000000001,89.54999999999998,40.0,0.0,306.9,71.62,601.0,165.74,170.8,961.52,532.01,1695.91,48.83,3.31,152.68,2.38,155.06,360.0,1540.85,102.63999999999999,-17.839999999999996,-0.789999999999992,18.439999999999998,7.432692228406516,0.93,0.1,3.25,4.5,1.38,11.444318880163877,0.0,12.587094571526116,0.0,24.19703311710481,7.91,7.82,6.3,5.18,12,2000,0.4807007652033235,36.04923076923077,117.16
2001-03-31,417.34,79.67,2.21,0.0,183.87,113.7,129.27,41.75,0.0,303.65,110.25,681.31,175.01,168.66,1069.64,542.76,1816.7,55.15,3.39,194.68,1.5,196.18,360.0,1620.52,108.24,-27.13,-0.8,15.57,4.7225,0.93,0.12,2.21,0.0,0.0,17.56,24.8,19.68,19.36,28.039999999999996,19.31,19.09,5.49,4.63,3,2001,0.0,36.04977375565611,79.67
2001-06-30,372.68,63.14,1.7552398291436173,4.5,163.2,89.85000000000001,106.26999999999998,44.5,0.0,282.82000000000005,90.22999999999999,559.73,157.56,184.74,934.62,559.68,1698.51,49.41,3.46,176.25,0.61,176.85,360.0,1521.66,73.13000000000001,-32.57000000000001,-162.82,16.419999999999998,6.3386921919543875,1.05,0.12,3.97,4.5,1.13,14.873115328058258,21.08056298578531,16.606248862124502,16.358658357257895,23.64489321476087,18.27,18.08,5.3,4.25,6,2001,161.87531486146096,35.97229219143577,142.81
2001-09-30,407.3600000000001,71.07,1.9737974565176732,0.004304421745473524,178.10999999999996,102.39999999999998,119.72999999999999,44.25,0.0,304.9599999999999,100.39000000000001,534.49,170.62,215.63,951.81,579.99,1737.8,53.63,3.23,145.07,0.0,145.07,360.0,1592.73,14.030000000000001,-38.42999999999999,-0.8400000000000034,17.330000000000002,5.605058393133531,1.0,0.09,5.94,4.5,0.76,16.361916962782868,24.21723209276229,17.85057228352347,18.435401159528706,25.53309706377408,18.04,17.86,6.56,5.07,9,2001,0.1549881688420669,36.00673400673401,213.88
2001-12-31,406.1099999999999,54.629999999999995,1.5177825779300584,-0.0016798652045017582,174.47000000000003,81.47000000000003,100.21000000000004,46.0,0.0,324.64,84.0,708.86,187.53,173.83,1096.29,597.8,1815.18,37.25,2.38,167.81,0.0,167.81,360.0,1647.37,132.10999999999999,-41.390000000000015,-0.8499999999999943,18.740000000000002,7.581487735676369,1.01,0.1,7.46,4.5,0.6,12.036463446426575,17.9611053592045,13.265338348664855,13.704803545491789,19.141150795128674,16.91,16.75,6.53,5.5,12,2001,-0.060463888211899075,35.993297587131366,268.51
2002-03-31,412.64,85.65,2.38,0.0,184.76,114.75,131.6,65.0,0.0,297.89,111.27,804.16,177.16,184.54,1198.74,604.97,1923.87,48.62,1.5,190.86,0.0,190.86,360.0,1733.01,120.42,-24.25,-0.88,16.85,6.827500000000001,1.35,0.11,2.38,0.0,0.0,17.8,24.56,19.76,20.44,26.48,20.99,20.76,6.28,5.31,3,2002,0.0,35.9873949579832,85.65
2002-06-30,423.59000000000003,90.85999999999999,2.52231601608974,4.5,191.59000000000003,121.47999999999999,139.82000000000002,71.0,0.0,302.11,118.98,692.52,180.32,204.28,1098.19,629.16,1846.56,63.86,0.61,184.68,0.0,184.68,360.0,1661.88,94.29,-43.03,-162.89000000000001,18.339999999999996,7.037282357473036,1.54,0.11,4.9,4.5,0.92,19.68436009291258,27.446916322021412,21.866935584386148,22.834681321171605,29.258865786640982,21.33,21.11,5.95,4.84,6,2002,162.10102040816324,36.02244897959183,176.51
