,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
1999-12-31,,,,,,,,2.83,0.0,,,46.43,0.0,0.0,1139.08,1587.72,0.0,0.0,0.0,0.0,0.0,956.32,300.0,631.4,,,,,,1.34,1.51,0.53,0.75,1.42,,,,,,0.0,0.0,0.0,0.0,0.0,12,1999,,30.20754716981132,16.01
2000-03-31,685.72,33.52,1.12,0.0,0.0,51.88,248.32,1.75,0.0,513.46,0.0,47.46,0.0,0.0,1200.47,1620.57,0.0,0.0,0.0,0.0,0.0,994.16,300.0,626.41,296.11,-182.43,-111.76,196.44,0.39,0.84,1.59,1.12,0.0,0.0,8.28,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2000,0.0,29.928571428571427,33.52
2000-06-30,331.55999999999995,15.059999999999995,0.5022066694112802,0.0,0.0,23.800000000000004,118.28000000000003,1.53,0.0,251.14,0.0,31.06,0.0,0.0,1275.09,1651.49,0.0,0.0,0.0,0.0,0.0,1010.03,300.0,641.46,79.82999999999998,-153.56,56.95,94.48000000000002,0.7580544488711821,0.71,1.57,1.62,0.0,0.0,3.6456484149855894,0.0,9.386924660354053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2000,0.0,29.98765432098765,48.58
2000-09-30,307.9200000000001,14.399999999999999,0.48015242934264846,0.0,0.0,19.819999999999993,100.16999999999996,1.6,0.0,237.26,0.0,6.64,0.0,0.0,1322.81,1710.67,0.0,0.0,0.0,0.0,0.0,1054.8,300.0,655.87,110.19999999999999,-147.32,16.5,80.34999999999997,0.8309861111111111,0.73,1.61,2.1,0.0,0.0,3.365639885677993,0.0,8.779930136551286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2000,0.0,29.990476190476187,62.98
2000-12-31,-964.3800000000001,-40.089999999999996,-1.3310790738313674,1.0,0.0,-61.85,-343.65999999999997,1.7,0.0,-740.94,0.0,19.48,0.0,0.0,1406.03,1777.88,0.0,0.0,0.0,0.0,0.0,1099.12,300.0,678.76,-375.7,348.90999999999997,66.81,-281.81,-0.319740583686705,0.75,1.62,0.76,1.0,1.32,-9.037326343381388,-14.01135867190913,-23.609139362166886,-24.449820882481433,-0.0,0.0,0.0,0.0,0.0,0.0,12,2000,30.11842105263158,30.11842105263158,22.89
2001-03-31,714.29,47.31,1.58,0.0,0.0,71.24,250.71,1.68,0.0,506.7,0.0,13.53,0.0,0.0,1457.01,1805.73,0.0,0.0,0.0,0.0,0.0,1132.55,300.0,673.18,211.16,-259.88,55.61,179.47,0.265,0.75,1.68,1.58,0.0,0.0,10.48,16.64,28.119999999999997,29.12,0.0,0.0,0.0,0.0,0.0,0.0,3,2001,0.0,29.943037974683545,47.31
2001-06-30,377.6300000000001,18.799999999999997,0.6256239600665557,0.0,0.0,35.43000000000001,130.73999999999998,2.0,0.0,274.44,0.0,4.2,0.0,0.0,1612.41,1921.14,0.0,0.0,0.0,0.0,0.0,1229.16,300.0,691.98,115.97,-225.17000000000002,99.88000000000001,95.30999999999997,0.8000013297872342,0.87,1.78,2.2,0.0,0.0,3.912993495689003,6.790863711995159,10.86310694297383,11.283981243382241,0.0,0.0,0.0,0.0,0.0,0.0,6,2001,0.0,30.049999999999997,66.11
2001-09-30,391.05999999999995,25.320000000000007,0.8446461774034781,0.0,0.0,34.85000000000001,138.51000000000005,1.63,0.0,285.2400000000001,0.0,11.2,0.0,0.0,1687.16,2001.29,0.0,0.0,0.0,0.0,0.0,1284.0,300.0,717.29,133.47000000000003,-177.84999999999997,51.370000000000005,103.66000000000003,0.4784547788309636,0.68,1.79,3.05,0.0,0.0,5.062338400962486,8.452000437493165,14.123591818877834,14.75499945313355,0.0,0.0,0.0,0.0,0.0,0.0,9,2001,0.0,29.977049180327874,91.43
2001-12-31,-1043.2,-64.97,-2.1607558578987147,0.0,0.0,-96.84,-367.58000000000004,2.05,0.0,-753.0100000000001,0.0,13.23,0.0,0.0,1706.61,2000.45,0.0,0.0,0.0,0.0,0.0,1256.69,300.0,743.76,-331.73,565.68,-236.48000000000002,-270.74,-0.23723179929198093,0.83,1.69,0.88,0.0,0.0,-12.96453514739229,-23.277233560090703,-34.964958427815574,-36.536417233560094,-0.0,0.0,0.0,0.0,0.0,0.0,12,2001,0.0,30.06818181818182,26.46
2002-03-31,868.76,58.43,1.95,1.5,0.0,87.92,305.38,2.65,0.0,621.52,0.0,12.56,0.0,0.0,1828.3,2124.71,0.0,0.0,0.0,0.0,0.0,1393.99,300.0,730.72,255.35,-317.19,63.2,217.46,0.34,1.09,1.91,1.95,1.5,0.77,11.0,17.88,32.0,33.28,0.0,0.0,0.0,0.0,0.0,0.0,3,2002,44.94615384615385,29.964102564102564,58.43
