,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2003-12-31,-655.6500000000001,21336.170000000002,10.38889828516421,0.0,-28.89,-1568.98,-854.2099999999998,3.16,0.0,913.32,-45.94,3262.2,0.25,1035.7,4498.97,24684.95,29645.44,15.8,32.63,0.0,194.32,11930.21,12124.53,74137.79,17520.92,-684.4799999999999,-112.49,3899.3,714.77,0.0762063481871395,19.38,0.69,11.31,287.8762796260356,4.22536977115432,487.09327874950276,-1595.6465949712156,4.041658041973698,79006.39,1275.07,0.0,23.15,17.82,12,2003,0.0,2053.7471264367814,23227.88
2004-03-31,386.8,-195.22,-0.02,0.0,8.09,-114.33,1.54,2.18,0.0,501.14,-155.77,1974.39,91.73,2080.58,4461.17,24580.14,29527.93,15.8,62.56,0.0,253.6,11963.84,12217.44,74137.79,17310.49,-1234.51,-53.3,0.0,115.87,-27.25,13.53,0.71,-0.02,-2.64,0.0,-4.52,0.0,-1.56,-56.77,-50.47,0.0,17.59,9.39,3,2004,0.0,9761.0,-195.22
2004-06-30,1532.76,-202.05999999999997,-0.02034434152235199,0.0,92.57,-119.30999999999999,17.330000000000002,1.71,0.0,1652.0500000000002,26.01000000000002,1915.77,467.39,2132.36,5329.73,24550.33,30135.9,276.23,197.95,0.0,820.05,12226.17,13046.22,74137.79,17089.68,-105.3900000000001,-213.13,259.9,136.64,-21.013213896862318,10.75,0.76,-0.04,-2.685453080950463,0.0,-4.719887233185662,0.0,-1.6275473217881595,-21.65,-20.7,0.0,6.5,3.9,6,2004,0.0,9932.0,-397.28
2004-09-30,3334.0099999999998,109.15999999999997,0.011366097459391917,0.0,426.23,204.57999999999998,355.28,1.89,0.0,3129.44,279.1,1454.29,128.4,2550.74,6139.95,24489.53,30889.55,501.01,263.63,0.0,1294.19,12385.88,13680.07,74137.79,17209.48,198.05000000000018,-884.8499999999999,225.33000000000004,150.7,41.57099670208869,11.8,0.79,-0.03,1.4093960849645977,0.15154796612522556,2.5308510342912665,-9.699069832014436,0.15154796612522556,-5.59,-5.48,0.0,4.74,2.77,9,2004,0.0,9604.0,-288.12
2004-12-31,4722.49,871.5,0.08963282937365011,0.0,712.7099999999999,974.63,1147.0700000000002,1.93,0.0,3747.87,550.51,1026.94,825.26,3630.68,7916.78,24444.56,32889.84,1785.77,447.71,0.0,2681.37,12126.47,14807.84,74137.79,18081.99,-2185.19,444.76,1313.08,172.44,5.383630120481929,11.47,0.82,0.06,10.576673866090713,18.04607631389489,19.30093592512599,19.59971202303816,18.703383729301652,6.0,5.85,0.0,2.95,1.6,12,2004,0.0,9723.0,583.38
2005-03-31,5193.48,470.24,0.05,0.0,720.28,591.18,759.49,1.74,0.0,4602.3,533.26,1067.29,600.78,5538.12,8873.0,24390.24,33786.35,1845.9,589.88,0.0,3024.79,12212.88,15237.67,74137.79,18548.68,117.44,-89.85,12.76,168.31,8.7,10.08,0.82,0.05,5.56,7.48,10.16,10.48,7.68,9.16,9.05,0.0,2.93,1.1,3,2005,0.0,9404.8,470.24
2005-06-30,2665.1800000000003,-329.4,-0.04677648395342232,0.0,293.37,-208.83999999999997,-40.190000000000055,1.11,0.0,2874.0199999999995,133.07000000000005,52.92,43.04,6960.5,8548.68,24522.71,33573.56,1469.23,463.94,0.0,2760.41,12357.56,15117.97,75105.65,18455.58,-387.56,-195.48,-431.33,168.64999999999998,-5.932468123861566,6.55,0.82,0.02,-3.9292246520874747,-11.226356148821356,-7.110025560920192,-7.390684464640727,-11.600568020448735,1.81,1.79,0.0,3.1,0.58,6,2005,0.0,7042.0,140.84
2005-09-30,3198.3600000000006,-659.5,-0.07629275440558361,0.0,-250.89,-516.41,-374.8299999999999,0.72,0.0,3714.7700000000004,-467.44000000000005,204.52,42.91,5890.92,6839.54,24674.25,31938.84,855.58,388.22,0.0,1794.74,12113.24,13907.98,76037.36,18030.86,667.84,39.879999999999995,-556.1300000000001,141.58000000000004,-2.3593328278999244,4.4,0.77,-0.06,-8.239617475803032,-2.1870589596267305,-14.648208845872055,-14.95337986349439,-2.2379207958971197,-4.73,-4.69,0.0,3.81,0.53,9,2005,0.0,8644.333333333334,-518.66
2005-12-31,4799.0599999999995,-202.2800000000001,-0.02244625072821595,0.0,-257.03999999999996,-69.71000000000001,102.44999999999999,0.6,0.0,4868.77,-427.15,376.84,2.23,4801.68,5722.06,24341.49,32586.44,226.8,391.88,0.0,1429.42,13337.46,14766.88,76037.36,17819.56,1137.22,-133.03000000000003,-831.8599999999999,172.16000000000003,-6.682630512161358,3.71,0.83,-0.08,-2.480310705467862,-0.6958337725746945,-4.54536577246373,-4.511696396371405,-0.7295031486670183,-5.15,-4.55,0.0,4.0,0.64,12,2005,0.0,9011.75,-720.94
2006-03-31,4045.0,-2220.0,-0.24,0.0,-571.0,-2079.0,-1902.0,0.72,0.0,6124.0,-785.0,485.0,265.0,3666.0,5064.0,24301.0,30046.0,233.0,300.0,0.0,1139.0,13309.0,14448.0,76037.0,15598.0,96.0,34.0,-22.0,177.0,-0.75,5.09,0.93,-0.24,-29.56,-26.04,-56.92000000000001,-52.0,-28.759999999999998,-65.97,-54.88,0.0,4.45,1.23,3,2006,0.0,9250.0,-2220.0
