,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-06-30,,,,,,,,,,,504.36,58.35,151.62,1070.9,3421.22,5338.38,800.0,1457.88,2707.84,190.23,2898.07,720.0,2440.3,,,,,,0.0,1.19,1.34,0.0,0.0,,,,,,13.84,13.71,0.4,0.34,6,2013,,721.4776119402984,966.78
2013-09-30,3574.9699999999993,529.3500000000001,0.7005494174971427,0.0,2353.59,655.9000000000001,818.3399999999999,46.75,2919.0599999999995,583.48,355.94,84.82,158.7,4219.16,3972.06,13981.89,0.0,1524.26,1830.49,195.94,2026.44,905.85,11955.46,626.4,-8913.189999999999,8136.94,162.44,16.682549022385942,3.54,0.17,1.98,0.0,0.0,15.143189428726116,0.0,17.704794369473245,0.0,21.794870766577773,14.26,14.08,2.3,2.22,9,2013,0.0,755.6212121212122,1496.13
2013-12-31,3611.710000000001,543.04,0.6844023793994615,0.0,2321.17,675.7900000000002,837.1799999999998,51.25,2935.9400000000005,542.95,870.95,159.91,226.05,4942.77,4285.76,15006.18,0.0,1857.62,2278.1,203.86,2481.96,905.85,12524.22,789.1599999999999,-277.3000000000011,-0.010000000000218279,161.39000000000004,18.719178053182087,3.71,0.2,2.57,0.0,0.0,14.47630869422363,0.0,17.341744337156783,0.0,21.315006399662607,14.6,14.32,2.17,2.07,12,2013,0.0,793.4513618677043,2039.17
2014-03-31,3495.41,467.87,0.52,0.0,2235.62,581.43,755.42,53.75,2913.99,458.93,832.4,232.9,177.91,4803.61,4420.48,15010.63,0.0,1224.94,1791.97,210.01,2001.98,905.85,13008.64,570.56,-608.78,0.0,173.99,25.8425,3.74,0.15,0.52,0.0,0.0,12.48,0.0,14.4,0.0,17.6,13.87,13.39,2.68,2.58,3,2014,0.0,899.75,467.87
2014-06-30,3789.5200000000004,402.52,0.44396098300761727,1.6,2375.51,497.46000000000015,692.14,62.0,3292.05,385.04,1094.41,263.23,171.38,3845.01,4461.91,14132.16,0.0,1294.56,1771.79,217.76,1989.55,905.85,12142.61,705.6700000000001,1004.94,-1449.35,194.68,34.911175966411605,4.63,0.16,0.96,1.6,1.67,11.394998563862178,20.496198715518332,13.263334367352565,22.087058904628957,16.149080756902077,12.35,11.95,2.17,2.07,6,2014,1450.65,906.65625,870.39
2014-09-30,3856.0,522.4699999999999,0.5776630817167554,0.7961051361945922,2447.7799999999997,646.6699999999998,838.8000000000002,61.0,3209.330000000001,537.0999999999999,410.22,267.22,191.77,3586.23,4531.23,13964.04,0.0,1313.53,1747.89,226.12,1974.02,905.85,11990.02,750.71,-708.6400000000001,-724.6800000000003,192.12999999999994,26.399211725075126,4.61,0.16,1.54,2.4,1.56,14.959223181080654,18.53023132260241,17.43492210272389,17.449926338612638,21.20098531079936,12.9,12.5,2.05,1.94,9,2014,720.0409090909088,904.4545454545454,1392.86
2014-12-31,3963.6100000000006,649.5200000000002,0.7155475474691293,0.008645528523318513,2557.4699999999993,808.7200000000003,1010.8599999999997,58.5,3154.879999999999,685.8900000000001,372.58,100.23,282.95,9433.49,4630.36,14902.85,0.0,1461.08,1993.23,228.93,2222.15,907.08,12680.7,1004.21,-1041.52,1.2300000000000182,202.1400000000001,20.438893336617806,4.18,0.18,2.25,2.4,1.07,17.427558045025904,21.56183276373643,20.493281759515863,20.620490212399265,24.971019301011573,13.95,13.52,4.73,4.59,12,2014,7.847757575757896,907.7244444444445,2042.38
2015-03-31,3701.48,479.8,0.53,0.0,2366.52,595.81,798.48,57.5,3105.67,486.75,205.05,133.57,221.06,9666.26,4561.01,15182.25,0.0,1090.49,1743.67,242.21,1985.88,907.08,13196.36,785.17,-878.68,0.0,202.67,27.1225,3.95,0.15,0.53,0.0,0.0,12.64,15.800000000000002,14.56,14.64,17.72,13.39,12.96,5.54,5.42,3,2015,0.0,905.2830188679245,479.8
2015-06-30,3861.7999999999997,515.8699999999999,0.5699247742726004,1.0,2471.23,650.3800000000001,847.75,56.25,3211.42,529.22,432.78,175.56,221.5,9231.26,4474.84,14708.76,0.0,1127.2,1602.95,252.58,1855.53,907.08,12853.23,585.9900000000001,548.8199999999999,-907.08,197.37000000000003,24.67606364006436,3.97,0.14,1.1,1.0,0.91,14.030511715729103,17.906000180782787,16.06151636586419,16.51745618528227,19.70903492120883,13.58,13.16,5.76,5.62,6,2015,905.1545454545453,905.1545454545453,995.67
2015-09-30,3583.1400000000003,365.4900000000001,0.40277043110288296,0.9025185737298935,2260.9300000000003,443.5,668.19,57.75,3139.6399999999994,352.5,324.65,151.98,201.96,8754.42,4496.63,14273.69,0.0,1133.91,1541.56,261.85,1803.41,907.08,12470.28,552.03,156.22000000000003,-816.37,224.69,35.84548140852006,4.2,0.14,1.5,1.9,1.27,10.246479767257341,12.856432160804024,11.728674953715952,11.954226395133567,14.252702988627352,12.59,12.21,5.68,5.55,9,2015,818.9814545454547,907.44,1361.16
