,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-03-31,97.99,35.33,0.17,0.0,56.29,38.9,45.85,,59.08,38.18,22.24,80.31,22.68,139.91,695.07,939.66,30.01,23.31,52.5,189.37,470.58,659.94,210.0,279.72,-13.22,-72.84,68.57,6.95,0.0,0.0,2.36,0.17,15.04,0.0,50.52,0.0,20.72,36.33,36.05,0.0,0.74,0.62,3,2005,0.0,207.82352941176467,35.33
2005-06-30,91.97000000000001,29.75,0.11885371850030732,0.0,44.89000000000001,33.14000000000001,39.940000000000005,,58.84,30.889999999999993,220.4,106.4,27.12,377.97,738.45,1294.2,5.7,14.38,58.56,104.25,453.96,558.22,300.0,735.98,-21.120000000000005,-170.51,389.79,6.8,0.0,0.0,0.76,0.26,9.197449293177627,0.0,16.164105716041796,0.0,11.062538414259373,34.8,34.26,0.0,3.63,3.37,6,2005,0.0,250.3076923076923,65.08
2005-09-30,109.21000000000001,5.780000000000001,0.021208015805814284,0.0,28.829999999999984,9.259999999999991,16.569999999999993,,99.95,7.700000000000003,214.8,102.39,23.81,372.92,753.2,1309.22,0.0,36.04,64.42,130.0,437.46,567.46,300.0,741.76,35.330000000000005,-14.76000000000002,-16.389999999999986,7.309999999999999,0.0,0.0,0.77,0.26,1.7651594693762354,0.0,3.115946937623484,0.0,2.2480496754163144,24.05,23.69,0.0,2.87,2.69,9,2005,0.0,272.53846153846155,70.86
2005-12-31,73.65999999999997,-35.7,-0.13199658703071673,0.0,2.4099999999999966,-30.549999999999997,-21.72,1.79,104.20999999999998,-32.17999999999999,42.5,103.89,17.49,304.55,892.31,1274.02,0.0,30.5,70.36,147.07,420.89,567.96,300.0,706.06,-169.13,7.930000000000007,-10.650000000000034,8.830000000000002,-3.3904285714285707,0.76,0.8,0.13,-11.209556313993176,-0.0,-20.225938566552905,-0.0,-18.276450511945395,9.59,9.43,0.0,2.07,1.95,12,2005,0.0,270.46153846153845,35.16
2006-03-31,68.2,-31.21,-0.10000000000000002,0.0,4.76,-22.55,-9.33,1.77,90.76,-23.92,48.74,135.24,13.95,311.4,884.33,1221.72,8.34,36.09,79.31,148.56,398.31,546.87,300.0,674.85,16.69,-5.14,-5.3,13.22,-4.425,0.79,0.81,-0.1,-10.2,-8.36,-18.48,-26.16,-8.4,-46.69,-45.76,0.0,2.1,2.0,3,2006,0.0,312.09999999999997,-31.21
2006-06-30,60.3,-34.26,-0.11512448449671606,0.0,5.32,-24.580000000000002,-10.979999999999999,1.16,84.86,-26.78,14.33,68.24,18.24,285.0,735.29,1189.12,29.07,34.14,86.12,167.79,380.74,548.53,300.0,640.59,-31.330000000000002,-5.78,2.6999999999999997,13.6,-2.5177094279042613,0.54,0.86,-0.22,-11.533380174125552,-7.954055292500381,-21.39222239193524,-19.906069955704904,-9.649524973270202,-52.41,-50.95,0.0,1.7,1.59,6,2006,0.0,297.59090909090907,-65.47
2006-09-30,48.69999999999999,-29.260000000000005,-0.09884091628839863,0.0,3.0500000000000007,-18.630000000000003,-4.920000000000002,1.3,67.34,-19.11999999999999,23.83,69.8,13.22,409.74,721.76,1316.62,19.2,21.53,92.12,347.58,357.71,705.29,300.0,611.33,-28.07,0.8900000000000006,36.68,13.71,-3.286088516746411,0.64,1.15,-0.32,-8.883327351419828,-6.189912382560963,-19.15042753087723,-17.297160350469756,-8.389122769977833,-54.71,-53.46,0.0,1.18,1.14,9,2006,0.0,296.03125,-94.73
2006-12-31,48.630000000000024,-29.58999999999999,-0.09758606821106816,0.0,2.83,-20.36,-6.489999999999998,1.06,68.98999999999998,-28.580000000000013,2.27,33.66,15.06,395.43,708.27,1284.84,28.59,21.8,90.1,360.39,342.7,703.09,300.0,581.74,21.94,-1.1500000000000004,-42.36,13.869999999999997,-2.720419060493411,0.55,1.21,-0.41,-9.215933075933073,-6.407358429858428,-20.34550514800514,-18.384263191763186,-8.87319176319176,-58.22,-55.05,0.0,1.1,1.06,12,2006,0.0,303.219512195122,-124.32
2007-03-31,40.93,-27.8,-0.09,0.0,3.54,-18.89,-6.08,1.12,59.82,-19.15,8.79,30.55,15.64,398.61,695.56,1262.79,19.2,23.66,96.57,393.65,315.2,708.85,300.0,553.94,33.09,-0.03,-26.54,12.81,-3.11,0.61,1.28,-0.09,-8.8,-6.08,-20.08,-18.08,-8.68,-68.36,-67.92,0.0,1.01,0.97,3,2007,0.0,308.8888888888889,-27.8
2007-06-30,40.13999999999999,-55.730000000000004,-0.18681192385969114,0.0,1.17,-47.53,-34.59,1.04,87.67000000000002,-23.64,18.46,29.67,16.53,474.96,295.82,1312.5,28.89,28.98,104.03,529.58,284.71,814.28,300.0,498.22,28.79,-0.12,-19.0,12.94,-1.3901682217835993,0.63,1.63,-0.28,-16.973197653537653,-14.171018795642283,-44.75479947324315,-39.15044175745241,-22.63093020471687,-103.85,-103.03,0.0,0.9,0.87,6,2007,0.0,298.32142857142856,-83.53
