,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2004-12-31,207.65000000000003,-106.68,-0.4670871047867638,0.0,84.33,-120.78999999999999,-118.24,1.01,131.34,328.44000000000005,-27.809999999999988,14.4,186.94,3.36,301.85,66.45,472.46,66.92,126.05,4.63,344.59,21.64,366.23,241.38,73.31,-7.009999999999998,35.29999999999999,-31.689999999999998,2.5500000000000007,-0.5399421166104237,3.32,5.0,-1.04,0.0,0.0,-90.32746011030186,-93.34556140277019,-582.0803570075359,-268.0900332589568,-365.4597297183514,-34.45,-33.51,0.88,0.87,12,2004,0.0,228.39423076923077,-237.53
2005-03-31,140.92,-51.06,-0.21,0.0,22.23,-60.2,-53.03,0.95,0.0,201.13,-56.2,57.07,171.45,4.25,313.16,62.71,490.06,79.93,125.18,3.8,375.49,22.5,397.99,242.86,33.63,-9.25,-2.19,54.11,7.17,-1.125,6.83,11.83,-0.21,0.0,0.0,-41.68,-46.52,-607.32,-148.76,-210.16,-36.9,-36.23,0.83,0.82,3,2005,0.0,243.14285714285717,-51.06
2005-06-30,121.65,-45.33,-0.17870525988173047,0.0,16.44,-49.67999999999999,-42.31,0.71,0.0,171.32999999999998,-44.83,19.15,143.59,7.51,251.8,61.21,426.62,92.46,117.99,4.54,336.34,24.09,360.43,261.86,14.12,-55.31999999999999,-18.75,36.16,7.369999999999999,-0.9887789543348776,13.08,25.53,-0.38,0.0,0.0,-42.49422969187675,-42.21206349206349,-1284.13837535014,-157.01608465608464,-228.94965452847802,-36.93,-36.71,0.75,0.73,6,2005,0.0,253.6578947368421,-96.39
2005-09-30,156.64,-16.980000000000004,-0.06590103201905267,0.0,27.950000000000003,-29.75999999999999,-23.25999999999999,0.67,11.06,186.39000000000004,-22.260000000000005,10.34,153.16,7.24,266.16,58.7,432.18,89.99,145.22,4.64,355.82,23.16,378.97,273.48,15.29,-29.320000000000007,5.970000000000001,14.530000000000001,6.5,-2.537137809187279,11.97,24.79,-0.44,0.0,0.0,-15.714400635088651,-16.9785022492723,-444.21489282879077,-70.08874305371792,-109.55747023021966,-27.41,-27.04,0.75,0.73,9,2005,0.0,257.65909090909093,-113.37
2005-12-31,103.84999999999997,-35.579999999999984,-0.13137965760322254,0.0,33.97999999999999,-43.98000000000002,-35.870000000000005,0.48,34.22,147.81999999999994,-22.769999999999996,26.48,126.02,7.76,267.37,55.26,417.81,51.65,159.19,3.43,319.74,21.03,340.77,342.78,49.0,-24.879999999999995,6.25,34.760000000000005,8.11,-0.9105290893760544,3.34,6.95,-0.55,0.0,0.0,-34.0631621349446,-39.41389728096676,-290.4493695871097,-232.71875931520637,-178.8960966767371,-28.89,-28.48,0.84,0.81,12,2005,0.0,270.81818181818176,-148.95
2006-03-31,133.55,-12.0,-0.03,0.0,33.52,-14.34,-8.5,0.4,0.0,147.89,-20.54,0.64,169.23,10.44,243.0,51.9,396.64,83.28,140.26,2.34,313.6,21.71,335.3,342.78,37.01,-53.22,1.76,25.64,5.84,-3.3725,3.75,9.06,-0.03,0.0,0.0,-12.120000000000001,-12.92,-129.68,-135.92,-69.08,-9.51,-8.99,0.77,0.74,3,2006,0.0,400.0,-12.0
2006-06-30,119.48999999999998,-7.68,-0.023414634146341463,0.0,14.93,-33.41,-7.93,0.36,0.0,152.90000000000003,-51.71,5.8,133.8,8.04,184.56,48.39,304.82,87.99,107.94,1.32,265.22,0.0,265.22,342.78,25.33,-9.64,-5.66,20.439999999999998,25.48,-3.8053125000000003,4.83,10.47,-0.06,0.0,0.0,-10.08390243902439,-20.386341463414634,-121.27219512195121,-155.73853658536584,-188.22243902439024,-8.67,-7.78,0.7,0.67,6,2006,0.0,328.0,-19.68
2006-09-30,96.78,-82.32,-0.24211764705882352,0.0,22.879999999999995,-80.78999999999999,-77.34,0.19,22.74,177.56,-75.21000000000001,13.46,63.18,7.32,130.46,43.48,224.16,78.14,93.38,0.01,266.91,0.46,267.37,342.78,-57.0,19.18,3.16,-14.669999999999998,3.450000000000003,-0.19515306122448983,-1.13,-4.69,-0.3,0.0,0.0,-146.88470588235293,-126.44997647058823,577.6927058823529,1578.8975999999998,970.665788235294,-33.32,-29.16,0.49,0.46,9,2006,0.0,340.0,-102.0
2006-12-31,51.94999999999999,-16.209999999999994,-0.04662380509263175,0.0,2.7900000000000063,-14.099999999999994,-28.16000000000001,0.18,24.02,66.04999999999995,13.860000000000014,2.66,55.63,0.0,96.28,31.29,164.87,70.46,84.41,6.66,203.63,0.08,203.71,342.78,-52.58,-21.82,12.74,-1.7300000000000004,-14.060000000000002,-0.9844756323257252,-1.2,-3.87,-0.34,0.0,0.0,-39.328550884019954,-26.855311733355883,123.3172218932408,3622.346031638608,201.8591354369342,-32.51,-29.42,0.47,0.47,12,2006,0.0,347.67647058823525,-118.21
2007-03-31,57.83,1.8,0.01,0.0,4.95,2.9,6.46,0.19,0.58,54.93,-6.25,61.46,75.28,0.0,156.14,28.44,213.25,41.19,53.9,5.48,160.12,0.0,160.12,120.0,39.21,-10.77,8.9,60.67,3.56,4.7075,0.58,4.08,0.01,0.0,0.0,3.36,3.8000000000000003,18.36,18.88,21.84,3.74,3.11,0.98,0.98,3,2007,0.0,180.0,1.8
