,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,20.75,153.19,1.7300000000000002,0.0,-1.85,-31.4,-25.95,4.1,0.0,52.15,-31.67,134.48,5.98,134.19,292.44,363.52,720.4,7.55,2.67,0.0,23.35,7.9,31.25,2200.0,689.15,-25.24,-0.88,128.12,5.45,0.5925,13.09,0.05,1.73,85.04,0.0,88.92,0.0,-18.0,771.74,738.27,0.0,12.52,6.78,3,2000,0.0,88.54913294797687,153.19
2000-06-30,18.54,-9.370000000000005,-0.06124183006535951,0.0,-5.1899999999999995,-9.370000000000005,-3.9400000000000013,3.0,0.0,27.910000000000004,-9.009999999999998,135.46,5.56,1.09,281.2,358.58,703.91,0.0,1.83,0.0,15.17,9.25,24.42,2200.0,679.49,9.02,-0.5499999999999999,-7.550000000000011,5.430000000000001,-12.240816435432224,9.71,0.04,0.94,-5.324130162703383,-0.0,-5.516976776526216,-0.0,1.5427729105826735,377.28,366.05,0.0,18.54,18.46,6,2000,0.0,153.0,143.82
2000-09-30,23.130000000000003,5.319999999999993,0.029963792409816243,0.0,-10.66,24.210000000000004,29.6,2.4,0.0,-1.0700000000000074,22.6,144.55,5.57,1.05,290.88,354.27,708.9,0.0,1.55,0.0,15.35,8.96,24.31,2200.0,684.59,9.62,-116.16,0.0,5.389999999999999,20.04419172932333,7.71,0.04,0.84,3.0020866300120654,0.0,3.109100174332838,0.0,-0.3410164945688611,253.21,238.93,0.0,18.95,18.88,9,2000,0.0,177.54761904761904,149.14
2000-12-31,22.230000000000004,4.180000000000007,0.022355857031046214,0.0,-4.710000000000001,4.179999999999998,9.36,2.2,0.0,18.040000000000006,4.039999999999999,155.56,5.33,5.07,302.18,348.74,714.63,0.0,1.18,0.0,16.82,9.05,25.87,2200.0,688.76,9.69,113.63000000000001,0.0,5.18,24.575215311004744,7.03,0.04,0.82,2.3391860161753235,0.0,2.427518914688238,0.0,-0.19302374119488683,191.1,181.12,0.0,17.97,17.66,12,2000,0.0,186.97560975609755,153.32
2001-03-31,28.19,0.34,0.0,0.0,-3.62,0.34,5.29,2.2,0.0,27.84,0.27,163.93,6.75,2.76,303.64,343.89,711.25,0.0,1.02,0.0,13.17,8.89,22.06,2200.0,689.19,8.43,-0.06,0.0,4.95,0.0,7.02,0.03,0.0,0.2,0.2,0.2,0.2,0.2,1.24,1.21,0.0,23.06,22.85,3,2001,0.0,inf,0.34
2001-06-30,22.389999999999997,-1.54,-0.012833333333333334,0.0,-3.17,-1.54,3.3899999999999997,2.6,0.0,23.94,-22.5,173.93,2.48,1.16,306.75,339.46,709.94,0.0,3.46,0.0,13.35,8.85,22.2,2200.0,687.75,10.490000000000002,-0.49000000000000005,0.0,4.930000000000001,-50.64935064935065,8.32,0.03,-0.01,-0.8726666666666668,-0.8726666666666668,-0.8726666666666668,-0.9239999999999999,-0.8726666666666668,-2.45,-2.37,0.0,22.98,22.89,6,2001,0.0,120.0,-1.2
2001-09-30,18.560000000000002,-5.2,-0.024375,0.0,0.79,-5.2,-0.23000000000000043,2.3,0.0,23.760000000000005,15.93,174.58,1.68,1.03,301.69,335.25,700.27,0.0,2.13,0.0,9.92,7.92,17.84,2200.0,682.43,1.389999999999997,0.3400000000000001,0.0,4.969999999999999,-23.590769230769233,7.41,0.03,-0.03,-2.9575,-2.9575,-3.0549999999999997,-3.0549999999999997,-3.0225000000000004,-9.56,-9.26,0.0,30.41,30.31,9,2001,0.0,213.33333333333334,-6.4
2001-12-31,33.36,7.87,0.053537414965986393,0.0,0.4400000000000004,7.87,12.73,2.56,0.0,25.489999999999995,-5.89,311.28,2.29,0.89,437.18,208.03,708.37,0.0,0.16,0.0,10.8,7.24,18.03,2200.0,690.33,0.4400000000000013,136.26000000000002,0.0,4.860000000000001,11.95425667090216,8.16,0.03,0.01,4.497142857142857,4.497142857142857,4.497142857142857,4.497142857142857,4.497142857142857,1.71,1.43,0.0,40.48,40.4,12,2001,0.0,147.0,1.47
2002-03-31,20.61,0.18,0.0,0.0,-0.73,0.18,3.99,3.02,0.0,20.43,-3.48,306.58,1.89,0.71,429.13,205.29,705.64,0.0,0.02,0.0,7.51,7.28,14.79,2200.0,690.85,2.7,0.34,0.0,3.81,0.0,9.62,0.02,0.0,0.12,0.12,0.12,0.12,0.12,1.11,0.87,0.0,57.14,57.05,3,2002,0.0,inf,0.18
2002-06-30,19.509999999999998,-0.32,0.0,-0.0,0.69,-0.32,3.51,9.7,0.0,19.83,-3.11,113.71,1.82,0.71,424.03,202.07,851.61,0.0,2.47,0.0,13.84,147.22,161.06,2200.0,690.56,-46.400000000000006,-146.47,0.0,3.8299999999999996,0.0,30.9,0.23,0.0,-0.18285714285714286,-0.18285714285714286,-0.18285714285714286,-0.18285714285714286,-0.18285714285714286,-0.44,-0.35,0.0,30.64,30.59,6,2002,0.0,-inf,-0.14
