,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2004-06-30,,,,,,,,,,,0.48,270.54,236.72,522.02,108.95,680.37,252.8,178.79,31.08,491.65,14.3,505.96,105.0,174.4,,,,,,0.0,2.9,0.5,,,,,,2.13,2.11,0.0,1.06,0.58,6,2004,,18.06,9.03
2004-09-30,315.68,14.49,0.7208035714285714,0.0,84.68,25.05,33.72,,290.64000000000004,24.96,3.57,331.19,253.77,601.35,109.52,760.95,248.14,173.92,31.21,484.76,11.87,496.63,137.5,264.3,-62.010000000000005,-3.34,68.44,8.67,0.0,0.0,1.88,1.17,7.614642857142857,0.0,21.932142857142857,0.0,40.04464285714286,3.19,3.16,0.0,1.24,0.72,9,2004,0.0,20.102564102564102,23.52
2004-12-31,397.6700000000001,20.62,0.938971454463072,0.0,107.27000000000001,32.849999999999994,43.709999999999994,,364.80000000000007,28.069999999999993,4.88,416.33,240.56,669.38,114.66,833.31,244.86,194.34,31.98,535.6,12.77,548.37,137.5,284.92,11.86,-6.989999999999998,-3.5600000000000023,10.860000000000001,0.0,0.0,1.92,2.01,9.903579519710012,0.0,28.94461259628455,0.0,48.78914363389216,3.9,3.87,0.0,1.25,0.8,12,2004,0.0,21.960199004975127,44.14
2005-03-31,293.44,13.24,0.48,0.0,70.03,21.94,25.57,,271.51,10.24,1.95,372.36,240.3,623.32,122.68,795.89,230.39,170.45,11.87,483.2,14.51,497.71,137.5,298.16,34.63,0.54,-38.1,3.63,0.0,0.0,1.67,0.48,6.639999999999999,0.0,17.76,0.0,28.08,4.7,4.51,0.0,1.29,0.79,3,2005,0.0,27.583333333333336,13.24
2005-06-30,335.89000000000004,9.97,0.3608272296423955,0.0,85.84,18.289999999999996,21.409999999999997,,317.59000000000003,15.430000000000001,2.48,417.26,270.56,715.36,128.44,898.5,342.08,185.29,11.95,595.14,14.46,609.6,137.5,288.88,-81.63,-7.09,89.25,3.12,0.0,0.0,2.11,0.84,4.433020249892288,8.762947005601033,13.797345971563981,17.216613528651443,22.78366221456269,3.78,3.69,0.0,1.2,0.75,6,2005,0.0,27.630952380952383,23.21
2005-09-30,345.5999999999999,17.36,0.633295538575302,0.0,91.49000000000001,25.830000000000005,31.190000000000005,,319.77,23.489999999999995,3.25,407.74,299.32,738.93,161.11,956.09,344.84,212.23,11.58,619.25,30.57,649.83,137.5,306.25,22.1,-39.78,18.440000000000005,5.359999999999999,0.0,0.0,2.12,1.48,7.257224550160217,13.16227754498398,22.678826719250676,24.339087996056197,33.564663544491,4.23,4.16,0.0,1.19,0.71,9,2005,0.0,27.41216216216216,40.57
2005-12-31,432.30000000000007,21.909999999999997,0.796025928297055,0.0,111.38,34.16,38.5,6.96,398.13,32.72,3.34,468.87,245.63,727.57,160.93,944.44,338.14,180.1,11.34,588.73,27.54,616.27,137.5,328.15,30.75,-5.020000000000003,-25.620000000000005,4.34,2.1886535828388864,0.58,1.88,2.27,9.285800256081945,15.808303457106273,26.70719590268886,28.58679897567221,39.5137451984635,4.5,4.44,0.0,1.24,0.82,12,2005,0.0,27.524229074889867,62.48
2006-03-31,289.09,10.34,0.38,0.0,84.19,18.56,23.18,7.2,270.53,15.05,14.36,390.33,252.36,667.22,158.5,881.81,282.5,172.34,11.27,543.55,24.78,568.33,137.5,313.47,76.21,-1.81,-63.39,4.62,4.7375,0.63,1.81,0.38,4.68,8.84,13.199999999999998,13.519999999999998,21.96,3.62,3.58,0.0,1.23,0.76,3,2006,0.0,27.210526315789473,10.34
2006-06-30,332.01000000000005,14.41,0.524,0.0,97.69999999999999,25.080000000000002,29.119999999999997,7.38,306.9200000000001,22.859999999999996,6.85,448.88,270.81,742.63,156.5,995.22,390.15,188.37,10.35,644.11,23.21,667.32,137.5,327.88,-39.23,-42.23,73.96000000000001,4.04,3.5209923664122136,0.62,2.04,0.9,5.798933333333334,10.736177777777778,17.58311111111111,18.700977777777776,28.94808888888889,4.02,3.98,0.0,1.15,0.73,6,2006,0.0,27.5,24.75
2006-09-30,467.38,38.72,1.4092201039861352,0.0,158.51,59.45,63.769999999999996,7.44,407.93999999999994,56.09,8.56,515.68,329.0,868.0,166.4,1128.3,388.08,250.16,10.97,732.14,29.55,761.69,137.5,366.6,17.730000000000004,-13.800000000000004,-2.2200000000000006,4.32,1.319559659090909,0.56,2.08,2.31,13.73837088388215,24.1336568457539,42.239999999999995,46.04672443674177,63.49421143847487,5.88,5.83,0.0,1.19,0.74,9,2006,0.0,27.476190476190474,63.47
2006-12-31,474.76,29.430000000000007,1.07075780409042,0.0,127.98000000000002,45.639999999999986,50.33000000000001,10.2,429.12,40.150000000000006,3.94,597.64,282.18,896.47,183.99,1173.03,434.72,211.23,12.9,750.05,26.94,776.99,137.5,396.03,-22.720000000000002,-20.72999999999999,38.82,4.690000000000001,2.3832653754672095,0.71,1.96,3.38,10.035978471474705,17.803724434876216,29.727784714747045,32.51555651237891,44.553662002152855,6.0,5.94,0.0,1.2,0.82,12,2006,0.0,27.48520710059172,92.9
2007-03-31,322.46,7.92,0.29,0.0,84.44,18.06,22.79,10.5,304.4,15.27,38.07,444.25,305.41,811.94,203.14,1114.98,402.42,182.85,13.57,667.16,43.86,711.02,137.5,403.94,86.93,-29.41,-23.39,4.73,9.0525,0.71,1.76,0.29,2.84,7.24,7.84,8.84,16.12,2.48,2.46,0.0,1.22,0.76,3,2007,0.0,27.31034482758621,7.92
2007-06-30,322.31,10.56,0.2285714285714286,0.0,88.87,20.26,24.96,9.35,302.05000000000007,18.000000000000004,5.98,414.88,321.36,764.94,222.92,1088.59,376.45,173.94,18.12,617.48,66.77,684.25,229.16,404.32,5.75,-22.66,-15.170000000000002,4.699999999999999,10.228749999999998,1.06,1.69,0.4,3.8857142857142857,8.411428571428571,10.445714285714287,11.542857142857143,18.582857142857144,2.89,2.87,0.0,1.24,0.72,6,2007,0.0,46.199999999999996,18.48
2007-09-30,363.94000000000005,11.05,0.23948526921774468,0.0,97.23000000000002,19.880000000000003,25.650000000000006,8.3,344.05999999999995,17.529999999999994,8.11,407.37,314.17,755.39,227.83,1100.13,390.46,169.91,18.29,621.48,63.26,684.74,229.16,415.38,22.389999999999986,-24.270000000000003,4.0,5.77,8.66525113122172,0.92,1.65,0.64,4.011378259397223,7.81320690822892,10.64212665086353,11.300711141212325,18.200880460548596,2.95,2.93,0.0,1.22,0.71,9,2007,0.0,46.140625,29.53
2007-12-31,414.6700000000001,11.909999999999997,0.25866312741312736,0.0,116.29999999999995,21.11999999999999,27.439999999999998,8.0,393.54999999999995,17.25,14.44,435.52,321.92,790.45,228.31,1136.95,389.87,175.65,18.1,650.84,58.81,709.65,229.17,427.29,26.5,-7.409999999999997,-12.75,6.32,7.733031066330818,0.86,1.66,0.9,4.184594594594594,7.8978474903474885,11.151254826254823,11.576611969111967,18.761698841698838,2.93,2.91,0.0,1.21,0.72,12,2007,0.0,46.044444444444444,41.44
2008-03-31,410.82,13.13,0.29,0.0,107.49,22.89,28.95,7.65,387.93,16.74,7.57,426.19,358.66,814.81,234.24,1164.52,345.87,240.82,17.89,666.41,57.68,724.08,229.16,440.42,51.17,-7.16,-50.87,6.06,6.595,0.8,1.64,0.29,4.52,8.04,11.92,12.44,18.4,3.25,3.2,0.0,1.22,0.68,3,2008,0.0,45.27586206896552,13.13
2008-06-30,371.33,10.859999999999998,0.2353980825343893,0.0,104.59000000000002,19.560000000000002,26.23,8.0,351.77000000000004,19.360000000000003,12.69,413.43,418.03,864.42,239.09,1198.07,422.04,223.05,18.18,711.95,59.58,771.52,229.16,426.53,-52.07,9.23,47.949999999999996,6.670000000000001,8.493697053407,0.86,1.81,0.52,3.6215089620675274,6.717899124635264,10.176440183409753,10.448053355564817,15.807886619424758,3.1,3.07,0.0,1.21,0.63,6,2008,0.0,46.13461538461538,23.99
2008-09-30,411.44999999999993,11.830000000000002,0.257604690117253,0.0,103.61999999999998,20.83,27.729999999999997,7.5,390.6199999999999,18.059999999999995,5.03,412.72,421.73,859.41,247.84,1202.19,439.81,198.57,18.4,708.94,54.88,763.82,229.16,438.35,0.09999999999999998,-14.8,7.04,6.899999999999999,7.282087912087911,0.78,1.74,0.78,3.9367280848687893,7.265773310999443,10.792975991066445,11.083606923506425,16.949067560022335,3.03,3.0,0.0,1.21,0.62,9,2008,0.0,45.92307692307692,35.82
2008-12-31,430.1200000000001,12.240000000000002,0.2674157303370787,0.0,107.74000000000001,22.03,29.5,7.2,408.09000000000015,20.24000000000001,4.17,463.13,375.28,863.71,251.3,1213.95,450.06,181.34,18.84,712.9,50.44,763.34,229.16,450.6,9.32,-9.099999999999998,-1.08,7.470000000000002,6.733897058823529,0.73,1.69,1.05,4.034157303370787,7.395955056179775,10.869812734082398,11.155056179775281,17.348913857677907,2.98,2.96,0.0,1.21,0.69,12,2008,0.0,45.77142857142857,48.06
2009-03-31,365.84,4.41,0.1,0.0,92.34,12.62,20.53,6.25,353.22,17.45,4.72,468.33,365.68,852.72,266.18,1217.56,457.23,192.51,19.56,717.46,45.07,762.53,229.16,455.01,26.1,-21.6,-3.96,7.91,15.625,0.63,1.68,0.1,1.44,4.24,3.88,3.96,10.08,1.22,1.21,0.0,1.19,0.68,3,2009,0.0,44.1,4.41
