,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2013-12-31,,,,,,,,8.8,,,287.5,0.86,5837.6,260.47,,,0.0,12,2013,,,,,,,,,,,,
2014-03-31,150.92,,,,,,,9.75,19.95,-1.59,81.98,0.47,6383.73,675.57,-663.45,457.93,0.0,3,2014,,,,,,,,,,,,
2014-06-30,160.19000000000003,,,,,,,9.9,25.349999999999998,-1.43,26.77,0.03,6363.19,670.78,101.5,-156.70999999999998,0.27,6,2014,,,,,,,,,,,,
2014-09-30,149.09999999999997,,,,,,,10.7,25.35000000000001,-2.85,31.36,0.03,6365.72,665.05,141.49000000000007,-136.90000000000003,0.51,9,2014,,,,,,,,,,,,
2014-12-31,148.98000000000008,,,,,,,10.9,22.75999999999999,-0.3600000000000003,39.43,0.0,6370.46,674.3,144.89999999999998,-136.82999999999998,0.74,12,2014,,,,,,,,,,,,
2015-03-31,150.07,,,,,,,11.8,26.92,-4.74,65.79,0.0,6361.6,667.02,159.46,-133.1,0.22,3,2015,,,,,,,,,,,,
2015-06-30,148.43,,,,,,,12.3,26.239999999999995,-3.51,31.56,0.0,6354.48,662.26,98.73999999999998,-132.97,0.45,6,2015,,,,,,,,,,,,
2015-09-30,149.2,,,,,,,12.2,24.260000000000005,-1.6300000000000008,41.25,0.0,6396.47,663.41,139.97000000000003,-130.28000000000003,0.67,9,2015,,,,,,,,,,,,
2015-12-31,148.33999999999997,,,,,,,11.0,27.980000000000004,-6.139999999999999,60.57,0.0,6322.1,663.28,138.57,-119.25,0.87,12,2015,,,,,,,,,,,,
2016-03-31,147.48,,,,,,,11.9,26.01,-4.47,39.17,0.0,6324.17,655.24,101.43,-122.84,0.2,3,2016,,,,,,,,,,,,
2016-06-30,144.42,,,,,,,12.4,24.749999999999996,-2.74,32.09,0.0,6323.5,646.42,115.53999999999999,-122.62,0.4,6,2016,,,,,,,,,,,,
2016-09-30,146.19,,,,,,,12.3,26.46,-5.069999999999999,49.32,0.0,6399.92,633.0,139.83,-122.59,0.6,9,2016,,,,,,,,,,,,
2016-12-31,133.36000000000007,,,,,,,11.2,25.72,-2.450000000000001,82.94,0.0,6374.76,629.13,171.89000000000004,-138.26999999999998,0.83,12,2016,,,,,,,,,,,,
2017-03-31,133.4,,,,,,,11.0,22.79,-3.32,41.68,0.0,6366.54,618.2,79.22,-120.48,0.2,3,2017,,,,,,,,,,,,
2017-06-30,133.64000000000001,,,,,,,9.85,19.4,-0.38000000000000034,42.32,0.0,6370.23,612.27,118.14000000000001,-117.49999999999999,0.39,6,2017,,,,,,,,,,,,
2017-09-30,128.37,,,,,,,9.9,27.320000000000007,-5.39,51.32,0.0,6134.08,496.52,240.15999999999997,-231.16,0.58,9,2017,,,,,,,,,,,,
