,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-09-30,5839.779999999999,-209.05,-0.04241913883365123,0.0,-62.360000000000014,-278.27,-57.91999999999996,4.64,6118.050000000001,-559.46,2331.31,1235.11,84.67,6371.96,15948.76,48288.5,330.65,904.53,7503.8,14566.27,22070.08,485.0,19099.47,463.4,-45.00999999999999,-278.29,220.35000000000002,-27.346146854819416,0.12,1.16,-0.05,0.0,0.0,-1.7307008644129702,-2.07005397508218,-4.377655127632807,-4.377655127632807,-2.273665841483706,-1.41,-1.36,-1.27,0.85,0.84,9,2014,0.0,4928.2,-246.41
2014-12-31,8107.700000000001,429.59000000000003,0.09380718419041381,0.0,1238.62,915.21,1283.44,4.3,7192.489999999998,683.6199999999999,4789.06,631.01,96.85,7492.55,16033.31,49501.8,175.17,959.01,7864.75,14621.15,22485.9,485.0,19534.21,2286.69,494.6399999999999,-330.64,368.23,11.459676668451314,0.11,1.15,0.04,0.0,0.0,3.470865815045311,12.757777049896278,8.817875313898897,8.817875313898897,14.446306365323728,0.72,0.7,1.97,0.95,0.94,12,2014,0.0,4579.5,183.18
2015-03-31,7947.19,506.41,0.09999999999999999,0.0,1578.23,1214.5,1542.53,5.0,6732.68,1001.59,4650.83,883.04,105.94,8607.25,18586.25,52187.29,1094.85,1120.06,7742.05,16509.25,24251.3,485.0,20040.62,642.65,-391.49,-332.12,328.03,12.5,0.12,1.21,0.1,0.0,0.0,3.88,9.92,10.12,10.24,10.92,6.55,6.37,11.13,1.11,1.1,3,2015,0.0,5064.1,506.41
2015-06-30,7059.06,205.93,0.04336342196142292,0.0,843.5900000000001,448.71000000000004,784.5600000000002,4.4,6610.369999999999,343.6,4420.37,933.42,120.26,8390.89,18368.66,51797.57,573.88,1133.42,7045.7,16443.79,23489.5,485.0,20246.55,89.40999999999997,-38.56,-389.47,335.85,25.36411911814694,0.11,1.16,0.15,0.0,0.0,1.5957739281803633,3.9894348204509082,4.070379874778898,4.1628885082966,4.301651458573153,4.87,4.75,7.06,1.19,1.17,6,2015,0.0,4748.933333333333,712.34
2015-09-30,7455.299999999999,91.60000000000002,0.01936960469686793,0.1,900.0999999999999,277.81999999999994,604.7999999999997,4.32,7177.48,308.46000000000004,4809.92,450.6,133.16,8166.66,18421.84,51723.4,214.55,1267.47,7354.47,16807.01,24161.48,485.0,19855.01,1261.28,391.72,-1370.19,326.98,55.75359006550217,0.11,1.22,0.17,0.1,0.59,0.7064208771798892,1.768330969972884,1.8458093887603557,1.8822698211309306,1.9916511182426553,3.68,3.58,4.72,1.11,1.09,9,2015,472.9058823529412,4729.058823529412,803.94
2015-12-31,8002.0300000000025,274.53999999999996,0.056003634745196935,0.0035315498501158494,870.3099999999995,625.3599999999999,1162.94,5.25,7376.66,161.2199999999998,6122.81,439.19,94.03,8829.2,18216.07,52826.53,335.81,1261.44,8296.49,16446.88,24743.36,485.0,20142.39,1013.9300000000001,921.11,-437.27,537.58,23.432407663728423,0.13,1.23,0.22,0.1,0.45,2.077225725094577,5.111604480379793,5.447626288850974,5.539268600252206,5.865107929678806,3.65,3.54,4.62,1.06,1.05,12,2015,17.312299465240642,4902.181818181818,1078.48
2016-03-31,9183.0,1009.08,0.21,0.0,2485.43,2050.01,2370.23,5.8,7132.99,1821.94,7518.06,441.92,111.19,10036.02,17933.69,54475.66,338.64,1258.02,8479.65,16079.9,24559.55,485.0,21151.47,2361.18,-470.57,-443.02,320.22,6.905,0.13,1.16,0.21,0.0,0.0,7.4,15.36,19.08,19.6,17.84,11.27,10.99,14.06,1.18,1.17,3,2016,0.0,4805.142857142858,1009.08
2016-06-30,7965.110000000001,422.4999999999999,0.08853853783931039,0.0,1200.0,799.1799999999998,1122.17,6.25,7165.92,587.4899999999998,6975.67,392.29,134.73,9860.0,17727.75,54465.06,304.21,1270.23,8123.45,15659.29,23782.74,485.0,21573.97,212.55000000000018,-341.47999999999996,-454.07000000000005,322.99,17.64485881656805,0.14,1.1,0.3,0.0,0.0,3.104751393565151,6.32755417091605,7.838611883373614,8.086519789323681,7.260160102823453,8.57,8.35,9.43,1.21,1.2,6,2016,0.0,4771.933333333333,1431.58
2016-09-30,8347.39,396.6400000000001,0.0824425944361182,0.0,1201.4900000000002,744.6199999999999,1060.31,7.15,7602.779999999999,542.71,6285.18,451.06,128.65,9852.61,17492.63,54625.53,405.79,1490.22,8196.57,15023.56,23220.13,485.0,21970.6,827.1300000000001,-1156.1000000000001,-327.7299999999999,315.68999999999994,21.686605233965306,0.16,1.06,0.38,0.0,0.0,2.9071862248525897,5.866441456717465,7.220235639036879,7.584718688122876,6.716901904584788,7.36,7.17,9.1,1.2,1.19,9,2016,0.0,4811.105263157895,1828.22
2016-12-31,7634.800000000003,41.24000000000001,0.008603340001925691,0.15,825.8900000000003,133.1500000000001,474.72000000000025,6.05,7501.6500000000015,124.59000000000015,4661.35,446.0,118.18,8759.62,20425.36,56599.43,488.96,1791.51,9270.1,17209.08,26479.18,485.0,21270.52,980.7000000000003,-817.44,-1873.3100000000002,341.57000000000005,175.77185135790492,0.14,1.24,0.39,0.15,0.38,0.2911899692959465,0.6009102093652713,0.7756241909428393,0.7968016432552717,0.6944439570785148,5.77,5.64,7.03,0.94,0.93,12,2016,719.0230769230769,4793.48717948718,1869.46
2017-03-31,9545.62,570.32,0.12000000000000001,0.0,1581.02,1229.24,1602.11,6.45,8316.38,833.86,5133.8,433.0,101.2,9388.84,21765.08,58567.85,315.63,1765.69,9411.88,18000.94,27412.82,485.0,21840.84,1459.55,-339.09,-593.94,372.87,13.4375,0.14,1.26,0.12,0.0,0.0,3.88,8.68,10.44,10.600000000000001,10.0,6.23,5.97,8.98,1.0,0.99,3,2017,0.0,4752.666666666667,570.32
2017-06-30,8589.1,170.64999999999998,0.03454593303372606,0.0,869.94,426.1299999999999,801.7100000000003,6.25,8162.969999999999,172.66999999999996,5208.7,396.0,104.46,8497.32,23068.45,59488.26,285.46,1578.34,8620.93,19402.67,28023.6,485.0,22011.49,488.85000000000014,-256.52000000000004,-192.03999999999996,375.58000000000004,45.23325505420453,0.14,1.27,0.15,0.0,0.0,1.151531101124202,2.680764403417142,3.1045278486308483,3.132164595057829,2.9939808629229248,4.24,4.09,5.87,0.99,0.97,6,2017,0.0,4939.8,740.97
2017-09-30,9065.439999999999,260.92999999999995,0.05469138636590477,0.0,996.9899999999998,614.1100000000001,1013.6199999999999,6.55,8451.330000000002,283.1600000000001,5540.08,524.15,120.2,9122.44,22737.53,59985.06,252.17,1582.84,9212.77,18834.26,28047.03,485.0,22272.42,1248.9,-324.33000000000004,-569.45,399.51,29.940272295251606,0.14,1.26,0.21,0.0,0.0,1.7397069567821137,4.125293143028246,4.687833117077552,4.719085337858069,4.656580896297035,3.82,3.68,5.12,0.99,0.98,9,2017,0.0,4770.952380952381,1001.9
