,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-06-30,1082.71,37.19999999999999,0.13691151663855233,-0.006794663395184822,137.39,50.029999999999994,59.59,3.8,-0.02,1032.68,44.57,299.43,84.04,489.76,913.12,139.78,1083.99,261.41,325.65,0.0,325.65,270.95,758.34,11.100000000000001,-5.15,0.3299999999999983,9.559999999999999,6.937327284946237,1.36,0.43,0.24,0.22,0.92,13.736788836068085,20.308541634718598,19.623984051525834,21.015917804017786,26.40110412513418,3.18,3.15,2.8,1.3,6,2005,-1.8461666666666758,271.7083333333333,65.21
2005-09-30,1284.58,52.230000000000004,0.191237227520436,0.0011341252270662932,158.38,70.15000000000002,79.92,4.58,-0.01,1214.4199999999998,61.42999999999999,60.82,94.71,541.71,943.26,143.84,1118.99,248.2,308.42,0.0,308.42,270.95,810.57,-24.769999999999996,-213.84,0.0,9.770000000000003,5.986674325100517,1.53,0.38,0.43,0.22,0.51,18.67898501362398,26.25731607629428,25.776999318801092,27.68047683923706,34.65396457765668,3.53,3.5,3.06,1.3,9,2005,0.3097480620155011,273.1162790697674,117.44
2005-12-31,1106.1600000000003,32.91,0.12038909211839043,0.00019907038615323363,131.22999999999996,43.809999999999974,57.28,5.1,0.0,1062.3600000000001,34.870000000000005,138.82,100.16,570.54,1095.22,169.9,1297.8,330.7,403.0,0.0,403.0,322.27,894.8,114.41999999999999,-87.74000000000001,51.32,13.469999999999999,10.587545578851412,1.84,0.45,0.55,0.22,0.4,10.138950448952443,15.331003658131028,14.709358164283339,15.987671433322248,19.735055537080143,3.4,3.37,2.72,1.3,12,2005,0.05441860465116122,273.3636363636363,150.35
2006-03-31,1199.82,36.9,0.11,0.32,147.82,49.67,61.25,7.55,0.18,1150.15,40.06,89.04,94.49,622.02,1154.98,161.19,1349.93,340.03,521.36,0.0,521.36,322.27,828.58,5.71,-55.48,0.0,11.58,17.16,2.94,0.63,0.11,0.32,2.91,10.92,16.2,17.8,19.04,23.96,3.11,3.08,2.22,1.02,3,2006,107.34545454545454,335.45454545454544,36.9
2006-06-30,1224.82,41.940000000000005,0.12767123287671234,-0.006774595267745934,155.35000000000002,55.620000000000005,67.13,8.9,-0.3,1169.1999999999998,46.209999999999994,350.96,100.13,618.18,1114.47,193.41,1354.75,382.52,481.04,0.0,481.04,325.48,873.71,111.71000000000001,-0.8700000000000045,-99.92,11.51,17.426008583690987,3.32,0.55,0.24,0.32,1.33,12.384109589041097,18.363378995433795,19.193242009132423,20.555068493150685,25.640639269406396,3.28,3.25,2.32,1.03,6,2006,-2.2254545454545394,328.5,78.84
2006-09-30,1480.83,57.53999999999999,0.17720193576770785,-0.0037307523097228285,189.52999999999997,76.79,90.87,8.25,-0.25,1404.0300000000002,70.27,353.12,144.13,622.5,1182.81,200.94,1435.58,414.04,504.32,0.0,504.32,325.48,931.26,25.85000000000001,-23.699999999999996,0.0,14.080000000000002,11.637570385818563,2.88,0.54,0.42,0.32,0.76,16.032556093268806,24.065710514738228,24.70701275846898,26.428402991641,32.9933128024637,3.52,3.49,2.35,1.11,9,2006,-1.21142857142857,324.7142857142857,136.38
2006-12-31,1318.9299999999998,39.02000000000001,0.1201299885974915,9.903893142202329e-05,165.19,47.70999999999998,61.639999999999986,9.55,-0.45,1271.2299999999996,30.47,300.99,150.36,566.08,1091.46,205.68,1349.68,282.05,372.13,0.0,372.13,332.75,977.55,-20.010000000000005,-39.39,7.280000000000001,13.93,19.87971553049718,3.25,0.38,0.54,0.32,0.59,11.568072976054735,15.447826681870016,15.963940706955535,16.67582212086659,20.920415051311295,3.39,3.36,2.93,1.41,12,2006,0.032169312169301634,324.8148148148148,175.4
2007-03-31,1281.85,29.62,0.09,0.36,155.36,40.55,55.35,8.4,0.02,1241.3,27.63,415.5,170.26,529.0,1178.58,193.13,1424.48,330.95,537.1,0.0,537.1,332.75,887.38,117.43,-2.93,0.0,14.8,23.3325,3.15,0.61,0.09,0.36,4.0,8.32,11.68,13.36,13.8,18.28,2.33,2.31,2.19,1.21,3,2007,118.48,329.11111111111114,29.62
2007-06-30,1391.4300000000003,36.28999999999999,0.11011986041571839,0.00047944166287353313,167.47999999999996,51.870000000000005,66.10999999999999,7.55,0.08,1339.5600000000002,37.83,477.06,108.03,528.74,1186.86,180.41,1419.86,426.46,496.07,0.0,496.07,332.87,923.79,182.06,-0.8199999999999998,-119.67,14.239999999999998,17.140414025902455,2.72,0.54,0.2,0.36,1.8,10.219123046578666,14.66796540737369,15.703092095281441,16.143571536944314,22.023972083143676,2.49,2.47,2.39,1.33,6,2007,0.15799999999997283,329.54999999999995,65.91
2007-09-30,1515.8600000000001,52.91,0.16030634573304156,0.0005514223194748855,191.43,70.77,86.35000000000001,6.4,-0.01,1445.08,62.90000000000002,461.95,135.23,501.96,1156.85,176.79,1386.44,329.49,409.74,0.0,409.74,332.87,976.7,-24.310000000000002,9.2,0.0,15.579999999999998,9.982137592137592,2.18,0.42,0.36,0.36,1.0,15.264726477024071,20.608271334792125,21.676980306345733,22.19352297592998,29.763544857768053,2.86,2.84,2.82,1.6,9,2007,0.18200000000001637,330.05555555555554,118.82
2007-12-31,1374.17,43.06,0.13033975784531754,0.2403397578453175,166.47000000000003,57.03999999999999,72.29000000000002,6.6,0.0,1317.15,34.619999999999976,445.97,146.56,578.34,1217.86,182.12,1453.58,439.2,513.42,0.0,513.42,333.16,940.16,84.81,-21.19,-79.60000000000001,15.25,12.65979795633999,2.34,0.55,0.49,0.6,1.22,11.852937978749692,16.715408944897458,18.32204595997035,17.96028663207314,24.91883370397826,2.94,2.91,2.37,1.25,12,2007,79.4004081632653,330.3673469387755,161.88
2008-03-31,1431.51,40.42,0.12,0.1,183.61,53.16,68.92,6.2,0.36,1378.35,47.34,364.6,146.07,660.57,1210.77,183.83,1450.06,379.25,502.8,0.0,502.8,333.16,947.26,-64.12,-17.26,0.0,15.76,12.9175,2.18,0.53,0.12,0.1,0.83,11.16,14.8,17.08,17.64,22.44,2.84,2.82,2.41,1.09,3,2008,33.68333333333334,336.83333333333337,40.42
2008-06-30,1474.0000000000002,46.42,0.1389820359281437,-0.0008483033932135884,186.57,61.24000000000001,77.58,6.1,1.3,1412.7600000000002,45.379999999999995,514.55,126.95,737.66,1427.22,184.09,1666.96,593.44,671.14,0.0,671.14,335.29,995.81,197.46,-16.3,-31.21,16.340000000000003,10.971921585523482,2.05,0.67,0.26,0.1,0.38,11.13994472593275,15.843952095808383,18.644974666052512,19.350575771533858,24.56774758175956,3.02,2.99,2.13,1.03,6,2008,-0.28333333333333854,334.0,86.84
2008-09-30,1632.6499999999996,57.19999999999999,0.17075812274368227,0.26029158567064703,210.3,75.88,92.31,5.35,1.32,1556.77,63.59,284.13,148.44,838.16,1345.66,174.34,1575.45,544.4,609.61,0.0,609.61,335.29,965.84,-136.61,-6.619999999999997,-87.19,16.43,7.831545454545456,1.86,0.63,0.43,0.36,0.84,14.518411552346569,20.411552346570396,23.683754512635375,23.556678700361008,31.292418772563174,3.2,3.17,2.21,0.83,9,2008,87.19162790697675,334.9767441860465,144.04
2008-12-31,1333.4899999999998,24.22,0.07197194817544277,0.001650933356184607,161.01999999999998,32.120000000000005,51.610000000000014,4.12,1.1,1301.3599999999997,25.49000000000001,284.89,132.06,513.74,1155.35,173.98,1385.39,323.43,395.33,0.0,395.33,335.29,990.06,179.66,-178.89,0.0,19.489999999999995,14.311131296449215,1.4,0.4,0.5,0.36,0.72,6.9956733626530365,9.022403423273506,9.78242719600618,10.035768453583739,12.931919648163555,2.89,2.87,2.92,1.62,12,2008,0.555572093023244,336.52,168.26
2009-03-31,1220.04,22.2,0.07,0.24,153.9,31.74,47.86,3.7,-0.37,1188.3,24.13,438.2,100.02,635.05,1391.44,160.86,1613.91,537.93,682.12,0.0,682.12,335.29,931.79,155.92,-2.61,0.0,16.12,13.215,1.33,0.73,0.07,0.24,3.43,5.52,8.28,9.52,9.44,13.64,1.83,1.82,2.04,1.11,3,2009,76.1142857142857,317.1428571428571,22.2
2009-06-30,1378.7200000000003,40.92,0.12317490494296578,0.07088538837588271,175.76000000000002,53.60000000000001,69.44,4.02,0.0,1325.1299999999999,52.22,393.66,137.87,684.98,1431.06,152.32,1640.06,626.79,687.47,0.0,687.47,335.29,952.59,60.84,-4.790000000000001,-100.59,15.84,8.159941348973605,1.41,0.72,0.19,0.3,1.58,9.98365019011407,13.380684410646388,17.192623574144488,16.803650190114073,23.234676806083655,2.45,2.43,2.08,1.09,6,2009,23.54887218045114,332.2105263157895,63.12
2009-09-30,1566.8400000000001,58.15,0.17262307248288944,0.1241416933940359,201.2,78.32,93.94000000000001,5.5,-0.38,1488.5100000000002,68.62,199.9,109.2,762.7,1352.43,149.36,1558.31,514.71,587.8,0.0,587.8,335.29,970.51,-91.69999999999999,-61.830000000000005,-40.22999999999999,15.619999999999997,7.96649011177988,1.9,0.61,0.36,0.42,1.17,14.922305599076441,20.024276408015172,23.975426733734643,24.032967757895605,32.33805557846129,2.93,2.91,2.3,1.0,9,2009,41.818508771929814,336.8611111111111,121.27
2009-12-31,1476.0999999999995,43.85000000000001,0.13012657461240312,0.17014767038113693,190.34000000000003,59.03,74.5,6.65,-0.95,1417.0700000000002,64.41999999999999,349.72,137.98,705.17,1332.23,151.87,1540.55,488.08,583.2,0.0,583.2,335.29,957.36,101.4,105.42,-57.0,15.469999999999999,12.77467730900798,2.33,0.61,0.49,0.59,1.2,11.387403100775197,16.167562984496126,18.323946220930235,18.015891472868223,24.708115310077524,2.95,2.93,2.28,1.08,12,2009,57.3362925170068,336.9795918367347,165.12
2010-03-31,1452.61,41.42,0.12,0.14,184.38,55.7,70.84,6.85,-0.04,1396.91,49.05,419.36,113.85,776.87,1446.5,150.84,1668.1,560.25,716.26,0.0,716.26,335.29,951.84,82.7,-13.06,0.0,15.14,14.27,2.41,0.75,0.12,0.14,1.17,9.92,13.56,17.4,17.6,23.4,2.87,2.85,2.02,0.93,3,2010,48.32333333333334,345.1666666666667,41.42
2010-06-30,1564.3300000000002,47.010000000000005,0.1382177993893475,0.11792076595423875,191.97000000000003,63.739999999999995,79.06,7.7,0.04,1500.59,59.86,515.7,131.08,798.78,1493.66,146.84,1711.34,666.2,752.73,0.0,752.73,335.29,958.61,94.11,89.41,-87.18,15.32,13.929465007445224,2.69,0.79,0.26,0.26,1.0,10.99363112066041,15.161429379169965,19.605663236458216,19.669456066945607,26.495288929096464,2.95,2.93,1.98,0.92,6,2010,40.10666666666667,340.11538461538464,88.43
2010-09-30,1673.02,60.76999999999998,0.1792144772117962,0.1392144772117962,215.76999999999998,82.97999999999999,98.10999999999999,8.55,0.15,1590.04,73.56,254.49,160.63,867.34,1355.54,148.59,1580.52,513.35,608.07,0.0,608.07,335.29,972.45,-193.41,-20.859999999999992,-46.94,15.130000000000003,11.925933848938623,2.95,0.63,0.44,0.4,0.91,15.37986058981233,21.016970509383373,24.992273458445034,25.02485790884718,33.920412868632695,3.21,3.18,2.23,0.8,9,2010,47.20636363636362,339.09090909090907,149.2
2010-12-31,1534.5500000000002,53.910000000000025,0.15925360642016648,0.17932146038196953,199.01999999999998,71.64000000000001,87.13,8.45,0.04,1462.92,56.52000000000001,426.59,129.4,760.32,1360.72,153.66,1590.79,490.43,582.72,0.0,582.72,341.68,1008.08,209.45,-19.07,-18.269999999999982,15.489999999999995,13.261866073084766,2.86,0.58,0.6,0.58,0.97,13.557790359903507,18.57958741568609,21.393067795775696,21.945146964698942,28.867370390428846,3.28,3.26,2.34,1.03,12,2010,60.70330303030306,338.5166666666667,203.11
2011-03-31,1607.33,51.12,0.15,0.16,200.96,73.61,88.71,8.2,0.0,1533.72,59.03,446.16,151.29,856.41,1533.69,159.07,1812.75,644.49,808.03,6.44,814.48,341.68,998.28,81.72,-62.15,0.0,15.1,13.6675,2.81,0.82,0.15,0.16,1.07,11.28,16.92,20.48,20.96,29.32,3.22,3.18,1.9,0.84,3,2011,54.528000000000006,340.8,51.12
2011-06-30,1754.9500000000003,67.14000000000001,0.19870624048706245,0.13861998985286655,216.73,93.35000000000001,108.64,8.45,0.81,1661.6000000000001,75.88,369.7,152.69,955.08,1586.03,159.63,1875.9,713.05,826.92,6.64,833.56,345.53,1042.34,15.260000000000005,-13.979999999999997,-77.74,15.290000000000001,10.630013404825736,2.8,0.8,0.35,0.3,0.86,14.306849315068495,21.142343987823445,25.775038051750386,26.84237442922375,36.153181126331816,3.56,3.52,1.92,0.76,6,2011,46.837714285714284,337.8857142857143,118.26
2011-09-30,1886.44,74.74,0.2168621761658031,0.16588186528497406,234.38000000000005,103.41999999999999,118.79999999999998,9.95,1.58,1783.02,135.17,318.23,177.73,853.01,1411.76,174.86,1729.2,529.57,636.27,6.84,643.11,349.4,1086.09,8.36,-28.840000000000003,-30.99000000000001,15.380000000000003,11.471802247792349,3.2,0.59,0.56,0.46,0.82,17.28701347150259,25.310913989637303,27.526006217616576,29.0440414507772,38.32264455958549,3.72,3.68,2.22,0.88,9,2011,57.16999999999999,344.6428571428571,193.0
2011-12-31,1328.75,24.19999999999999,0.07019337016574582,0.1801588397790056,154.39,33.85000000000002,49.01000000000005,10.5,1.08,1294.8999999999996,26.19999999999999,411.12,147.82,716.92,1331.28,181.27,1664.14,519.23,609.7,7.04,616.73,349.4,1047.4,175.18999999999997,-19.400000000000006,-62.89,15.159999999999997,37.404173553719026,3.5,0.59,0.63,0.64,1.02,5.816022099447512,8.329613259668506,9.243241252302022,9.417053406998154,12.857642725598522,3.34,3.3,2.18,1.01,12,2011,62.11190476190478,344.76190476190476,217.2
2012-03-31,1549.41,36.44,0.1,0.07,189.4,47.74,62.86,11.5,0.15,1501.67,57.45,441.97,166.45,905.61,1576.3,182.55,1914.73,714.35,848.09,7.24,855.34,349.4,1059.39,45.04,-14.2,0.0,15.12,28.749999999999996,3.79,0.81,0.1,0.07,0.7,7.6,10.24,13.76,14.159999999999998,17.92,2.37,2.35,1.86,0.79,3,2012,25.508,364.4,36.44
2012-06-30,1540.36,29.840000000000003,0.08554013277006639,0.09687809293904648,170.71,36.93,52.81,9.2,0.0,1503.4299999999998,41.34,298.9,192.1,939.28,1487.94,205.28,1853.19,705.25,791.45,7.45,798.9,349.4,1054.29,-46.71,-36.95,-59.4,15.88,26.887379356568363,3.05,0.76,0.19,0.17,0.89,6.447024743512372,8.175835847917925,11.327314423657214,11.381339770669888,14.352733856366928,2.16,2.15,1.88,0.69,6,2012,33.795157894736846,348.8421052631579,66.28
2012-09-30,1491.4100000000003,20.5,0.059057386494584,0.06915660896883831,160.59000000000003,25.78,41.459999999999994,6.6,0.08,1465.6299999999997,26.22,171.27,151.49,786.0,1232.19,211.79,1607.67,465.29,549.68,7.66,557.34,349.4,1050.33,-32.25,-70.93,-24.46,15.68,27.93892682926829,2.2,0.53,0.25,0.24,0.96,5.102558193132058,6.2553583775063375,7.805024199124222,7.672735653376353,9.864945840055313,1.91,1.89,2.24,0.81,9,2012,24.005642105263156,347.12,86.78
2012-12-31,1348.9799999999996,0.5900000000000034,0.0016882225020029855,0.04162069360192287,130.30999999999995,0.18999999999999773,15.050000000000011,5.0,-0.21,1348.7800000000007,8.809999999999988,245.35,126.33,739.89,1256.4,206.31,1637.46,527.74,592.65,7.87,600.52,349.4,1036.94,147.51999999999998,-59.459999999999994,-13.969999999999999,14.86,740.423728813555,1.68,0.58,0.25,0.28,1.12,0.14424173057113507,0.18097745221472006,0.2277074510701627,0.2263568730685603,0.28605242073938586,1.49,1.47,2.12,0.87,12,2012,14.545600000000007,349.48,87.37
2013-03-31,1362.78,-19.94,-0.06,0.0,140.33,-19.08,-5.03,4.76,0.02,1381.86,10.02,207.31,107.44,820.64,1287.61,196.3,1632.24,525.68,601.0,7.54,608.54,349.4,1023.71,-53.57,15.53,0.0,14.05,-19.8325,1.62,0.59,-0.06,0.0,0.0,-4.88,-4.32,-7.8,-7.64,-7.4,-1.47,-1.46,2.14,0.78,3,2013,0.0,332.33333333333337,-19.94
2013-06-30,1389.28,9.46,0.027080152671755724,0.0,139.12999999999997,10.449999999999998,24.150000000000002,3.14,0.02,1378.8300000000002,9.969999999999999,187.32,132.15,889.14,1375.47,193.56,1729.12,616.95,688.23,7.73,695.96,349.4,1033.16,-0.18999999999999773,-19.81,0.0,13.7,28.98894291754757,1.06,0.67,-0.03,0.0,0.0,2.2025190839694657,1.7331297709923663,3.646793893129771,3.6106870229007635,2.9968702290076337,-0.39,-0.38,2.0,0.71,6,2013,0.0,349.33333333333337,-10.48
2013-09-30,1359.0899999999997,4.1000000000000005,0.01285266457680251,0.0,141.18,3.8900000000000006,18.12,2.92,-0.18,1355.2099999999996,0.9000000000000021,215.12,112.99,752.17,1241.52,201.32,1606.05,481.21,560.86,7.92,568.78,349.4,1037.27,49.96,-22.15,0.0,14.229999999999997,56.79756097560975,0.98,0.55,-0.02,0.0,0.0,1.0282131661442009,0.7454545454545455,1.5937304075235112,1.5680250783699061,1.156739811912226,-0.16,-0.16,2.21,0.87,9,2013,0.0,319.0,-6.38
2013-12-31,1304.1000000000004,-2.4699999999999998,-0.005581920903954801,0.0,123.63,-2.09,12.649999999999999,2.72,-0.4,1306.1800000000003,-8.09,235.81,117.69,580.74,1129.16,217.18,1521.2,394.54,477.0,9.4,486.4,349.4,1034.8,100.02,-79.33000000000001,0.0,14.740000000000002,-121.82186234817814,0.92,0.47,-0.02,0.0,0.0,-0.647502824858757,-0.48004519774011295,-0.9600903954802259,-0.9489265536723163,-0.7256497175141242,-0.17,-0.16,2.37,1.15,12,2013,0.0,442.5,-8.85
2014-03-31,1212.16,-8.3,-0.02,0.0,122.39,-8.56,6.68,2.78,-0.03,1220.72,-10.33,260.96,105.46,687.01,1262.66,207.06,1648.13,552.96,611.97,9.67,621.64,349.4,1026.5,38.92,-13.77,0.0,15.24,-34.75,0.95,0.61,-0.02,0.0,0.0,-2.0,-2.08,-3.24,-3.24,-3.32,-0.7,-0.68,2.06,0.94,3,2014,0.0,415.0,-8.3
2014-06-30,1227.0399999999997,-10.54,-0.0279723991507431,0.0,123.16000000000001,-10.540000000000001,5.200000000000001,3.08,-0.03,1237.5800000000002,-2.9299999999999997,244.4,113.16,618.01,1180.73,209.86,1568.01,474.29,542.12,9.93,552.04,349.4,1015.96,-8.670000000000002,-7.900000000000002,0.0,15.74,-27.52713472485769,1.06,0.54,-0.05,0.0,0.0,-2.6853503184713374,-2.5958386411889594,-4.139915074309979,-4.117537154989384,-4.162292993630573,-0.78,-0.77,2.18,1.04,6,2014,0.0,376.79999999999995,-18.84
2014-09-30,1295.3700000000003,3.8499999999999996,0.010273515677118077,0.0,135.76,3.700000000000001,19.93,3.24,-0.04,1291.6699999999996,15.14,128.24,129.95,622.11,1295.0,205.93,1678.72,575.17,648.72,10.19,658.91,349.4,1019.81,94.28,-210.43,0.0,16.23,78.84350649350651,1.11,0.65,-0.04,0.0,0.0,0.914342895263509,0.9657104736490993,1.5102068045363575,1.4999332888592394,1.5410273515677115,-0.41,-0.4,2.0,1.04,9,2014,0.0,374.75,-14.99
2014-12-31,1303.8600000000001,3.66,0.009691085613415711,0.0,114.13,3.710000000000001,20.01,2.7,-0.04,1300.15,-2.41,173.58,110.56,543.61,1149.96,197.17,1528.84,418.28,494.92,10.45,505.37,349.4,1023.47,-51.620000000000005,96.96000000000001,0.0,16.299999999999997,69.65163934426229,0.92,0.49,-0.03,0.0,0.0,0.9561871138570168,0.9949514563106796,1.4342806707855253,1.421359223300971,1.4601235657546336,-0.23,-0.22,2.32,1.23,12,2014,0.0,377.6666666666667,-11.33
2015-03-31,1221.97,2.83,0.01,0.0,125.98,2.9,18.7,2.86,0.0,1219.07,10.23,183.81,110.77,559.09,1263.93,188.78,1632.95,518.34,595.97,10.68,606.65,349.4,1026.3,95.74,-85.51,0.0,15.8,71.5,0.97,0.59,0.01,0.0,0.0,0.68,0.72,1.12,1.12,1.12,0.23,0.23,2.12,1.18,3,2015,0.0,283.0,2.83
2015-06-30,1232.84,4.76,0.012542819499341239,0.0,117.98,4.359999999999999,20.69,2.84,0.05,1228.49,5.129999999999999,266.3,119.64,587.2,1311.98,184.89,1675.7,565.58,633.73,10.91,644.64,349.4,1031.06,8.230000000000004,74.26,0.0,16.330000000000002,56.60609243697479,0.96,0.63,0.02,0.0,0.0,1.1288537549407116,1.1288537549407116,1.8563372859025031,1.8563372859025031,1.7559947299077734,0.31,0.31,2.07,1.14,6,2015,0.0,379.5,7.59
2015-09-30,1242.02,4.9399999999999995,0.015770151636073423,0.0,119.16999999999999,5.279999999999999,22.189999999999998,2.3,0.0,1236.73,8.310000000000002,159.52,127.25,636.83,1360.83,181.44,1719.8,594.24,672.66,11.14,683.8,349.4,1036.0,4.769999999999996,-111.54,0.0,16.909999999999997,36.46128542510122,0.78,0.66,0.04,0.0,0.0,1.15122106943336,1.1669912210694333,1.908188347964884,1.9239584996009576,1.8924181963288107,0.34,0.34,2.02,1.08,9,2015,0.0,313.25,12.53
2015-12-31,1332.7600000000002,9.81,0.026347358997314232,0.0,126.03000000000003,9.900000000000002,25.64,2.32,0.0,1322.87,8.069999999999997,86.6,124.86,614.46,1288.46,183.06,1672.03,547.78,614.2,12.83,627.02,349.4,1045.01,-22.569999999999993,-50.36,0.0,15.740000000000002,22.015489296636087,0.78,0.6,0.06,0.0,0.0,2.353697403760072,2.4590868397493284,3.758889883616831,3.79401969561325,3.723760071620412,0.45,0.44,2.1,1.1,12,2015,0.0,372.33333333333337,22.34
2016-03-31,1285.08,2.24,0.01,0.05000000000000001,121.41,2.26,17.75,2.68,0.0,1282.82,4.3,110.51,117.74,745.63,1441.08,174.26,1815.64,683.97,755.08,13.32,768.4,349.4,1047.25,26.58,-2.66,0.0,15.49,67.0,0.89,0.73,0.01,0.05,5.0,0.48,0.52,0.84,0.8800000000000001,0.84,0.18,0.17,1.91,0.92,3,2016,11.200000000000003,224.00000000000003,2.24
