,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2002-12-31,,,,,,,,,0.0,,,32.45,41.38,205.09,307.79,56.25,375.73,193.68,224.56,0.0,224.56,100.0,151.17,,,,,,0.0,1.49,0.34,0.0,0.0,,,,,,1.89,1.88,1.37,0.46,12,2002,,100.05882352941177,34.02
2003-03-31,515.1,12.63,0.1,0.0,66.85,18.29,22.17,,0.0,496.8,18.82,20.55,36.12,310.16,403.92,60.8,478.4,226.12,271.6,0.0,271.6,160.0,206.8,-47.66,-7.24,43.0,3.88,0.0,0.0,1.31,0.1,0.0,0.0,10.56,0.0,24.44,0.0,35.36,2.46,2.45,1.49,0.35,3,2003,0.0,126.3,12.63
2003-06-30,592.9699999999999,15.62,0.10505486725663717,0.0,72.87,22.189999999999998,26.589999999999996,3.44,0.0,570.79,23.03,204.61,64.9,311.07,611.59,59.75,689.47,236.51,274.9,0.0,274.9,200.0,414.56,-3.760000000000005,-4.33,192.14,4.3999999999999995,8.188340268886042,1.66,0.66,0.19,0.0,0.0,9.067893805309733,0.0,15.061550442477875,0.0,21.586010619469025,2.55,2.55,2.22,1.09,6,2003,0.0,148.68421052631578,28.25
2003-09-30,776.95,26.28,0.15421969558041446,0.0,98.16999999999999,37.88,44.79,7.15,0.0,739.0800000000002,38.63,50.73,71.49,411.66,581.25,77.95,680.02,187.42,239.18,0.0,239.18,200.0,440.84,-132.13,-21.740000000000002,0.0,6.91,11.588662480974124,3.24,0.54,0.32,0.0,0.0,15.460524481936547,0.0,23.846220429121583,0.0,34.27532734274711,2.9,2.89,2.43,0.71,9,2003,0.0,170.40625,54.53
2003-12-31,733.0300000000002,24.230000000000004,0.13536312849162013,0.0,86.29000000000002,33.129999999999995,35.980000000000004,9.65,0.0,699.8800000000001,21.61999999999999,47.89,78.46,392.04,573.59,107.6,706.11,192.8,236.19,0.0,236.19,205.0,469.92,27.939999999999998,-35.629999999999995,4.850000000000023,2.8499999999999996,17.820953363598843,4.21,0.5,0.44,0.0,0.0,13.720898933468769,25.3621279837481,20.624418486541394,31.20735398679533,29.2015185373286,3.03,3.01,2.43,0.77,12,2003,0.0,179.0,78.76
2004-03-31,833.29,23.98,0.11,0.18000000000000002,101.74,31.97,38.41,7.45,0.0,801.32,27.57,122.18,89.18,511.33,773.1,107.69,906.38,234.56,293.1,0.0,293.1,225.0,613.28,-36.85,-8.25,119.38,6.44,16.9325,2.73,0.48,0.11,0.18,1.59,10.6,18.48,15.640000000000002,23.4,20.84,2.9,2.88,2.64,0.89,3,2004,39.24,218.0,23.98
2004-06-30,880.7,27.459999999999997,0.12277993779160186,0.004548989113530291,105.36,36.66,43.53,5.6,-0.04,844.0499999999998,29.700000000000003,143.28,99.33,447.38,736.05,125.0,887.72,170.65,229.25,0.0,229.25,242.73,658.47,27.72,-24.340000000000003,17.730000000000018,6.87,11.403532410779317,2.06,0.35,0.23,0.18,0.76,12.363405909797821,18.577138413685844,16.676718506998444,20.47755832037325,22.2498600311042,3.03,3.0,3.21,1.26,6,2004,1.017391304347818,223.65217391304347,51.44
2004-09-30,1075.2099999999998,40.760000000000005,0.17683297180043386,0.005347543148165649,130.41,54.27000000000001,62.06,6.35,0.03,1020.9300000000003,48.18,126.34,91.26,585.94,850.26,141.5,1020.12,253.97,320.89,0.0,320.89,242.73,699.23,8.38,-25.319999999999993,0.0,7.790000000000001,8.980225711481845,2.2,0.46,0.4,0.18,0.44,15.98570065075922,25.57004772234274,23.324268980477225,28.59389154013016,31.087236442516268,3.34,3.31,2.65,0.82,9,2004,1.232608695652182,230.5,92.2
2004-12-31,982.2600000000002,25.189999999999998,0.10729193287332821,0.003281369792997679,117.31,33.900000000000006,44.52000000000001,5.0,0.96,948.3599999999997,32.290000000000006,313.44,78.55,408.08,829.84,147.06,1006.02,190.03,253.71,0.0,253.71,270.62,752.31,173.73,-14.530000000000001,27.889999999999986,10.619999999999997,11.650456530369196,1.8,0.34,0.5,0.18,0.35,10.016774853053922,15.724705681914983,13.390033222591361,16.48862424397308,17.88771104864128,3.14,3.11,3.27,1.66,12,2004,0.7703999999999951,234.78,117.39
2005-03-31,984.64,28.01,0.09999999999999999,0.22,121.55,37.68,46.95,4.38,-0.02,946.96,32.01,293.16,74.32,518.16,925.35,144.77,1100.91,307.94,380.1,0.0,380.1,270.62,720.81,46.48,-7.25,-59.51,9.27,10.95,1.64,0.53,0.1,0.22,2.2,10.16,15.000000000000002,15.559999999999999,16.8,20.92,2.87,2.84,2.43,1.07,3,2005,61.62200000000001,280.1,28.01
