,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,54.53,6.56,2.63,0.0,26.82,9.4,11.06,108.0,0.0,45.13,0.29,85.25,139.1,3.01,284.77,186.18,571.2,0.0,121.9,144.87,1.36,146.23,24.93,417.57,50.41,-3.78,0.0,1.66,10.264999999999999,6.45,0.35,2.63,0.0,0.0,4.6,0.0,6.28,0.0,8.8,14.45,12.03,1.97,1.94,3,2000,0.0,2.494296577946768,6.56
2000-06-30,94.44,13.91,5.578949682462141,14.999999999999998,38.74,19.439999999999998,21.019999999999996,98.0,0.0,74.99000000000001,2.9699999999999998,43.33,216.37,8.34,325.69,188.63,607.01,0.0,181.16,205.63,1.17,206.8,24.93,393.46,-14.299999999999997,9.78,-37.4,1.5800000000000003,4.3927354421279645,6.21,0.53,8.21,15.0,1.83,9.16007816316561,0.0,14.134245236932099,0.0,19.543312164142648,16.67,13.74,1.58,1.54,6,2000,37.39951278928135,2.493300852618757,20.47
2000-09-30,71.82,9.39,3.7673208305425323,-0.004894950287698184,30.379999999999995,13.319999999999997,15.280000000000001,95.0,0.0,58.51999999999998,4.1000000000000005,40.7,188.12,7.27,287.1,189.65,570.97,137.45,0.0,159.44,1.17,160.61,24.93,403.05,-4.66,2.0199999999999996,0.0,1.96,6.304307774227901,5.88,0.4,11.98,15.0,1.25,6.578660415271266,0.0,9.32081714668453,0.0,12.880589417280643,16.17,13.52,1.8,1.76,9,2000,-0.012200602303060748,2.4924874791318863,29.86
2000-12-31,90.26000000000002,9.380000000000003,3.7625178389398584,8.003152552929707,40.21000000000001,16.1,19.400000000000006,112.0,0.0,74.15,7.47,80.06,196.81,1.7,320.29,189.41,597.31,0.0,163.28,189.57,1.17,190.74,24.93,398.54,43.14,16.17,-19.940000000000005,3.3,7.446396588486139,7.01,0.48,15.74,23.0,1.46,6.282018348623855,0.0,9.418246687054028,0.0,13.66362895005097,14.78,12.62,1.69,1.68,12,2000,19.95195083716402,2.4930114358322744,39.24
2001-03-31,66.06,5.43,2.18,0.0,29.74,7.69,9.22,113.0,0.0,58.37,-0.85,28.22,179.44,4.72,270.77,192.13,551.05,0.0,117.98,138.07,1.14,139.21,24.93,403.58,-34.58,-17.26,0.0,1.53,12.9575,6.98,0.34,2.18,0.0,0.0,3.96,5.48,5.4,5.28,7.4399999999999995,9.45,8.22,1.96,1.93,3,2001,0.0,2.4908256880733943,5.43
2001-06-30,123.09,21.97,8.812054744525549,7.0,45.040000000000006,29.389999999999997,31.36,116.0,0.0,93.69999999999999,8.64,47.24,222.68,4.97,317.47,191.46,606.22,0.0,158.29,184.32,1.14,185.46,24.93,413.15,20.81,15.660000000000002,-17.45,1.97,3.292489758761948,7.0,0.45,10.99,7.0,0.64,14.496992700729924,19.596598540145987,21.26439416058394,21.777562043795623,28.1921605839416,17.35,14.49,1.72,1.7,6,2001,17.452229299363054,2.493175614194722,27.4
2001-09-30,128.45000000000002,16.870000000000005,6.767815676530383,-0.001391288834150734,49.45,24.65,26.769999999999996,118.0,0.0,103.80000000000001,12.740000000000002,47.09,262.71,8.29,366.7,196.27,663.13,0.0,172.53,221.78,1.14,222.92,24.93,431.87,9.16,-9.31,0.0,2.12,4.35614700652045,6.81,0.52,17.76,7.0,0.39,10.182209170996162,15.242828100293655,15.623898802800996,16.157397786311275,21.324716512310825,16.14,13.94,1.65,1.62,9,2001,-0.0034680381017935247,2.49268018018018,44.27
2001-12-31,127.03999999999996,7.119999999999997,2.855481611208405,0.0021605449582684988,44.13000000000001,11.600000000000001,13.89,146.0,0.0,115.44,-1.1700000000000017,112.86,192.68,11.36,405.46,198.37,680.07,0.0,181.71,227.75,1.14,228.89,24.93,442.06,87.73,-21.959999999999997,0.0,2.29,12.77532303370787,8.23,0.52,20.61,7.0,0.34,4.189702276707529,6.362140494259581,6.4452695076863185,6.777785561393265,8.983475384316012,13.23,11.56,1.78,1.73,12,2001,0.0053872103544598815,2.493449781659389,51.39
2002-03-31,94.33,6.65,2.67,0.0,36.15,9.21,11.45,148.0,0.0,85.12,0.96,67.64,195.4,0.0,371.89,199.64,648.31,0.0,162.31,191.68,1.14,192.82,24.93,445.77,-34.74,-10.48,0.0,2.24,13.8575,8.28,0.43,2.67,0.0,0.0,4.12,6.16,5.96,6.28,8.08,7.73,7.05,1.94,1.94,3,2002,0.0,2.4906367041198503,6.65
2002-06-30,134.67000000000002,21.619999999999997,8.672472585779978,15.0,50.690000000000005,28.909999999999997,31.330000000000002,150.0,0.0,105.75999999999999,9.469999999999999,43.42,279.67,0.0,397.01,200.31,674.75,0.0,209.0,234.66,1.14,235.8,24.93,430.63,-28.71,41.89,-37.4,2.42,4.3248392691951905,8.68,0.55,11.34,15.0,1.32,12.817516802263883,18.201485673859214,20.067520339582593,20.495790590732224,26.491574106827024,14.04,12.34,1.69,1.69,6,2002,37.39417989417989,2.4929453262786594,28.27
2002-09-30,128.99,14.320000000000004,5.746156374735855,-0.00508416040230696,46.24000000000001,18.96,21.61,163.0,0.0,110.03000000000003,2.1099999999999994,70.35,228.25,0.0,391.99,200.36,676.32,0.0,180.1,216.84,1.14,217.98,24.93,449.7,54.2,-27.22,0.0,2.6499999999999995,7.093376396648043,9.04,0.48,17.09,15.0,0.88,8.472974876731628,11.458689833294203,12.73636064803945,12.991894810988498,16.70386475698521,13.59,11.9,1.81,1.81,9,2002,-0.012670239411015416,2.4921006436512583,42.59
2002-12-31,193.33000000000004,15.369999999999997,6.165502070393373,0.004829201632569331,62.91,20.989999999999995,23.72,192.0,0.0,172.33999999999997,7.990000000000002,96.1,305.81,0.0,467.71,202.47,760.1,0.0,237.64,283.11,0.62,283.73,24.93,467.3,16.05,11.759999999999998,-2.020000000000003,2.7299999999999995,7.78707872478855,10.24,0.61,23.25,15.0,0.65,8.093381642512076,11.498329882677705,13.153071083505864,13.524327122153206,17.364175293305724,11.74,10.51,1.65,1.65,12,2002,0.012038732327901869,2.492903225806452,57.96
2003-03-31,113.02,11.19,4.49,0.0,48.1,15.12,17.78,212.0,0.0,97.9,4.0,41.04,246.47,0.0,398.33,202.27,695.01,0.0,177.98,206.05,0.52,206.57,24.93,478.75,-10.77,-44.29,0.0,2.66,11.805,11.04,0.43,4.49,0.0,0.0,6.4399999999999995,9.0,9.36,9.68,12.36,10.98,9.9,1.93,1.93,3,2003,0.0,2.4922048997772825,11.19
2003-06-30,134.42000000000002,17.9,2.387487108972155,3.5,51.85999999999999,23.260000000000005,26.199999999999996,78.0,0.0,111.16,1.21,60.27,302.48,0.0,448.27,208.66,754.49,0.0,216.15,252.22,0.49,252.71,74.79,491.02,2.8099999999999996,25.2,-8.78,2.9399999999999995,8.16632681564246,11.88,0.51,3.88,3.5,0.9,9.500721897559298,13.217325541423168,14.571055345479545,15.530972842901338,18.804537641801303,13.58,11.76,1.78,1.78,6,2003,26.2409793814433,7.497422680412371,29.09
