,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2010-03-31,167.28,39.62,0.09,0.0,70.27,54.34,82.73,1.61,112.94,49.01,2.66,88.56,20.51,136.26,1626.24,1807.75,124.39,18.88,242.14,539.23,401.32,940.55,450.0,867.2,19.34,-30.66,6.25,28.39,4.4725,0.84,1.08,0.09,0.0,0.0,8.76,11.92,18.28,17.8,17.12,25.49,23.68,3.48,0.25,0.21,3,2010,0.0,440.22222222222223,39.62
2010-06-30,124.59,2.1200000000000045,0.004571154767609017,0.0,41.510000000000005,16.75999999999999,47.02999999999999,1.78,107.83000000000001,18.54,3.95,88.88,18.22,129.43,1598.48,1779.46,127.35,24.48,214.47,528.06,382.08,910.14,450.0,869.33,79.28999999999999,-7.900000000000002,-70.1,30.269999999999996,97.36051886792434,0.92,1.05,0.09,0.0,0.0,0.47743172017249746,0.7984283660757084,0.9751796837565905,0.9670531863919521,1.1539626257786322,15.16,14.3,2.4,0.25,0.21,6,2010,0.0,463.7777777777778,41.74
2010-09-30,161.23000000000002,6.18,0.014186143572621034,0.0,40.75999999999999,19.97,50.73000000000002,1.88,141.25999999999996,20.510000000000005,5.9,80.16,26.78,134.45,1550.45,1732.9,124.13,53.32,201.12,520.74,336.66,857.4,450.0,875.5,110.41,-25.64999999999999,-82.81,30.760000000000005,33.12915857605178,0.97,0.98,0.11,0.0,0.0,1.428931552587646,2.6618363939899834,2.8217529215358925,2.863021702838063,3.874106844741235,11.13,10.58,2.05,0.26,0.21,9,2010,0.0,435.6363636363636,47.92
2010-12-31,172.12,9.920000000000002,0.022295988934993086,0.0,52.120000000000005,22.830000000000013,52.69999999999999,1.99,149.29000000000002,28.36,9.67,92.45,84.84,207.07,1487.28,1748.02,150.86,93.28,189.42,581.27,281.33,862.6,450.0,885.42,57.73999999999998,3.789999999999992,-57.75999999999999,29.870000000000005,22.31679435483871,1.01,0.97,0.13,0.0,0.0,2.27076071922545,4.418035961272476,4.479778699861688,4.630705394190872,6.695656984785616,9.62,9.25,1.99,0.36,0.21,12,2010,0.0,444.92307692307696,57.84
2011-03-31,237.4,48.63,0.11,0.0,96.6,61.5,87.95,3.1,175.9,60.68,11.73,98.85,20.1,145.13,1532.72,1721.66,70.17,86.61,198.89,500.29,295.33,795.62,450.0,926.04,150.79,-4.66,-144.07,26.45,7.045000000000001,1.51,0.86,0.11,0.0,0.0,11.28,13.96,21.0,21.68,20.16,20.56,20.48,5.13,0.29,0.25,3,2011,0.0,442.0909090909091,48.63
2011-06-30,114.65,-8.350000000000001,-0.018656901688182723,0.06,27.120000000000005,2.9099999999999966,30.560000000000002,3.02,111.73999999999998,1.4399999999999977,16.38,70.27,84.24,191.88,1588.56,1829.33,171.64,95.22,214.12,626.17,312.47,938.64,450.0,890.7,-5.469999999999999,-2.5,12.609999999999985,27.650000000000002,-40.47295808383233,1.53,1.05,0.09,0.06,0.67,-1.8242303872889776,-2.960228401191659,-3.7479642502482626,-3.7977159880834166,-4.436196623634558,11.52,11.44,2.73,0.31,0.17,6,2011,26.853333333333335,447.5555555555556,40.28
2011-09-30,331.82,42.36,0.09226524685382381,0.0015101645692158722,95.46000000000001,60.72,89.87999999999998,3.28,271.1,59.64000000000001,29.67,135.66,106.86,304.12,1654.74,2002.12,81.95,271.76,229.22,726.93,342.14,1069.07,450.0,933.06,175.95999999999998,-9.36,-153.29,29.160000000000004,8.886336166194523,1.58,1.15,0.18,0.06,0.33,8.467899322362053,13.737270087124879,18.166001936108422,18.740096805421103,20.113823814133593,12.14,12.08,3.48,0.42,0.27,9,2011,0.6933333333333316,459.11111111111114,82.64
2011-12-31,276.90999999999997,16.08,0.03583468395461912,-0.001388438681793621,84.06,34.99000000000001,65.37,3.12,241.90999999999997,33.980000000000004,55.84,126.04,90.07,299.9,1670.38,2015.8,127.3,283.2,224.96,743.06,323.6,1066.67,450.0,949.13,72.09000000000003,-16.320000000000004,-29.610000000000014,30.379999999999995,21.763830845771146,1.48,1.12,0.22,0.06,0.27,3.1925445705024313,5.544602917341977,6.776012965964343,7.010567260940031,8.19636952998379,10.32,10.27,3.28,0.4,0.28,12,2011,-0.6230303030303013,448.72727272727275,98.72
2012-03-31,316.65,56.67,0.13,0.0,101.09,76.68,107.24,3.24,239.97,65.66,35.34,192.91,57.83,302.1,1710.02,2039.18,149.24,213.28,222.02,689.9,343.48,1033.38,450.0,1005.8,4.66,-10.43,-14.73,30.56,6.230000000000001,1.45,1.03,0.13,0.0,0.0,11.12,16.32,22.52,23.48,22.72,18.54,17.9,5.9,0.44,0.35,3,2012,0.0,435.9230769230769,56.67
2012-06-30,287.25,20.549999999999997,0.039918414918414906,0.01,76.0,32.69,65.44000000000001,3.44,254.57000000000002,39.730000000000004,49.71,147.68,249.33,471.62,1866.24,2508.74,217.34,482.0,234.31,1051.54,437.09,1488.63,506.25,1020.1,190.32,-24.35,-151.61,32.75,21.540810218978102,1.71,1.46,0.15,0.01,0.09,3.278632478632478,5.365034965034964,8.058197358197358,8.6010878010878,7.994327894327894,12.87,12.79,4.18,0.45,0.21,6,2012,5.148000000000001,514.8000000000001,77.22
