,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2012-03-31,53660.48,1691.33,0.35,0.0,4277.67,2470.27,3785.47,37.75,0.0,51190.21,1449.43,9166.44,26520.68,21953.63,67608.3,72446.53,152506.4,12613.29,21075.64,8589.44,49218.35,42812.6,92030.95,4814.26,60344.38,2428.76,-7877.89,2574.21,1315.2,26.965,3.01,1.53,0.35,0.0,0.0,4.44,6.6,11.2,11.16,9.56,3.22,3.15,4.77,1.37,0.93,3,2012,0.0,4832.371428571429,1691.33
2012-06-30,56272.409999999996,1225.94,0.25634356778769196,0.5,4205.289999999999,2487.14,4212.59,27.5,0.0,53785.27,1042.4399999999998,5679.53,29667.04,21437.07,65617.38,84862.48,174850.05,13269.79,21590.06,6201.59,48474.84,67210.21,115685.06,4814.26,58929.41,1728.3599999999997,-23587.02,18104.97,1725.45,26.818305055712347,2.25,1.96,0.61,0.5,0.82,2.807172184953741,5.194109012878479,8.320660069174263,8.169375340643823,6.58929039821477,2.73,2.65,3.51,1.35,0.91,6,2012,2391.2049180327867,4782.4098360655735,2917.27
2012-09-30,54317.56999999999,1565.6100000000001,0.3247950647797845,0.18393038096703648,4652.34,2471.2799999999997,4253.319999999999,28.75,0.0,51846.28999999999,1589.7000000000003,6375.04,26877.64,22297.54,61380.37,86666.5,170857.67,9440.05,23689.42,7197.88,47501.12,63681.79,111182.91,4814.26,59355.62,9700.45,-2812.5099999999984,-6889.68,1782.0399999999995,22.126490760789725,2.33,1.87,0.93,0.68,0.73,3.6600562138625174,6.691476818473839,10.547108555214505,10.449320793775431,8.40974748376044,2.8,2.73,3.45,1.29,0.82,9,2012,886.5998131500091,4820.301075268817,4482.88
2012-12-31,50936.97,128.35999999999967,0.026722877143674953,-0.0023961758519365664,4169.790000000001,1419.2200000000003,3260.2800000000007,25.25,0.0,49517.75,1385.5799999999995,4375.31,25606.69,24683.31,59960.68,86434.9,170475.29,11840.68,22315.6,5650.79,47286.12,63304.21,110590.34,4814.26,59552.74,1596.3999999999996,-2085.4100000000035,-515.6200000000008,1841.0600000000004,236.20211124961105,2.04,1.86,0.96,0.68,0.71,0.3006323678663433,0.6224203468047624,0.8618127878835172,0.868493507169436,0.799459407881609,2.19,2.14,2.81,1.27,0.75,12,2012,-11.509731182795804,4803.375,4611.24
2013-03-31,56118.64,490.98,0.1,0.0,4109.21,1607.02,3329.89,23.4,0.0,54511.62,1173.87,5497.6,27463.96,24893.78,63214.33,84019.62,171658.91,15128.81,23811.24,5044.99,51426.72,66224.86,117651.58,4814.26,53676.18,1891.11,-1588.77,820.32,1722.87,58.5,2.1,2.19,0.1,0.0,0.0,1.16,3.96,3.64,3.44,5.36,0.88,0.87,2.57,1.23,0.75,3,2013,0.0,4909.8,490.98
2013-06-30,57525.36,214.15999999999997,0.04555691068440309,0.18,3875.1400000000003,1584.88,3235.5099999999998,17.9,0.0,55940.48,962.0799999999999,4193.73,31018.49,24228.36,65380.55,89277.84,179645.12,15313.5,26162.49,5879.87,54508.73,67901.56,122410.3,4814.26,56839.04,4279.17,-2295.2400000000002,-3294.9100000000003,1650.63,98.2260415110198,1.52,2.15,0.15,0.18,1.2,0.4737918711177922,2.1867317128513486,1.5064151799642622,1.4821181609325804,3.0978699265394103,0.63,0.62,1.67,1.2,0.75,6,2013,846.168,4700.933333333333,705.14
2013-09-30,60017.98000000001,1090.1799999999998,0.2246767150145935,0.1456120580175122,5128.0599999999995,2565.9999999999995,4362.01,21.8,0.0,57451.97999999998,1951.5,3535.7,29557.62,25682.33,64935.5,90367.2,180476.96,15353.7,24987.19,5548.74,52878.65,68837.52,121716.17,4814.26,58253.68,2226.38,-1383.2199999999993,-1507.73,1796.0100000000002,24.25752040947367,1.8,2.09,0.37,0.32,0.86,2.4046480850210545,7.966914867544503,7.481127375621059,7.408259251832542,10.954507942873692,1.05,1.03,2.24,1.23,0.74,9,2013,706.5411891891891,4852.216216216216,1795.32
2013-12-31,58694.639999999985,-469.45000000000005,-0.09913943297608366,-0.007904374465802102,4229.009999999998,863.5300000000007,2745.66,20.0,0.0,57831.120000000024,481.8900000000003,4114.35,28827.19,28939.56,68422.65,96213.49,189041.85,15570.34,25663.25,3927.1,52980.5,74493.59,127474.08,4814.26,60505.52,1982.4400000000005,-1448.92,54.33000000000038,1882.13,-50.43502721269571,1.59,2.11,0.28,0.32,1.14,-0.9913943297608364,-5.211901619314112,-3.101647974537474,-3.129973526816355,-6.897271979907534,0.58,0.57,1.72,1.29,0.75,12,2013,-37.4291891891894,4735.249999999999,1325.87
2014-03-31,62246.28,368.48,0.08,0.0,5278.51,1783.65,3702.06,22.9,0.0,60462.63,1436.79,4112.94,30416.56,27171.4,68366.04,96109.89,187885.7,12469.87,27094.55,3657.24,50396.37,76093.75,126490.12,4814.26,60254.46,4751.18,-2118.23,-2624.33,1918.41,71.5625,1.83,2.1,0.08,0.0,0.0,0.8000000000000002,3.96,2.44,2.6,5.2,0.6,0.59,2.99,1.36,0.82,3,2014,0.0,4606.0,368.48
2014-06-30,66143.4,1482.84,0.30436618196746107,0.14,6624.6,3022.89,5068.140000000001,27.75,0.0,63120.51,2395.3,3541.39,31970.22,28080.96,70043.78,99489.94,193267.37,11006.54,28779.07,3204.51,50647.53,79501.8,130149.34,4814.26,60883.44,8187.49,-5419.25,-3333.74,2045.2499999999998,22.794418076124195,2.19,2.14,0.38,0.14,0.37,3.0757003651448693,8.265944731326837,9.739717822958754,10.092141823131604,10.796989823477302,1.47,1.44,2.7,1.38,0.83,6,2014,682.0652631578947,4871.894736842105,1851.32
