,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,1701.22,481.96,6.29,0.0,366.33,482.15,589.38,32.8,1219.07,273.73,980.83,807.38,567.76,2510.28,1875.36,7013.22,0.59,733.21,1046.37,0.0,1046.37,766.73,5966.84,620.26,-297.36,-17.52,107.23,1.3025,4.21,0.18,6.29,0.0,0.0,27.48,0.0,32.32,0.0,32.32,32.41,28.33,0.0,2.4,1.86,3,2000,0.0,76.62321144674085,481.96
2000-06-30,1836.41,433.71999999999997,5.650750917351039,5.0,423.62000000000006,437.84000000000003,552.2500000000001,29.8,1398.57,327.0,658.86,858.23,663.64,2320.8,2019.92,7098.13,0.0,568.87,1019.87,0.0,1019.87,770.18,6078.25,266.98,-215.40999999999997,-378.91,114.40999999999998,1.3195148944019184,3.78,0.17,11.93,5.0,0.42,24.44080027957365,0.0,28.533213349641798,0.0,28.684784204088764,28.75,25.88,0.0,2.28,1.62,6,2000,383.7720033528919,76.75440067057838,915.68
2000-09-30,2059.88,516.37,3.3534031632973713,2.5077129770734996,484.80999999999995,513.55,632.4899999999998,21.8,1546.3200000000002,382.64,960.34,972.27,719.76,2791.76,2233.91,7946.74,0.0,662.74,1228.61,0.0,1228.61,770.36,6718.13,555.97,-781.76,0.09000000000003183,118.94,1.6223817224083505,2.5,0.18,9.3,5.0,0.54,25.99067742048113,0.0,30.750346426451593,0.0,30.779192905275657,28.14,25.58,0.0,2.27,1.69,9,2000,386.14735148581775,153.98387096774192,1432.05
2000-12-31,2376.83,569.79,3.697384456300204,0.003970137795808019,632.55,602.77,739.29,17.7,1774.0699999999997,498.07000000000005,978.83,1241.59,856.91,3201.92,2430.36,8651.55,0.0,885.97,1331.78,0.0,1331.78,770.36,7319.77,371.1099999999999,219.44000000000005,0.17999999999994998,136.52000000000004,1.194520086347602,1.86,0.18,12.99,5.0,0.38,26.34564320824841,0.0,31.138865243975545,0.0,31.6739755425009,27.39,25.1,0.0,2.4,1.76,12,2000,0.6118229903895553,154.10623556581984,2001.84
2001-03-31,1916.74,352.23,2.29,0.0,415.88,353.14,477.53,12.6,1563.6,299.91,1212.65,906.26,904.59,3196.48,2574.3,8782.11,1.7,627.29,1042.32,0.0,1042.32,770.48,7739.79,434.55,-51.99,1.71,124.39,1.375,1.25,0.13,2.29,0.0,0.0,16.04,17.88,18.2,20.56,18.24,18.9,18.38,0.0,3.07,2.2,3,2001,0.0,153.8122270742358,352.23
2001-06-30,1730.47,209.43999999999994,1.3573123008172054,2.5,404.36,209.31000000000006,342.53,14.1,1521.1600000000003,268.50999999999993,1073.29,981.19,793.31,3019.72,2675.5,8615.45,0.0,613.5,1025.78,0.0,1025.78,772.16,7589.67,451.07,-206.03999999999996,-384.39,133.22000000000003,2.594612896294882,1.43,0.14,3.64,2.5,0.69,9.72491890255844,10.679512169067245,11.037484644008046,12.26055726672245,11.052400163797246,15.37,15.4,0.0,2.94,2.17,6,2001,385.7623626373626,154.30494505494505,561.67
2001-09-30,1438.4099999999999,-38.549999999999955,-0.24981744150481697,0.00012538358185626878,270.0999999999999,-28.99000000000001,109.93000000000006,9.1,1467.3999999999996,154.7700000000001,1275.53,653.48,766.77,3092.43,2644.52,8510.14,0.0,601.74,964.27,0.0,964.27,772.16,7545.87,647.5300000000001,-179.28000000000003,0.0,138.91999999999996,-9.09183916990922,0.93,0.13,3.39,2.5,0.74,-1.812834531273893,-1.9101085792934678,-2.0427550084110697,-2.1606629454044937,-2.0840227863587684,9.92,10.29,0.0,3.21,2.41,9,2001,0.019348277091637556,154.3126843657817,523.12
2001-12-31,1318.83,-70.63999999999999,-0.4574239745403111,0.0018997237903310383,299.0,-34.56000000000006,112.79999999999995,14.8,1353.3900000000003,154.7199999999999,1807.39,703.43,685.58,3441.76,2511.46,8340.88,0.0,573.93,849.36,0.0,849.36,772.3,7491.52,174.27999999999997,-59.089999999999975,0.22000000000002728,147.36,-8.086862967157419,1.53,0.11,2.93,2.5,0.85,-3.3846251768033935,-3.66563649222065,-3.771796322489391,-3.8155091937765198,-4.158967468175388,6.67,7.07,0.0,4.05,3.25,12,2001,0.2933744097778117,154.43003412969284,452.48
2002-03-31,1690.59,109.46,0.71,0.0,445.85,137.17,277.32,17.6,1553.42,310.87,1869.46,794.24,796.79,3793.06,2403.64,8658.97,0.0,748.33,1135.46,0.0,1135.46,772.33,7523.51,382.84,-53.68,0.04,140.15,6.1975,1.81,0.15,0.71,0.0,0.0,5.04,6.28,5.8,5.72,7.279999999999999,5.9,6.47,0.0,3.34,2.64,3,2002,0.0,154.16901408450704,109.46
2002-06-30,1884.7100000000003,138.34000000000003,0.8932364810330914,2.75,462.12,159.91,300.42,14.1,1724.7999999999997,334.53,1696.83,897.07,985.51,3864.22,2315.23,8404.36,0.0,876.34,1257.98,0.0,1257.98,772.33,7146.38,338.39000000000004,-86.23999999999998,-424.78000000000003,140.51000000000002,3.9452038455978022,1.52,0.18,1.6,2.75,1.72,6.587619047619048,7.793488297013723,7.748826472962068,7.503186440677967,9.289659402744151,6.37,6.93,0.0,3.07,2.29,6,2002,425.90625,154.875,247.8
