,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,78.02,5.79,0.45999999999999996,0.0,15.39,9.58,13.71,9.0,0.0,68.44,8.22,23.24,17.37,14.96,70.92,318.64,390.07,19.8,12.0,53.9,46.9,100.8,125.0,289.27,2.2,-0.55,-3.08,4.13,4.8925,0.39,0.35,0.46,0.0,0.0,5.92,0.0,8.0,0.0,11.4,7.58,7.42,0.0,1.32,1.04,3,2000,0.0,12.58695652173913,5.79
2000-06-30,74.58,3.6599999999999993,0.29434920634920636,0.82,12.399999999999999,6.6800000000000015,10.8,9.4,0.0,67.9,5.229999999999999,14.31,12.35,14.14,54.71,315.47,370.68,19.4,12.0,49.09,38.9,87.99,125.0,282.68,10.379999999999999,-1.06,-18.240000000000002,4.12,7.984733606557378,0.42,0.31,0.76,0.82,1.08,3.9504761904761896,0.0,5.174349206349206,0.0,7.8389841269841245,6.34,6.19,0.0,1.11,0.83,6,2000,10.196052631578945,12.434210526315788,9.45
2000-09-30,79.53999999999999,4.17,0.33372246696035246,0.004016345930906658,11.869999999999997,6.919999999999998,11.809999999999999,9.1,0.0,72.62,5.66,18.16,11.6,13.64,58.2,312.4,371.1,22.79,12.0,52.54,32.0,84.54,125.0,286.57,12.92,-1.89,-7.190000000000001,4.890000000000001,6.8181654676258985,0.4,0.3,1.09,0.82,0.75,4.49453744493392,0.0,5.817180616740089,0.0,8.915594713656388,6.0,5.87,0.0,1.11,0.85,9,2000,0.05018590053114558,12.495412844036696,13.62
2000-12-31,78.88,10.6,0.8490503715937242,-0.0007143993515101944,19.790000000000006,15.840000000000003,20.259999999999998,9.1,0.0,63.04999999999998,14.0,27.71,11.22,11.29,65.26,308.71,374.47,19.32,12.0,48.3,29.0,77.3,125.0,297.17,13.079999999999998,-1.1100000000000003,-2.419999999999998,4.419999999999998,2.679051886792453,0.38,0.26,1.94,0.82,0.42,11.326507018992569,0.0,14.267547481420316,0.0,20.93740710156895,7.97,7.79,0.0,1.35,1.12,12,2000,-0.00891894448122521,12.484536082474227,24.22
2001-03-31,79.87,6.32,0.51,0.0,14.64,9.75,13.98,10.5,0.0,70.12,8.53,35.57,13.08,10.85,74.66,305.31,380.5,19.41,12.0,51.01,26.0,77.01,125.0,303.48,11.71,-0.86,-3.0,4.23,5.1475,0.43,0.25,0.51,0.0,0.0,6.639999999999999,10.12,8.32,8.52,11.84,8.09,7.91,0.0,1.46,1.25,3,2001,0.0,12.392156862745098,6.32
2001-06-30,93.07,11.629999999999999,0.9329916434540388,1.0,22.009999999999998,17.22,21.470000000000002,11.5,0.0,75.84,15.56,33.09,14.62,10.2,73.32,301.77,375.61,20.86,12.0,54.99,18.0,72.99,125.0,302.62,18.759999999999998,-0.7300000000000001,-20.5,4.25,3.0829858125537406,0.48,0.24,1.44,1.0,0.69,12.388055710306407,18.73758217270195,15.368445682451252,15.886774373259053,21.79572144846797,10.6,10.38,0.0,1.33,1.15,6,2001,12.465277777777779,12.465277777777779,17.95
2001-09-30,97.75,12.73,1.0165743155149936,0.00456549688541201,22.61,18.5,22.79,12.25,0.0,79.25999999999999,16.73,35.01,15.54,11.2,74.85,298.42,373.89,24.71,12.0,58.54,0.0,58.54,125.0,315.36,20.950000000000003,-1.03,-18.0,4.289999999999999,3.0125687352710133,0.49,0.19,2.45,1.0,0.41,13.626245110821385,20.26509778357236,16.149009126466755,16.912477183833115,23.933063885267277,11.58,11.33,0.0,1.28,1.09,9,2001,0.057171201814057326,12.522448979591836,30.68
2001-12-31,98.08999999999997,11.68,0.9347308781869689,-0.002150661964502528,24.890000000000008,17.689999999999998,22.229999999999997,14.7,0.0,80.4,15.490000000000002,50.73,16.38,12.78,91.95,292.55,385.03,26.55,9.0,58.75,0.0,58.75,125.0,326.28,17.64999999999999,-1.17,0.0,4.539999999999999,3.9349828767123287,0.56,0.18,3.39,1.0,0.29,12.132200188857412,18.341680830972614,14.315996222851746,14.988781869688383,21.352672332389044,11.74,11.49,0.0,1.57,1.35,12,2001,-0.026873758352898847,12.495575221238937,42.36
2002-03-31,98.93,12.54,1.0,0.0,21.89,16.85,21.08,19.5,0.0,82.08,14.58,70.66,16.32,12.02,106.45,288.7,395.68,24.3,6.0,56.87,0.0,56.87,125.0,338.82,17.95,-0.38,-3.0,4.23,4.875,0.72,0.17,1.0,0.0,0.0,12.68,17.36,14.800000000000002,15.6,19.88,12.97,12.68,0.0,1.87,1.66,3,2002,0.0,12.54,12.54
2002-06-30,116.62,23.43,1.8759633027522935,1.5,35.16,31.21,35.22,19.1,0.0,85.41000000000001,29.880000000000003,75.67,19.27,9.66,107.96,285.01,393.51,24.1,0.0,50.0,0.0,50.0,125.0,343.51,24.8,-0.31999999999999995,-24.74,4.01,2.544612676056338,0.7,0.15,2.88,1.5,0.52,23.81431192660551,32.56880733944954,27.279633027522937,28.999266055045876,36.45100917431193,17.07,16.69,0.0,2.16,1.97,6,2002,18.734375,12.489583333333334,35.97
