,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2000-03-31,358.75,142.42,1.1,6.5,,150.66,165.53,3.53,0.0,208.09,140.55,0.0,419.42,3395.5,1546.09,1300.0,1849.41,-436.11,-24.96,-0.14,14.87,0.8,2.48,0.84,1.1,6.5,5.91,16.76,0.0,30.8,0.0,39.7,0.0,3,2000,,841.5727272727271,,129.47272727272724,142.42
2000-06-30,155.78999999999996,23.400000000000006,0.18062959835966716,0.00372035394348885,,28.599999999999994,44.06,1.75,0.0,127.18999999999997,159.86,0.0,418.86,2412.1,533.9,1300.0,1878.21,875.83,-13.759999999999998,-842.75,15.459999999999999,2.4270662393162388,1.21,0.28,1.28,6.5,5.08,3.8778916897841045,0.0,4.984247979737066,0.0,32.23,0.0,6,2000,,0.4819602272729071,,129.546875,165.82
2000-09-30,140.22000000000003,4.050000000000011,0.031232707364455256,0.006259842085124594,,6.320000000000022,22.430000000000007,1.85,0.0,133.90000000000003,59.29,0.0,420.39,2262.6,390.3,1300.0,1872.3,-81.29000000000002,-17.96,-1.3100000000000591,16.11,14.78498148148144,1.28,0.21,1.31,6.5,4.96,0.7162065108612488,0.0,0.8649791016659824,0.0,25.94,0.0,9,2000,,0.8117247137405457,,129.67175572519085,169.87
2000-12-31,99.79999999999995,-6.1200000000000045,-0.04709129770992369,0.014432492279004934,,-11.340000000000003,4.810000000000002,1.7,0.0,111.14000000000004,83.58,0.0,413.61,2115.5,249.96,1300.0,1865.54,110.23000000000002,-84.88999999999999,-1.0599999999999454,16.150000000000006,-9.030330882352935,1.18,0.13,1.26,6.5,5.16,-1.157100458015268,-0.0,-1.3125764885496192,-0.0,21.7,0.0,12,2000,,1.8756512783230619,,129.96031746031747,163.75
2001-03-31,171.08,25.1,0.19,1.25,,37.44,53.17,2.4,2.7,133.64,180.52,0.0,398.65,2250.65,365.9,1300.0,1884.75,52.24,44.7,0.0,15.73,3.1575,1.66,0.19,0.19,1.25,6.58,4.48,5.32,5.32,5.36,14.67,0.0,3,2001,,165.13157894736844,,132.10526315789474,25.1
2001-06-30,107.22999999999999,15.57,0.11867961642488321,-0.008686734046821092,,3.230000000000004,18.760000000000005,2.58,3.11,104.0,107.32,0.0,402.56,2450.24,709.51,1300.0,1740.73,108.28,-18.980000000000004,-162.5,15.530000000000001,5.426584778420039,1.92,0.41,0.31,1.25,4.03,2.5420408163265305,2.557354315220064,3.5833587410867955,3.445537251044996,14.61,0.0,6,2001,,-1.139643463497464,,131.19354838709677,40.67
2001-09-30,112.96999999999997,8.86,0.06797496466787806,-0.008165465048878861,,8.86,23.19999999999999,2.05,1.48,104.11000000000001,225.22,0.0,389.2,2104.94,358.16,1300.0,1746.78,95.41,22.490000000000002,0.0,14.34,7.532920428893906,1.53,0.21,0.38,1.25,3.29,1.6814859681001413,1.6242438925903493,2.0320936805976175,1.9605410862103776,12.66,0.0,9,2001,,-1.0643039049236052,,130.3421052631579,49.53
2001-12-31,136.54000000000008,0.990000000000002,0.007642517814726856,-0.007754875609451108,,0.990000000000002,14.939999999999998,3.18,0.0,135.55,260.52,0.0,375.95,2760.2,1001.59,1300.0,1758.61,15.04000000000002,20.259999999999998,0.0,13.949999999999996,103.84666666666647,2.35,0.57,0.39,1.25,3.21,0.14344418052256558,0.16225653206650864,0.22496437054631874,0.21869358669833772,9.57,0.0,12,2001,,-1.004554655870436,,129.53846153846155,50.52
2002-03-31,329.61,111.72,0.86,0.0,,111.72,125.86,3.8,10.38,217.9,367.14,0.0,371.04,2725.79,851.06,1300.0,1874.73,124.61,-17.99,0.0,14.14,1.105,2.64,0.45,0.86,0.0,0.0,16.4,17.96,23.84,23.76,33.89,0.0,3,2002,,0.0,,129.90697674418604,111.72
2002-06-30,254.21000000000004,85.9,0.660702358060925,0.4,,85.9,100.36,4.55,18.49,168.29,312.97,0.0,362.57,3096.7,1048.44,1300.0,2048.26,1.5300000000000011,-3.700000000000003,-52.0,14.46,1.71968509895227,2.89,0.51,1.52,0.4,0.26,11.092844853759741,12.396862665722093,16.778362513915596,18.134541038356442,33.85,0.0,6,2002,,52.005263157894746,,130.01315789473685,197.62
