,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2000-03-31,366.56,92.65,4.01,0.0,,112.08,112.08,5.0,0.0,71.24,2340.64,0.0,441.06,6552.78,4710.61,231.28,1842.17,17.71,252.24,0.54,0.3125,0.63,2.56,4.01,0.0,0.0,5.64,0.0,20.12,0.0,25.28,3,2000,,,0.0,,23.104738154613468,92.65
2000-06-30,367.73999999999995,47.41999999999999,2.0515827800385518,5.5,,67.27,67.27,4.28,0.0,68.53000000000002,1465.76,0.0,443.51,6459.38,4714.92,231.28,1744.46,2.3000000000000007,-268.5,-127.2,0.524302509489667,0.57,2.7,6.06,5.5,0.91,2.938570714642678,0.0,10.874065824230739,0.0,19.08,6,2000,,,127.12623762376236,,23.113861386138613,140.07
2000-09-30,382.53999999999996,57.68000000000001,2.493876106194691,0.0035179181634973156,,95.69000000000003,95.69000000000003,4.65,6.33,73.01999999999998,832.4,0.0,442.28,6786.06,4975.82,231.51,1810.24,193.5,-1007.24,0.8999999999999915,0.46283373786407767,0.59,2.75,8.55,5.5,0.64,3.39517168141593,0.0,12.740644247787612,0.0,17.71,9,2000,,,0.08136471541889989,,23.12865497076023,197.75
2000-12-31,366.18000000000006,33.41,1.4438739401280496,0.002492008269506942,,69.81,69.81,5.4,4.91,72.73999999999998,667.07,0.0,438.52,6898.62,5045.78,231.56,1852.84,179.62,82.36000000000001,0.20000000000000284,0.9340496857228376,0.67,2.72,9.99,5.5,0.55,1.9367278075791658,0.0,7.2150337428620865,0.0,15.59,12,2000,,,0.05766292608400647,,23.13913913913914,231.16
2001-03-31,401.72,98.14,4.23,0.0,,140.28,140.28,5.85,6.08,83.24,714.78,0.0,434.88,6974.54,5083.77,232.4,1890.76,70.75,-125.07,3.25,0.345,0.72,2.69,4.23,0.0,0.0,5.64,8.28,20.76,21.04,24.43,3,2001,,,0.0,,23.20094562647754,98.14
2001-06-30,426.53999999999996,64.19000000000001,2.7640491591203107,6.0,,101.99000000000001,101.99000000000001,6.3,0.83,72.67,690.94,0.0,442.65,5956.07,4203.92,232.4,1752.15,-44.269999999999996,-49.860000000000014,-139.44,0.5690021810250817,0.84,2.4,6.99,6.0,0.86,4.318085381630014,6.16869340232859,14.646692539887884,14.67832686502803,19.6,6,2001,,,139.33905579399143,,23.223175965665238,162.33
2001-09-30,399.55999999999995,42.03999999999999,1.8040358173900273,0.020631602909895203,,63.859999999999985,63.859999999999985,6.15,0.0,60.99000000000001,661.19,0.0,440.24,5591.34,3767.05,235.16,1824.28,211.37,-138.2,10.769999999999996,0.8507314462416747,0.79,2.06,8.77,6.0,0.68,3.01152615354504,4.0729656994666525,9.215599158389193,9.256740226060575,16.64,9,2001,,,0.48078457088885784,,23.30330672748005,204.37
2001-12-31,428.0600000000002,35.129999999999995,1.503475991649269,0.0160611117326803,,75.04000000000002,75.04000000000002,6.9,0.0,89.4,746.14,0.0,475.32,8035.01,6089.17,236.14,1945.84,360.78999999999996,-117.12,3.8200000000000074,1.1419370908055795,0.84,3.13,10.25,6.0,0.59,1.7484325678496866,2.992283924843423,7.222551983298538,7.3985686847599155,14.46,12,2001,,,0.37528158633921294,,23.365853658536587,239.5
2002-03-31,448.22,106.14,4.46,0.0,,139.31,139.31,8.3,4.21,84.85,1137.81,0.0,470.53,6042.97,4028.73,238.91,2014.25,427.49,23.34,10.83,0.465,0.98,2.0,4.46,0.0,0.0,7.04,8.56,21.08,21.76,23.68,3,2002,,,0.0,,23.798206278026907,106.14
2002-06-30,495.15,104.02999999999999,4.355826235904268,6.5,,145.94,145.94,9.25,9.91,84.6,1132.78,0.0,470.06,6336.18,4310.44,240.0,2025.74,451.16999999999996,-9.57,-151.05,0.5303241853311546,1.1,2.13,8.8,6.5,0.74,6.5733377741828045,9.186833515725363,20.53178093923966,22.036520911642956,22.28,6,2002,,,155.23920454545453,,23.88295454545454,210.17
