,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2008-12-31,,,,,,,,10.0,,,4.19,0.0,1124.86,28.07,,,0.28,12,2008,,,,,,,,,,,,
2009-06-30,-12.629999999999995,,,,,,,9.9,-1.1899999999999995,0.040000000000000036,42.98,0.0,1237.99,23.88,1121.0900000000001,-1086.5,0.39,6,2009,,,,,,,,,,,,
2009-12-31,50.879999999999995,,,,,,,9.7,4.8,-0.18,43.54,0.0,1242.74,23.39,41.41000000000001,-40.86,0.77,12,2009,,,,,,,,,,,,
2010-06-30,-49.57,,,,,,,9.95,-4.6,0.42,15.11,0.0,1244.44,23.58,-104.30000000000001,37.63,0.42,6,2010,,,,,,,,,,,,
2010-12-31,47.220000000000006,,,,,,,9.8,4.719999999999999,0.0,1.1,0.0,1245.02,23.76,26.82,-41.93,0.81,12,2010,,,,,,,,,,,,
2011-06-30,-46.96,,,,,,,9.5,-4.739999999999999,-0.19,7.81,0.0,1250.42,24.0,3.460000000000001,45.69,0.39,6,2011,,,,,,,,,,,,
2011-12-31,47.54,,,,,,,9.5,4.88,0.19,1.64,0.0,1344.16,24.01,35.74999999999999,-41.92,0.78,12,2011,,,,,,,,,,,,
2012-06-30,-47.22,,,,,,,9.7,-4.53,0.0,1.37,0.0,1354.06,25.02,-41.87,41.06,0.39,6,2012,,,,,,,,,,,,
2012-12-31,47.67999999999999,,,,,,,9.95,4.9799999999999995,0.0,0.78,0.0,1353.51,24.34,41.98,-42.56999999999999,0.79,12,2012,,,,,,,,,,,,
2013-06-30,-47.83,,,,,,,9.85,-5.099999999999999,0.0,1.71,0.0,1340.77,25.26,-40.239999999999995,42.03999999999999,0.4,6,2013,,,,,,,,,,,,
2013-12-31,47.5,,,,,,,9.6,4.97,-0.25,0.57,0.0,1339.72,24.68,41.849999999999994,-43.010000000000005,0.8,12,2013,,,,,,,,,,,,
2014-06-30,-47.62,,,,,,,9.45,-5.0,0.13,0.55,0.0,1357.73,31.01,-46.239999999999995,46.45,0.37,6,2014,,,,,,,,,,,,
2014-12-31,47.49,,,,,,,8.55,5.039999999999999,-0.16000000000000003,0.56,0.0,1355.36,25.12,38.93000000000001,-38.92,0.73,12,2014,,,,,,,,,,,,
2015-06-30,-56.32,,,,,,,8.25,-0.5899999999999999,-0.45999999999999996,1.76,0.0,1302.71,15.42,-38.370000000000005,39.56,0.36,6,2015,,,,,,,,,,,,
2015-12-31,12.600000000000001,,,,,,,4.96,15.48,0.74,3.2,4.44,1282.15,11.18,14.880000000000003,-13.439999999999998,0.49,12,2015,,,,,,,,,,,,
2016-06-30,-38.24,,,,,,,4.66,-13.03,-1.09,1.96,3.7,1124.89,13.0,-56.010000000000005,52.14,0.0,6,2016,,,,,,,,,,,,
2016-12-31,11.32,,,,,,,3.86,14.040000000000001,-1.5599999999999998,3.23,0.0,1135.8,12.1,1.27,0.0,0.0,12,2016,,,,,,,,,,,,
2017-06-30,-11.620000000000001,,,,,,,3.86,-13.760000000000002,1.44,2.44,0.0,1103.82,10.26,28.49,-29.32,0.0,6,2017,,,,,,,,,,,,
