,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2002-12-31,,,,,,,,6.32,0.0,,117.96,0.0,57.16,1046.69,163.84,696.5,882.86,,,,,,4.99,0.19,1.03,0.0,0.0,,,,,21.78,0.0,12,2002,,,,68.3009708737864,70.35
2003-03-31,34.46,-15.56,-0.10999999999999999,0.0,,-14.44,-9.5,4.89,0.0,48.9,104.26,0.0,64.5,1051.19,183.9,696.5,867.29,0.41,-13.6,-0.51,4.94,-11.1025,3.92,0.21,-0.11,0.0,0.0,-5.92,0.0,-7.16,0.0,-45.15,0.0,3,2003,,0.0,,141.45454545454547,-15.56
2003-06-30,76.78,9.96,0.07114285714285715,0.0,,9.309999999999999,15.6,6.59,0.0,67.47,103.87,0.0,66.28,1635.18,757.94,696.5,877.24,-80.46,2.5999999999999996,77.46000000000001,6.29,23.14638554216867,5.23,0.86,-0.04,0.0,0.0,2.4188571428571435,-0.0,4.553142857142858,-0.0,-5.03,0.0,6,2003,,0.0,,140.0,-5.6
2003-09-30,226.53999999999996,60.22,0.4299853533504211,0.0,,81.72,87.80000000000001,27.92,0.0,144.82,313.6,0.0,70.54,2019.03,1081.58,696.5,937.45,242.02999999999997,-9.59,-22.700000000000003,6.079999999999998,16.230901693789438,20.74,1.15,0.39,0.0,0.0,11.951387770047601,0.0,25.710919077261078,0.0,16.17,0.0,9,2003,,0.0,,140.05128205128204,54.62
2003-12-31,635.77,136.07,0.9775861345639519,0.0,,190.28,196.9,37.08,0.0,445.48999999999995,441.32,0.0,75.79,2983.6,1901.44,696.5,1082.16,164.89000000000001,-36.47,-0.7100000000000009,6.620000000000001,9.48054567502021,23.86,1.76,1.37,0.0,0.0,18.23876029157271,37.79048298285175,50.29216844092506,55.40130473543447,19.59,0.0,12,2003,,0.0,,139.1897810218978,190.69
2004-03-31,254.16,47.29,0.34,0.0,,75.54,82.64,25.3,0.0,178.62,415.04,0.0,87.14,2118.52,997.14,696.5,1121.38,-7.09,-18.09,-1.1,7.1,18.6025,15.71,0.89,0.34,0.0,0.0,8.92,19.08,16.88,19.04,18.61,0.0,3,2004,,0.0,,139.08823529411762,47.29
2004-06-30,166.42,15.450000000000003,0.11081447242588463,0.65,,22.779999999999987,30.75,22.03,1.88,143.64,245.8,0.0,90.65,2221.0,1174.64,696.5,1046.36,-74.03999999999999,-3.5500000000000007,-91.65,7.970000000000001,49.69454692556634,14.66,1.12,0.45,0.65,1.44,2.7777494421421745,5.023589416640102,5.91010519604718,6.422314313037935,14.92,0.0,6,2004,,90.62444444444445,,139.42222222222222,62.74
2004-09-30,143.06,4.1399999999999935,0.02971291866028703,-0.0004146730462519564,,10.25,18.679999999999993,21.37,2.25,132.81,191.55,0.0,86.67,1831.47,780.84,696.5,1050.63,8.61999999999999,-1.8099999999999987,-61.06999999999999,8.43,179.84096618357518,14.17,0.74,0.48,0.65,1.35,0.9037679425837307,1.3965071770334905,1.577260765550237,1.666399521531098,11.87,0.0,9,2004,,-0.0577777777777726,,139.33333333333334,66.88
2004-12-31,146.51999999999998,24.13000000000001,0.17233820459290194,0.0031663187195545895,,29.980000000000018,38.77000000000001,19.8,2.02,116.54000000000002,277.88,0.0,83.04,1718.22,642.28,696.5,1075.94,65.54,-184.87,205.67,8.79,28.721141732283453,12.82,0.6,0.65,0.65,1.0,5.6208768267223395,6.246597077244261,8.97219206680585,8.940375782881004,12.82,0.0,12,2004,,0.44333333333332803,,140.01538461538462,91.01
2005-03-31,167.65,25.48,0.16,0.25,,40.1,48.74,13.3,0.64,127.55,420.24,0.0,81.9,2565.52,1183.76,870.62,1381.76,-99.22,-6.98,248.57,8.64,20.7825,8.38,0.86,0.16,0.25,1.56,3.96,6.84,7.36,8.16,15.2,0.0,3,2005,,39.8125,,159.25,25.48
2005-06-30,121.51000000000002,12.309999999999999,0.07492193702037576,0.007690526594337101,,22.009999999999998,31.020000000000003,10.1,0.58,99.50000000000001,191.06,0.0,74.23,1900.9,550.81,870.62,1350.09,-155.28,-0.1299999999999999,-73.78,9.009999999999998,33.6994090170593,6.51,0.41,0.23,0.25,1.09,2.5929505160095263,3.922000529240539,3.648372585340036,4.104419158507541,13.07,0.0,6,2005,,1.2635869565217348,,164.30434782608694,37.79
2005-09-30,109.72999999999996,12.920000000000002,0.07643462827844608,0.006994161172224007,,17.430000000000007,26.64999999999999,12.8,0.96,92.30000000000001,207.29,0.0,69.98,2002.47,637.54,870.62,1364.93,175.93,-9.560000000000002,-150.14,9.220000000000002,41.86911184210526,8.16,0.47,0.3,0.25,0.83,2.5783947939262473,4.229382764740683,3.7911575626109255,4.2803391835929805,12.71,0.0,9,2005,,1.182246376811598,,169.03333333333333,50.71
2005-12-31,122.61000000000001,20.240000000000002,0.11696124031007753,0.005801033591731286,,20.739999999999995,30.22999999999999,10.7,0.87,101.88,397.93,0.0,66.32,1893.8,509.72,870.62,1384.08,195.81,-5.079999999999998,-0.08999999999999986,9.489999999999998,22.87296195652174,6.73,0.37,0.41,0.25,0.61,4.27906976744186,6.333023255813954,5.853767441860465,6.584062015503877,13.6,0.0,12,2005,,1.0038617886178898,,173.0487804878049,70.95
2006-03-31,124.23,17.09,0.1,0.0,,22.15,31.27,9.2,0.16,102.08,354.56,0.0,61.83,1887.01,475.39,877.76,1411.62,-46.5,-8.21,11.34,9.12,23.0,5.72,0.34,0.1,0.0,0.0,3.64,3.96,4.84,4.88,13.76,0.0,3,2006,,0.0,,170.89999999999998,17.09
2006-06-30,85.67999999999999,-2.6799999999999997,-0.01487855655794587,0.19999999999999998,,-2.549999999999997,5.349999999999998,6.95,0.28,88.23,353.03,0.0,58.42,1813.48,441.54,877.76,1371.94,39.71,-6.0699999999999985,-35.16,7.9,-116.7855223880597,4.45,0.32,0.08,0.2,2.5,-0.5877029840388619,-0.7885634975711311,-0.7811242192921581,-0.7885634975711311,6.86,0.0,6,2006,,36.025,,180.125,14.41
2006-09-30,77.47,-12.36,-0.06029268292682927,0.02426829268292684,,-11.98,-4.959999999999997,6.1,0.38,89.45999999999998,315.69,0.0,55.3,1689.08,329.0,877.76,1360.08,-45.82,8.53,-0.05999999999999872,7.02,-25.293284789644016,3.94,0.24,0.01,0.2,20.0,-2.894048780487805,-9.888,-3.617560975609756,-3.617560975609756,0.71,0.0,9,2006,,4.975000000000001,,204.99999999999997,2.05
2006-12-31,84.47000000000003,10.36,0.058436744560838035,-0.031265108783239334,,11.009999999999998,17.959999999999997,4.96,0.42,73.45000000000005,215.61,0.0,58.85,1681.12,311.58,877.76,1369.54,-90.69000000000001,-9.33,-0.060000000000002274,6.949999999999999,21.220381274131277,3.18,0.23,0.07,0.2,2.86,2.471039484286865,3.472812248186946,3.038710717163578,3.0053182917002417,3.34,0.0,12,2006,,-5.5428571428571445,,177.28571428571428,12.41
2007-03-31,91.92,3.76,0.02,0.0,,4.68,11.72,4.8,0.1,87.24,102.36,0.0,60.37,1622.49,248.71,877.76,1373.78,-186.52,-6.66,79.94,7.04,60.0,3.07,0.18,0.02,0.0,0.0,0.92,1.08,1.08,1.08,4.09,0.0,3,2007,,0.0,,187.99999999999997,3.76
