,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2011-12-31,9780.009999999998,75.08999999999969,0.06262810570366659,0.0007347392289821111,,536.4899999999998,536.4899999999998,46.25,0.0,2736.72,0.0,306.42,112459.41,99028.19,1200.0,13431.22,6182.550000000003,-6013.730000000003,0.0,184.64353775469513,4.13,7.37,2.85,0.78,0.27,0.2672132510023108,0.42279465043457726,2.2361529952298644,2.467327616985153,9.55,12,2011,,,0.8809394453876394,,1198.982456140351,3417.1
2012-03-31,10138.28,913.65,0.76,0.0,,1283.95,1283.95,48.0,0.0,563.49,0.0,327.83,121882.73,106752.72,1200.0,15130.0,7158.77,-10332.01,1000.0,15.79,3.81,7.06,0.76,0.0,0.0,3.0,4.72,24.16,27.12,9.01,3,2012,,,0.0,,1202.171052631579,913.65
2012-06-30,11322.81,807.84,0.6757457783664151,0.34,,1308.43,1308.43,47.0,0.0,1520.71,0.0,325.28,129240.48,113167.05,1200.0,16073.43,7845.959999999999,-5483.3099999999995,-1405.42,17.38878787878788,3.51,7.04,1.44,0.34,0.24,2.4965052367425895,4.223411114790095,20.10343690640085,22.506088562814774,8.02,6,2012,,,406.46291666666673,,1195.4791666666667,1721.49
2012-09-30,9175.689999999999,843.9999999999998,0.7040214539912453,0.36094950997015496,,1189.0,1189.0,44.0,0.0,2195.69,0.0,317.86,135334.59,117433.94,1200.0,17900.65,5699.619999999999,-4659.740000000002,-364.90000000000003,15.623955687203793,2.95,6.56,2.14,0.7,0.33,2.5002631076324593,4.1451730468643415,18.857247543354287,21.910200390568658,8.37,9,2012,,,432.7160552959499,,1198.8271028037382,2565.49
2012-12-31,9194.68,718.8800000000001,0.5975399848372749,0.0024663501804170615,,982.6999999999998,982.6999999999998,62.25,0.0,865.85,0.0,304.95,142787.21,122814.14,1204.77,19973.07,6542.830000000002,-8108.149999999998,235.48000000000002,26.041771922991316,3.75,6.15,2.73,0.7,0.26,2.0136878609900837,3.2656764006491357,14.3934906237726,17.212653629158716,8.25,12,2012,,,2.967181883537137,,1203.065934065934,3284.37
2013-03-31,14653.3,921.94,0.76,0.0,,1104.87,1104.87,74.75,0.0,603.21,0.0,299.38,157171.46,135352.04,1207.4,21819.42,9824.54,-9933.1,-154.08,24.59,4.14,6.2,0.76,0.0,0.0,2.36,3.16,16.92,19.96,6.29,3,2013,,,0.0,,1213.078947368421,921.94
2013-06-30,10798.8,1452.7999999999997,1.1990735827922212,0.36,,1776.8000000000002,1776.8000000000002,64.0,0.0,400.97,0.0,299.0,163941.09,142022.67,1210.8,21918.42,7056.549999999999,-8015.92,757.13,13.342383844988987,3.54,6.48,1.96,0.36,0.18,3.548278969487185,4.820765220613625,26.501973268652563,30.588611805924014,9.33,6,2013,,,436.1767346938775,,1211.6020408163265,2374.74
2013-09-30,10281.29,1100.96,0.9090989440975921,0.39983449993629244,,1311.46,1311.46,61.5,0.0,400.54,0.0,301.47,167384.23,145417.78,1211.6,21966.45,6251.939999999999,-4590.82,-1661.55,16.913478010100274,3.39,6.62,2.87,0.76,0.26,2.6354366602411026,3.5096920908018534,20.044523060103,22.09712276663694,9.73,9,2013,,,484.21769039323044,,1211.0452961672472,3475.7
2013-12-31,10710.650000000001,904.8000000000002,0.7477173838602901,-0.000604455841874377,,1117.75,1117.75,68.0,0.0,1331.19,0.0,326.61,172234.5,149970.84,1211.71,22263.66,4954.139999999999,-4974.73,951.25,22.730379641909813,3.7,6.74,3.62,0.76,0.21,2.0985659171327478,2.784317771943843,16.25975482250885,17.135534299737476,9.43,12,2013,,,-0.731441661693566,,1210.0828729281768,4380.5
2014-03-31,28771.86,1096.04,0.9,0.0,,1306.61,1306.61,68.75,0.0,1809.67,0.0,336.1,196907.53,172838.99,1211.81,24068.54,21762.88,-20341.26,-943.14,19.0975,3.46,7.18,0.9,0.0,0.0,2.24,2.96,18.2,19.119999999999997,3.81,3,2014,,,0.0,,1217.822222222222,1096.04
2014-06-30,12243.599999999999,168.78999999999996,0.1387867144201197,0.51,,163.2700000000002,163.2700000000002,88.0,0.0,2799.94,0.0,358.05,205002.69,180682.84,1212.32,24319.85,8949.279999999999,-7345.730000000003,-613.2800000000001,158.52526008649806,4.39,7.43,1.04,0.51,0.49,0.33095293438643925,0.4270360443695991,2.7757342884023934,2.9198589533771333,3.08,6,2014,,,620.253173076923,,1216.1826923076922,1264.83
2014-09-30,9823.43,-880.5899999999999,-0.5271072767020611,0.13872623930956623,,-1184.7900000000002,-1184.7900000000002,90.0,0.0,2184.06,0.0,388.05,210428.23,186433.83,1212.65,23994.38,4705.899999999998,-5325.259999999998,3.480000000000018,-42.68533369672606,4.55,7.77,0.23,0.51,2.22,-1.6500749531542784,-1.3750624609618987,-14.66733291692692,-15.309028732042472,0.76,9,2014,,,231.75726170568578,,1670.608695652174,384.24
2014-12-31,10659.54,2277.51,1.3433608340377574,0.05745228417067883,,2823.0899999999997,2823.0899999999997,46.0,0.0,5707.56,0.0,389.24,215589.59,190013.31,1697.85,25576.27,6971.980000000003,-3517.1900000000023,68.72000000000003,8.560804892184887,3.05,7.43,1.57,0.56,0.36,4.209767709213863,5.476120597351367,35.62900963651733,38.09326390532545,4.33,12,2014,,,97.40357795624482,,1695.3821656050955,2661.75
2015-03-31,18222.41,765.25,0.45,0.0,,899.96,899.96,51.0,0.0,1405.31,0.0,459.86,230060.91,204292.97,1697.85,25767.92,10147.33,-15654.86,1205.27,28.3325,3.36,7.93,0.45,0.0,0.0,1.32,1.68,11.88,12.28,4.2,3,2015,,,0.0,,1700.5555555555554,765.25
2015-06-30,10813.73,1844.5100000000002,1.0813639185212434,0.45999999999999996,,2244.65,2244.65,50.75,0.0,564.03,0.0,464.57,238560.89,211166.55,1702.06,27394.35,7624.210000000001,-11225.669999999998,2760.18,11.732891011705005,3.15,7.71,1.53,0.46,0.3,3.081533780884066,4.014475200784746,26.942217368646926,28.525390687266263,8.99,6,2015,,,784.6337254901961,,1705.7254901960785,2609.76
2015-09-30,9987.86,-786.3800000000001,-0.4614653007052837,0.3195594520755356,,-1073.52,-1073.52,52.0,0.0,460.54,0.0,534.04,242317.4,217045.27,1702.89,25272.15,6101.860000000001,-3354.2400000000016,-2851.1099999999997,-28.172215722678605,3.5,8.59,1.07,0.78,0.73,-1.2938279459026645,-1.5698445743618996,-12.437999319944279,-12.765769066239622,4.67,9,2015,,,544.5591717060655,,1704.0934579439252,1823.38
2015-12-31,15322.029999999999,2284.8199999999997,1.3403476461710724,0.0002534243116230199,,2815.71,2815.71,55.5,0.0,7101.76,0.0,547.21,249575.61,222585.24,1703.81,26990.21,11092.659999999996,-2172.0699999999997,-2279.37,10.35222096270166,3.5,8.25,2.41,0.78,0.32,3.6706616036220234,4.671751131882576,33.85907248916801,34.77117628158317,7.56,12,2015,,,0.43199906929862664,,1704.6473029045642,4108.2
2016-03-31,16315.54,-6888.24,-4.04,0.0,,-8688.89,-8688.89,39.0,0.0,5590.18,614.53,572.28,266317.99,242065.17,1704.24,24252.66,-1483.0,-49.66,21.09,-2.4125,2.74,9.98,-4.04,0.0,0.0,-10.36,-14.0,-113.59999999999998,-110.16,-42.22,3,2016,,,0.0,,1705.009900990099,-6888.24
2016-06-30,11451.489999999998,9392.24,5.513815015974441,0.32,,11671.49,11671.49,37.25,0.0,8893.9,549.81,1107.37,268195.88,235704.71,1705.08,32480.04,4374.12,-543.5,-526.91,1.688930436189876,1.96,7.26,1.47,0.32,0.22,13.953327795527157,17.70422236421725,115.67758849840256,125.42991437699679,9.02,6,2016,,,545.0884353741498,,1703.4013605442178,2504.0
2016-09-30,12449.21,611.7800000000002,0.3573550122280778,0.32160109109726864,,653.5799999999999,653.5799999999999,44.75,0.0,9035.42,694.54,1120.54,273177.7,241021.29,1705.5,32148.94,160.07000000000016,-31.879999999999995,13.329999999999984,31.30906134558174,2.37,7.5,1.82,0.64,0.35,0.8953510196483706,1.107407840091406,7.6104836670111515,8.521542599284931,7.75,9,2016,,,550.5704657247514,,1711.967032967033,3115.78
2016-12-31,15266.010000000002,1994.52,1.1708823356750093,-0.003206211630766045,,2440.0000000000005,2440.0000000000005,53.0,0.0,13109.07,649.43,1157.56,282356.15,249027.08,1705.95,33320.94,4759.6900000000005,-164.0,-522.04,11.318387506768548,2.71,7.47,3.0,0.64,0.21,2.825729370095689,3.5594823004520277,23.948446705672858,26.46194078625521,9.21,12,2016,,,-5.4615677655679065,,1703.4333333333334,5110.3
2017-03-31,15667.55,924.46,0.54,0.0,,1047.97,1047.97,51.5,0.0,14818.35,0.0,1219.6,290892.47,256090.24,1706.76,34798.87,1768.78,-80.63,21.13,23.8425,2.53,7.36,0.54,0.0,0.0,1.28,1.52,10.64,12.52,5.9,3,2017,,,0.0,,1711.9629629629628,924.46
2017-06-30,11264.23,1223.9699999999998,0.7178275298706497,0.42999999999999994,,1444.4399999999998,1444.4399999999998,44.5,0.0,4742.59,0.0,1261.63,294277.99,259232.55,1707.57,35044.53,-9655.35,-60.91,-359.03,15.499266240185626,2.17,7.4,1.26,0.43,0.34,1.6635368152557912,2.0281476240789784,13.969151613038356,14.493279650721691,7.98,6,2017,,,733.194365079365,,1705.1031746031745,2148.43
2017-09-30,15247.419999999998,-260.5899999999999,-0.15322002923976608,0.31890110113246073,,-439.3499999999999,-439.3499999999999,44.75,0.0,8246.63,0.0,1314.96,304517.85,268486.18,1707.57,36033.13,4496.5,-71.78,-914.4499999999999,-73.02439541041484,2.12,7.45,1.11,0.75,0.68,-0.34232943469785565,-0.392022417153996,-2.893235867446393,-3.058879142300194,4.48,9,2017,,,542.3732024882023,,1700.7567567567564,1887.84
