,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2009-06-30,,,,,,,,,,3747.96,0.0,319.2,58425.07,54551.29,1000.0,3873.78,,,,,0.0,14.08,0.79,0.0,0.0,,,,,7.23,6,2009,,,,,999.2278481012657,789.39
2009-09-30,5677.1799999999985,214.22000000000003,0.21131495301959927,0.0,,236.37000000000012,236.37000000000012,14.9,5426.790000000001,2575.93,0.0,325.94,64682.82,57615.66,1200.0,7067.15,3585.5999999999995,-3739.7599999999998,2489.82,17.627124568200912,2.53,8.15,0.99,0.0,0.0,1.3233865744661775,0.0,12.123928617690138,0.0,6.05,9,2009,,,0.0,,1013.7474747474748,1003.61
2009-12-31,6052.139999999999,182.08000000000004,0.1719923420118244,0.15,,261.56999999999994,261.56999999999994,17.3,5775.739999999998,1718.06,0.0,334.15,68339.47,61107.87,1200.0,7231.59,3559.08,-2258.5,-179.80000000000018,25.1522826504833,2.87,8.45,1.12,0.15,0.13,1.0688095539306228,0.0,10.073837174978284,0.0,5.23,12,2009,,,158.79776785714282,,1058.6517857142856,1185.69
2010-03-31,7715.74,440.74,0.37,0.0,,545.04,545.04,23.8,7149.87,773.38,0.0,336.29,74057.15,66094.74,1200.0,7962.41,4845.88,-2771.23,0.0,16.08,3.59,8.3,0.37,0.0,0.0,2.4,0.0,22.16,0.0,5.71,3,2010,,,0.0,,1191.1891891891892,440.74
2010-06-30,6459.4,602.6600000000001,0.5025054629097183,0.15,,774.8600000000001,774.8600000000001,27.25,5668.8,758.39,0.0,336.53,77498.48,69137.13,1200.0,8361.36,3776.2400000000007,-2319.2099999999996,-179.48,13.556270533966083,3.91,8.27,0.87,0.15,0.17,3.118999424956872,4.482117692160245,28.833416906267974,39.41491125167721,7.36,6,2010,,,179.89655172413794,,1199.3103448275863,1043.4
2010-09-30,6609.350000000002,453.78999999999996,0.3788680795356635,0.1998048412992523,,556.2199999999998,556.2199999999998,31.25,-12200.1,623.59,0.0,331.75,81922.75,72552.3,1200.0,9370.46,3887.5999999999985,-9721.52,-239.19000000000003,20.620633993697528,4.0,7.74,1.25,0.35,0.28,2.218651473760845,3.103687307556155,19.373798115135685,22.08952450924732,7.2,9,2010,,,239.31664827586204,,1197.752,1497.19
2010-12-31,9113.5,1299.29,1.0825558201739331,0.000715629648701178,,1714.4300000000003,1714.4300000000003,30.75,242.19999999999993,859.53,0.0,339.05,88746.05,77829.35,1200.0,10916.7,6639.660000000002,-7953.700000000001,0.0,7.102636055076234,3.38,7.13,2.33,0.35,0.15,5.8541645211122555,8.493184717931113,47.613871438379675,57.277889060533234,9.35,12,2010,,,0.8589030042917898,,1200.2060085836908,2796.48
2011-03-31,8925.72,987.23,0.82,0.0,,1265.08,1265.08,35.5,0.0,2778.19,0.0,329.08,95098.79,83285.01,1200.0,11813.78,5085.3,-5886.64,0.0,10.8225,3.61,7.05,0.82,0.0,0.0,4.16,6.0,33.44,39.92,11.06,3,2011,,,0.0,,1203.939024390244,987.23
2011-06-30,9072.890000000001,1291.9099999999999,1.0769979027176917,0.4,,1679.3600000000001,1679.3600000000001,46.0,0.0,7694.92,0.0,319.74,100781.76,88130.63,1200.0,12651.13,6534.8,-1139.9799999999996,-478.09,10.677597394555349,4.36,6.97,1.9,0.4,0.21,5.124242652930491,7.482301218880806,40.857899383100644,49.17912528409839,12.66,6,2011,,,479.81894736842105,,1199.5473684210526,2279.14
2011-09-30,7985.799999999999,1062.8700000000003,0.8873125155220963,0.3794342137941255,,1361.5300000000002,1361.5300000000002,42.75,0.0,2567.9,0.0,315.09,104971.41,92059.31,1200.0,12912.1,4835.839999999998,-9509.55,-453.31,12.04276938854234,3.97,7.13,2.79,0.78,0.28,4.0453817911975145,5.864531464597654,32.92279269062631,38.1639791622407,12.86,9,2011,,,454.506428975665,,1197.853046594982,3342.01
