,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-12-31,87.02000000000001,18.729999999999997,0.03224148530677487,0.0,14.64,20.429999999999993,36.82000000000001,1.67,0.0,66.59,-16.299999999999997,205.98,37.64,246.77,784.1,1790.13,0.0,4.75,41.25,53.62,116.17,169.8,594.02,1620.33,4.360000000000014,105.91999999999999,-18.89,16.389999999999993,12.95070608649226,0.61,0.1,0.14,0.0,0.0,4.182181236935939,4.799375384237059,4.624350178285995,4.744104266568302,4.863858354850608,33.63,28.17,0.0,4.6,4.6,12,2005,0.0,580.9285714285713,81.33
2006-03-31,68.08,20.01,0.03,0.0,16.27,22.36,40.42,1.6,0.0,45.72,5.2,221.87,31.16,258.02,768.92,1799.69,0.0,3.83,41.25,54.84,104.51,159.35,594.02,1640.34,29.34,-0.11,-13.34,18.06,13.332499999999998,0.58,0.1,0.03,0.0,0.0,4.44,5.0,4.88,5.0,5.12,39.3,29.39,0.0,4.7,4.7,3,2006,0.0,667.0000000000001,20.01
2006-06-30,48.620000000000005,2.8699999999999974,0.005017482517482513,0.0,14.030000000000001,5.32,22.479999999999997,1.6,0.0,43.31,4.05,217.56,31.82,253.01,755.09,1792.55,0.0,5.12,41.25,53.8,95.55,149.35,594.02,1643.2,27.029999999999998,-20.6,-10.73,17.16,79.72125435540076,0.58,0.09,0.04,0.0,0.0,0.6422377622377617,0.7877447552447545,0.6974300699300693,0.7225174825174819,0.7977797202797198,23.28,19.61,0.0,4.7,4.7,6,2006,0.0,572.0,22.88
2006-09-30,161.95,-33.44,-0.06333333333333332,0.0,-10.66,-24.59,19.860000000000007,1.45,0.0,186.53,-29.39,234.24,135.64,378.26,3055.8,3651.65,0.0,225.81,292.8,599.6,1002.14,1601.74,594.02,1609.88,31.830000000000005,75.1,-90.25,44.45,-5.723684210526316,0.54,0.99,-0.02,0.0,0.0,-3.6733333333333325,1.393333333333333,-8.36,-8.36,1.2666666666666666,-4.13,-3.79,0.0,0.63,0.63,9,2006,0.0,528.0,-10.56
2006-12-31,169.53000000000003,-15.97,-0.024078401809272523,0.0,1.4600000000000009,-2.6999999999999997,33.86,1.11,0.0,172.23000000000002,-22.35,142.41,125.37,281.67,3023.21,3519.7,0.0,266.83,272.58,617.37,880.22,1497.59,594.13,2022.11,43.2,-13.399999999999999,-121.64000000000001,36.56,-11.524851283656856,0.33,0.74,-0.04,0.0,0.0,-1.805880135695439,0.024078401809272523,-3.1542706370147005,-3.515446664153788,0.024078401809272523,-6.55,-5.92,0.0,0.46,0.46,12,2006,0.0,663.25,-26.53
2007-03-31,165.67,1.76,0.01,0.0,3.52,27.83,73.56,0.99,0.0,137.84,-9.27,157.15,108.29,276.42,3000.68,3489.14,0.0,228.79,265.5,584.11,812.59,1396.7,660.21,1661.75,22.03,-20.78,13.49,45.73,24.75,0.39,0.84,0.01,0.0,0.0,0.2,4.2,0.44,0.44,3.84,1.37,1.06,0.0,0.47,0.47,3,2007,0.0,176.0,1.76
2007-06-30,131.60999999999999,-38.28,-0.06289156626506023,0.0,-20.69,-28.56,17.539999999999992,1.0,0.0,160.16,-45.620000000000005,119.3,70.21,198.53,2948.48,3359.76,0.0,237.53,264.86,575.02,742.46,1317.48,660.21,1623.47,51.25,1.0,-90.1,46.1,-3.975890804597702,0.41,0.81,-0.06,0.0,0.0,-4.57012048192771,-0.12578313253012047,-9.433734939759036,-9.391807228915663,-0.12578313253012047,-15.02,-12.28,0.0,0.35,0.35,6,2007,0.0,608.6666666666667,-36.52
2007-09-30,109.81,-39.85999999999999,-0.06262372348782402,0.0,-24.39,-36.49,8.89,1.1,0.0,146.31,-46.42999999999999,85.58,66.29,159.17,2921.89,3291.0,0.0,265.16,172.92,520.91,784.02,1304.93,660.21,1583.61,39.03,-18.939999999999998,-53.80999999999999,45.38000000000001,-4.3929039136979435,0.46,0.82,-0.12,0.0,0.0,-4.842901283058391,-2.233579471065724,-10.061544907043727,-9.978046609059962,-2.7971929824561403,-22.27,-18.76,0.0,0.31,0.31,9,2007,0.0,636.5,-76.38
2007-12-31,127.06,-59.81,-0.09222483295396139,0.0,-25.39,-74.89,-29.849999999999994,0.88,0.0,201.95,-34.849999999999994,69.82,86.11,168.56,2848.54,3224.22,0.0,336.01,198.0,623.38,708.35,1331.73,660.21,1523.8,87.27000000000001,-19.22,-83.81,45.03999999999999,-2.3852035612773785,0.38,0.87,-0.21,0.0,0.0,-7.413119906013657,-5.832122769660034,-15.704571554445996,-13.491175563550922,-7.571219619649019,-30.1,-25.5,0.0,0.27,0.27,12,2007,0.0,648.5238095238095,-136.19
2008-03-31,212.66,13.05,0.02,0.0,-24.76,39.23,84.34,0.81,0.0,173.43,-54.67,83.36,113.57,211.37,2792.2,3207.91,0.0,358.53,199.31,670.96,609.88,1280.84,660.21,1548.7,7.02,26.48,-19.96,45.11,10.124999999999998,0.35,0.83,0.02,0.0,0.0,1.64,4.68,3.3600000000000003,3.24,6.2,11.9,6.14,0.0,0.32,0.32,3,2008,0.0,652.5,13.05
2008-06-30,14.530000000000001,-229.06,-0.34993657701032366,0.0,-6.0,-243.23999999999998,-202.41,0.7,0.0,257.77,-9.799999999999997,38.03,52.98,100.15,2732.76,2897.96,0.0,332.2,213.48,646.09,582.83,1228.93,660.21,1319.64,51.099999999999994,-12.22,-84.22,40.83,-0.4998048546232428,0.35,0.93,-0.33,0.0,0.0,-31.60033331790195,-27.655593722512844,-69.43590018980603,-62.26750243044303,-38.4293986389519,-108.31,-95.08,0.0,0.16,0.16,6,2008,0.0,654.5757575757575,-216.01
2008-09-30,85.63,-35.83000000000001,-0.05406369123252861,0.0,-15.239999999999998,-34.58000000000001,-0.710000000000008,0.48,0.0,120.21999999999997,-31.64,16.81,76.48,98.84,2683.89,2847.02,0.0,350.5,221.4,678.89,545.99,1224.88,660.21,1283.81,9.440000000000005,16.03,-46.68000000000001,33.870000000000005,-2.2140552609545066,0.25,0.95,-0.38,0.0,0.0,-5.036459656925033,-4.421840851334181,-11.165574968233802,-9.998937420584502,-6.260006353240154,-89.31,-80.51,0.0,0.15,0.15,9,2008,0.0,662.7368421052631,-251.84
2008-12-31,41.5,-205.61999999999998,-0.3101425261225024,0.0,-45.83,-307.9599999999999,-270.14,0.3,0.0,349.45000000000005,-59.17999999999999,17.22,35.68,66.78,2373.12,2503.44,0.0,328.87,180.57,838.84,362.28,1201.11,660.21,1078.2,-8.730000000000004,51.54,-42.369999999999976,37.81999999999999,-0.23916423499659567,0.18,1.11,-0.69,0.0,0.0,-32.848138853670264,-34.304460280680274,-76.28607178769728,-63.2151374983605,-59.02596598609714,-142.17,-129.11,0.0,0.08,0.08,12,2008,0.0,662.9855072463769,-457.46
2009-03-31,21.04,-64.44,-0.1,0.0,-52.14,-81.96,-50.79,0.25,0.0,103.0,-63.36,17.52,14.48,46.74,2341.01,2450.55,0.0,350.57,68.29,968.17,273.1,1241.27,660.21,1013.76,6.25,1.16,-7.14,31.17,-0.625,0.16,1.22,-0.1,0.0,0.0,-10.52,-11.6,-25.44,-20.12,-22.12,-307.0,-306.27,0.0,0.05,0.05,3,2009,0.0,644.4,-64.44
2009-06-30,56.88,-24.08,-0.03536375960234975,0.0,-53.0,-19.55000000000001,10.96,0.38,0.0,76.43,-65.82000000000001,14.02,19.6,43.71,2287.13,2402.9,0.0,368.28,94.52,992.39,228.62,1221.01,660.21,989.68,-11.8,14.19,-5.86,30.509999999999998,-2.6835382059800663,0.25,1.23,-0.13,0.0,0.0,-4.004265702666064,-4.167483054676909,-9.727754179846361,-8.345847266154541,-7.83443289652056,-185.93,-113.6,-8.7,0.04,0.04,6,2009,0.0,680.9230769230769,-88.52
2009-09-30,47.25,-95.56000000000002,-0.14535419382877013,0.0,-41.14999999999999,-130.49,-99.77,0.42,0.0,177.74,-49.5,4.93,19.83,29.75,2187.04,2278.18,0.0,403.54,117.9,684.91,549.86,1234.78,660.21,894.11,5.25,0.0,-14.350000000000001,30.720000000000006,-0.7223733779824193,0.31,1.38,-0.28,0.0,0.0,-16.778026944806605,-18.79222077357671,-42.7548978704911,-35.092655367231636,-30.233672316384183,-233.04,-147.06,-8.3,0.04,0.04,9,2009,0.0,657.4285714285714,-184.08
