,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2008-03-31,692.17,26.74,0.45,0.0,,25.61,25.61,,0.0,101.23,972.83,0.0,263.24,6900.19,3092.02,590.0,3808.17,,,,0.0,0.0,0.81,0.45,0.0,0.0,1.56,0.0,2.8,0.0,3.86,,3,2008,,,0.0,,59.42222222222222,26.74
2008-06-30,-683.1899999999999,-155.31,-2.6333965932954815,0.0,,-91.69,-91.69,76.5,6.01,-90.77000000000001,1664.46,0.0,269.2,6793.89,3373.75,590.0,3420.15,,,,-7.262123012040436,13.2,0.99,-2.18,0.0,0.0,-9.132329470327448,0.0,-18.168020533561485,0.0,-1431.74,0.0,6,2008,,,0.0,,58.97706422018348,-128.57
2008-09-30,780.31,71.69999999999999,1.2103393704941092,0.0,,93.33,93.33,48.0,2.1,186.95999999999998,1225.74,0.0,259.02,6802.7,3410.08,590.0,3392.62,108.72,-612.8299999999999,0.0,9.914574616457463,8.35,1.01,-0.96,0.0,0.0,4.236187796729382,-0.0,8.472375593458764,-0.0,-7.21,0.0,9,2008,,,0.0,,59.239583333333336,-56.87
2008-12-31,751.8600000000001,36.849999999999994,0.6258241758241758,0.0,,43.519999999999996,43.519999999999996,37.0,0.0,50.07000000000002,1029.97,0.0,263.58,6261.37,2932.25,590.0,3329.12,-303.89,275.71000000000004,0.0,14.78002985074627,6.56,0.88,-0.34,0.0,0.0,2.3560439560439557,-0.0,4.417582417582417,-0.0,-1.3,0.0,12,2008,,,0.0,,58.882352941176464,-20.02
2009-03-31,786.81,55.53,0.94,0.0,,71.31,71.31,41.0,8.92,113.8,1088.72,0.0,261.44,6366.15,3012.15,590.0,3354.0,50.14,13.3,0.0,10.904999999999998,7.21,0.9,0.94,0.0,0.0,3.48,4.32,6.64,6.2,7.06,0.0,3,2009,,,0.0,,59.07446808510639,55.53
2009-06-30,781.4100000000001,72.88999999999999,1.237347765145616,0.0,,95.25,95.25,49.0,15.64,116.36999999999999,946.66,20.02,258.43,6576.42,2994.54,590.0,3581.88,99.77,-209.28,0.0,9.901500891754699,8.07,0.84,2.18,0.0,0.0,4.427207600062295,5.653203550848778,8.150602709858276,8.332231739604422,8.19,0.0,6,2009,,,0.0,,58.90825688073394,128.42
2009-09-30,788.47,68.97,1.1705228228380364,0.0,,92.42000000000002,92.42000000000002,53.5,17.9,119.83000000000001,1119.26,0.08,265.61,6750.01,3000.33,590.0,3749.68,272.41999999999996,-449.31999999999994,0.0,11.42641112077715,8.42,0.8,3.35,0.0,0.0,4.081106439029333,5.3389817113328935,7.3515821470185925,7.728944728709662,8.38,0.0,9,2009,,,0.0,,58.92238805970149,197.39
2009-12-31,821.2799999999997,59.73000000000002,1.012845364032359,0.0,,72.69999999999999,72.69999999999999,54.0,6.63,142.43,1165.61,0.0,270.01,7620.01,3811.29,590.0,3808.72,558.1400000000001,-565.3,0.0,13.333822199899544,8.37,1.0,4.36,0.0,0.0,3.1314576851275677,4.4416521468575,6.272207529558185,6.690354698195398,8.09,0.0,12,2009,,,0.0,,58.97247706422018,257.12
2010-03-31,850.65,79.23,1.34,2.65,,101.75,101.75,53.5,4.5,134.32,1252.62,0.0,263.45,7685.24,3763.35,590.0,3921.89,-1.65,8.04,0.0,9.9825,8.05,0.96,1.34,2.65,1.98,4.12,5.8,8.08,8.72,9.31,0.0,3,2010,,,156.68619402985072,,59.12686567164179,79.23
2010-06-30,861.7099999999999,89.98,1.5261663022280008,-0.007581566489401331,,125.47,125.47,55.5,9.81,136.17000000000002,1273.59,0.0,256.44,7805.13,3937.32,590.0,3867.81,304.95,-142.34,-156.35,9.092357746165815,8.47,1.02,2.87,2.65,0.92,4.615722475031026,6.721512912948408,9.295256781514095,9.656857159742332,9.88,0.0,6,2010,,,-0.4469954235789544,,58.958188153310104,169.21
2010-09-30,1089.6700000000003,176.93999999999997,3.000542539361548,0.0005009509784329831,,232.75000000000003,232.75000000000003,63.25,4.13,136.8,1336.74,0.0,248.75,8288.24,4173.18,590.0,4115.06,158.22999999999996,-371.39,0.0,5.272263196563807,9.07,1.01,5.87,2.65,0.45,8.546690163224035,12.513335837064854,17.195613462371803,17.993031922576915,0.0,0.0,9,2010,,,0.02954074636875248,,58.96933560477001,346.15
2010-12-31,962.2999999999997,47.35000000000002,0.8026035578144858,0.0011753710746826484,,-29.75,-29.75,73.5,15.92,156.37999999999994,1526.5,0.0,266.07,9813.11,5636.29,590.0,4176.82,589.1700000000001,-172.05,0.0,22.895300950369577,10.38,1.35,6.67,2.65,0.4,1.9300991105463794,2.377728081321475,4.534048284625161,4.745829733163916,0.0,0.0,12,2010,,,0.06934160687970348,,58.99550224887556,393.5
2011-03-31,1011.26,156.16,2.65,4.0,,216.48,216.48,73.5,0.0,0.0,189.74,0.0,263.34,11465.7,7161.41,590.0,4304.29,-225.75,-4.2,0.0,6.935,10.07,1.66,2.65,4.0,1.51,5.44,9.04,14.52,15.2,0.0,0.0,3,2011,,,235.71320754716982,,58.928301886792454,156.16
2011-06-30,1030.33,92.64000000000001,1.5713054662379422,0.0019705150761394805,,128.38000000000002,128.38000000000002,81.25,0.0,0.0,235.3,0.0,260.95,11486.53,7347.05,590.0,4139.47,119.48,162.08999999999997,-236.0,12.924762521588946,11.58,1.77,4.22,4.0,0.95,3.2319742765273314,5.3320128617363345,8.951228295819936,9.24910610932476,0.0,0.0,6,2011,,,0.11617633908613811,,58.95734597156399,248.8
2011-09-30,1114.8999999999999,53.76999999999998,0.9116571371913934,0.0015707461529792938,,87.46999999999997,87.46999999999997,75.75,0.0,0.0,270.79,0.0,286.6,11315.49,7242.59,590.0,4072.9,306.39,-270.90999999999997,0.0,20.778123953877632,10.97,1.78,5.13,4.0,0.78,1.8979528704101525,3.134821033149353,5.281569223650724,5.253135472783156,0.0,0.0,9,2011,,,0.09264340419238692,,58.980506822612085,302.57
2011-12-31,1182.21,-245.56,-4.178095071040168,-0.014109217185316393,,-149.82999999999998,-149.82999999999998,64.0,0.0,0.0,250.15,0.0,293.61,17225.42,13376.48,590.0,3848.95,157.26999999999998,-177.91000000000003,0.0,-3.829532293533149,9.81,3.48,0.97,4.0,4.12,-5.685655148219611,-36.009149272057535,-25.49930187686371,-24.465546395369234,0.0,0.0,12,2011,,,-0.8292437852936985,,58.77319587628866,57.01
