,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,52.92,0.75,0.13,0.0,25.5,2.31,4.02,5.5,50.62,-9.81,155.73,118.54,306.89,181.88,617.24,48.19,61.19,0.0,156.63,0.0,156.63,60.0,460.61,-2.46,-42.7,43.48,1.71,10.5775,0.72,0.34,0.13,0.0,0.0,0.48,0.0,0.64,0.0,2.0,1.84,1.42,1.96,1.96,3,2000,0.0,5.769230769230769,0.75
2000-06-30,70.98,10.84,1.8051078515962036,4.0,31.79,14.08,15.75,4.8,56.89000000000001,-2.9499999999999993,101.96,137.08,289.03,181.0,612.21,59.62,61.75,0.0,164.4,0.0,164.4,60.0,447.81,-42.36,35.080000000000005,-21.569999999999997,1.67,0.6655696494464945,0.64,0.37,1.93,4.0,2.07,7.070785159620362,0.0,9.689594477998273,0.0,13.69263157894737,12.23,9.35,1.76,1.76,6,2000,24.020725388601036,6.005181347150259,11.59
2000-09-30,81.32,20.889999999999997,3.479522783251231,-0.0009890502565152468,-30.22,28.490000000000002,30.650000000000002,4.0,52.83,-66.89999999999999,84.32,215.99,360.4,181.16,688.07,80.78,94.62,0.0,219.32,0.0,219.32,60.0,468.58,-18.310000000000002,-11.23,21.169999999999998,2.16,0.28764001914791765,0.51,0.47,5.41,4.0,0.74,12.14295566502463,0.0,17.82853448275862,0.0,24.620357142857145,40.26,15.83,1.64,1.64,9,2000,-0.005937957917119263,6.003696857670979,32.48
2000-12-31,362.90999999999997,21.480000000000004,3.5786730911786515,-0.0009810786109788552,109.63,58.13999999999999,62.269999999999996,5.0,304.78,-25.700000000000003,127.47,366.12,520.14,192.41,819.44,28.66,185.95,0.0,291.21,0.0,291.21,60.0,485.64,96.31,0.41000000000000014,-64.94,4.13,0.3516945996275605,0.62,0.6,8.99,4.0,0.44,10.477272053372872,0.0,17.690348406226835,0.0,31.049666419570055,15.01,9.5,1.79,1.79,12,2000,-0.005888654265675086,6.0022246941045605,53.96
2001-03-31,112.43,14.1,2.35,0.0,79.7,22.66,25.26,5.7,89.77,10.21,111.47,415.22,566.05,193.5,877.98,51.13,183.07,0.0,337.36,0.0,337.36,60.0,500.13,-26.05,-23.14,32.47,2.6,0.6074999999999999,0.68,0.67,2.35,0.0,0.0,6.44,12.12,11.28,11.76,16.76,14.1,12.54,1.68,1.68,3,2001,0.0,6.0,14.1
2001-06-30,181.67000000000002,16.200000000000003,2.7000000000000006,5.5,105.55,30.970000000000002,33.56999999999999,4.5,150.7,31.269999999999996,101.73,412.34,569.27,192.12,879.86,36.94,199.93,0.0,320.71,31.3,352.0,60.0,483.22,3.1400000000000006,49.33,-57.19,2.6,0.41615740740740736,0.56,0.73,5.05,5.5,1.09,7.356831683168318,15.37663366336634,13.40910891089109,13.922376237623764,20.50930693069307,10.75,10.3,1.78,1.78,6,2001,33.0,6.0,30.3
2001-09-30,132.73999999999995,12.239999999999998,2.0399999999999996,0.0,85.58999999999997,18.79,21.35000000000001,5.0,113.95000000000002,16.220000000000006,161.24,308.89,570.6,191.78,890.4,53.78,176.81,0.0,319.78,31.02,350.8,60.0,494.82,54.64,-5.890000000000001,16.84,2.5599999999999996,0.6168995098039216,0.61,0.71,7.09,5.5,0.78,5.501382228490832,10.565416078984484,9.897884344146684,10.162595204513398,14.605133991537373,10.32,9.97,1.78,1.78,9,2001,0.0,6.0,42.54
2001-12-31,126.99000000000007,12.170000000000002,2.0287040760372874,-0.0010053006762927666,84.86000000000001,19.319999999999993,21.939999999999998,5.4,107.66999999999996,15.64,173.73,296.81,530.87,189.89,846.18,19.79,140.99,0.0,263.23,30.75,293.98,60.0,506.03,53.31,-8.55,-33.23,2.620000000000001,0.6630834018077238,0.64,0.58,9.12,5.5,0.6,5.756892707000549,9.805403034180223,9.618548711387318,9.814300859075125,14.005176384573204,10.22,9.88,2.02,2.02,12,2001,-0.006030701754383472,5.998903508771931,54.71
2002-03-31,145.53,12.35,2.06,0.0,81.9,18.87,21.35,6.35,126.67,14.99,210.44,330.7,599.42,187.54,909.8,16.46,217.62,0.0,312.81,30.48,343.29,60.0,519.63,35.93,-7.21,-3.32,2.48,0.7699999999999999,0.73,0.66,2.06,0.0,0.0,5.44,8.44,9.52,9.68,12.64,8.72,8.49,1.92,1.92,3,2002,0.0,5.9951456310679605,12.35
2002-06-30,123.47,12.229999999999999,2.0399918633034986,6.0,81.16999999999999,19.650000000000002,22.07,6.15,103.80999999999999,13.78,121.49,348.56,555.51,187.22,884.5,10.21,233.46,0.0,310.02,30.21,340.23,60.0,495.12,-28.81,2.55,-42.21,2.4200000000000004,0.7536794766966476,0.75,0.69,4.1,6.0,1.46,5.532855980471928,8.697331163547599,9.871570382424734,9.990984540276646,13.354483319772173,9.48,9.14,1.79,1.79,6,2002,35.97073170731707,5.995121951219512,24.58
