,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2016-09-30,,,,,,,,,0.0,,,276.14,85.0,22.5,383.64,1294.97,1745.3,51.25,138.04,190.46,584.33,774.79,161.8,970.51,,,,,,0.0,0.8,0.33,0.0,0.0,,,,,,14.83,14.66,2.01,1.9,9,2016,,304.60606060606057,100.52
2016-12-31,288.15999999999997,43.39,0.13869362796192067,0.25,85.72,57.04999999999998,90.91999999999999,21.7,0.0,231.1099999999999,51.84,1241.95,59.92,29.27,1331.13,1859.25,3260.21,56.7,222.26,286.1,874.6,1160.7,215.8,2099.5,104.30000000000001,-157.59000000000003,1047.84,33.86999999999999,39.111746370131364,2.23,0.55,0.46,0.25,0.54,5.318599124452784,0.0,8.26131610034049,0.0,7.537697171843514,14.91,14.78,4.65,4.55,12,2016,78.21195652173913,312.8478260869565,143.91
2017-03-31,338.31,57.06,0.13,0.25,90.3,71.19,110.02,22.9,0.0,267.12,57.09,499.39,72.95,39.96,711.1,2302.93,3086.08,78.83,203.88,288.16,721.78,1009.94,215.8,2076.13,-23.58,-453.29,-282.22,38.83,44.0375,2.38,0.49,0.13,0.25,1.92,7.4,0.0,11.0,0.0,10.16,17.6,16.87,2.47,2.33,3,2017,109.73076923076923,438.9230769230769,57.06
2017-06-30,335.78000000000003,30.689999999999998,0.06994871794871795,-9.86193293885502e-05,89.3,46.870000000000005,88.61,21.2,8.96,288.90999999999997,56.5,287.27,88.31,40.93,618.22,2663.97,3349.58,82.63,277.67,365.9,1009.64,1375.54,215.8,1974.04,-6.670000000000002,-22.129999999999995,-173.63,41.739999999999995,75.76979472140764,2.32,0.7,0.2,0.25,1.25,3.6653128205128205,0.0,6.225435897435897,0.0,5.539938461538461,13.28,13.02,1.69,1.58,6,2017,-0.0432692307692264,438.75,87.75
2017-09-30,385.65999999999997,44.81,0.104791038020519,-0.006511202474351231,99.85,61.829999999999984,111.57999999999998,16.3,11.07,323.83000000000004,64.91999999999999,400.71,80.31,56.41,638.65,3000.0,3690.04,93.92,354.17,448.45,1260.53,1708.98,215.8,1981.06,211.52,-65.36999999999995,-37.06999999999999,49.75,38.8864360633787,1.78,0.86,0.31,0.25,0.81,4.854191309595655,8.95118286059143,9.045832830416416,12.142238986119494,7.504390464695232,12.66,12.51,1.42,1.3,9,2017,-2.7842741935483843,427.61290322580646,132.56
