,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2007-09-30,,,,,,,,9.8,,,75.61,0.0,2422.28,71.06,,,0.0,9,2007,,,,,,,,,,,,
2007-12-31,77.14999999999999,,,,,,,9.7,26.46,-0.9600000000000002,29.07,0.0,2764.33,47.67,4.289999999999964,-50.82999999999993,0.22,12,2007,,,,,,,,,,,,
2008-06-30,-3.0500000000000114,,,,,,,9.4,0.490000000000002,-0.9699999999999998,18.11,0.0,2768.16,51.47,2307.81,-2347.84,0.43,6,2008,,,,,,,,,,,,
2008-09-30,76.17000000000002,,,,,,,9.55,27.32,-1.46,99.76,0.0,2768.94,54.0,132.25,-50.60000000000001,0.65,9,2008,,,,,,,,,,,,
2008-12-31,71.11000000000001,,,,,,,9.0,27.709999999999994,-2.3200000000000003,35.12,0.0,2761.79,53.7,-15.189999999999998,-49.44999999999999,0.86,12,2008,,,,,,,,,,,,
2009-03-31,79.19,,,,,,,7.75,24.22,-1.43,58.63,0.0,2785.41,49.9,72.96,-49.45,0.22,3,2009,,,,,,,,,,,,
2009-06-30,78.03,,,,,,,8.2,27.090000000000003,-1.4000000000000001,72.73,6.01,2801.07,55.55,68.15000000000002,-54.05,0.45,6,2009,,,,,,,,,,,,
2009-09-30,82.07,,,,,,,8.3,26.64,-1.2000000000000002,42.77,6.01,2814.64,50.54,22.939999999999998,-52.900000000000006,0.68,9,2009,,,,,,,,,,,,
2009-12-31,83.53999999999999,,,,,,,8.65,25.439999999999998,-1.17,118.28,0.03,2752.55,50.63,130.01999999999998,-54.50999999999999,0.92,12,2009,,,,,,,,,,,,
2010-03-31,80.57,,,,,,,8.9,24.91,-1.11,135.01,0.07,2748.62,50.1,70.79,-54.05,0.24,3,2010,,,,,,,,,,,,
2010-06-30,81.45000000000002,,,,,,,9.95,25.209999999999997,1.11,164.82,0.02,2753.72,56.26,82.7,-52.900000000000006,0.47,6,2010,,,,,,,,,,,,
2010-09-30,86.28,,,,,,,10.2,21.580000000000005,0.0,15.22,0.03,2762.32,57.08,-97.84,-51.749999999999986,0.69,9,2010,,,,,,,,,,,,
2010-12-31,88.77999999999997,,,,,,,10.3,22.00999999999999,-5.44,45.6,0.01,3926.42,201.85,-854.4,884.77,1.19,12,2010,,,,,,,,,,,,
2011-03-31,114.42,,,,,,,10.3,26.36,-1.27,269.85,0.02,3980.77,107.23,287.73,-63.48,0.0,3,2011,,,,,,,,,,,,
2011-06-30,116.64999999999999,,,,,,,10.8,28.160000000000004,-2.07,150.57,0.11,4040.94,143.25,-100.26000000000002,-19.020000000000003,0.25,6,2011,,,,,,,,,,,,
2011-09-30,120.63,,,,,,,11.0,31.43999999999999,-2.71,33.0,0.18,4036.28,117.54,-35.06999999999999,-82.5,0.5,9,2011,,,,,,,,,,,,
2011-12-31,81.25,,,,,,,11.2,26.35000000000001,-1.7599999999999998,35.83,0.27,4044.12,118.26,78.72999999999999,-75.9,0.73,12,2011,,,,,,,,,,,,
2012-03-31,115.47,,,,,,,11.7,29.16,-2.4,52.23,0.11,4081.67,121.78,95.6,-79.2,0.24,3,2012,,,,,,,,,,,,
2012-06-30,113.94999999999999,,,,,,,11.9,31.319999999999997,-2.0800000000000005,106.46,0.12,4072.08,117.84,136.73000000000002,-82.49999999999999,0.49,6,2012,,,,,,,,,,,,
2012-09-30,110.00000000000003,,,,,,,13.1,34.720000000000006,-2.3,27.79,0.13,4081.78,118.77,213.83,-82.5,0.74,9,2012,,,,,,,,,,,,
2012-12-31,111.80000000000001,,,,,,,14.7,31.819999999999993,6.78,30.43,0.3,4082.08,119.71,-129.81,-77.55000000000001,0.98,12,2012,,,,,,,,,,,,
2013-03-31,112.69,,,,,,,14.5,28.75,-2.02,80.96,0.13,4081.87,114.96,131.38,-80.85,0.25,3,2013,,,,,,,,,,,,
2013-06-30,114.07,,,,,,,13.4,30.590000000000003,-2.2600000000000002,240.19,1.12,4085.72,122.82,241.73000000000002,-82.5,0.5,6,2013,,,,,,,,,,,,
2013-09-30,114.09000000000003,,,,,,,12.8,32.86,-3.2399999999999993,244.17,0.63,4074.38,117.24,84.82999999999998,-80.85,0.74,9,2013,,,,,,,,,,,,
2013-12-31,116.97999999999996,,,,,,,11.9,30.11,-2.1900000000000013,255.49,0.4,4097.67,114.88,87.21999999999997,-75.90000000000003,0.97,12,2013,,,,,,,,,,,,
2014-03-31,115.2,,,,,,,11.6,30.99,-3.16,249.87,2.36,4083.92,116.33,81.83,-87.45,0.27,3,2014,,,,,,,,,,,,
2014-06-30,119.61999999999999,,,,,,,11.9,31.77,-1.8399999999999999,265.18,2.83,4098.58,114.18,87.26,-71.93999999999998,0.48,6,2014,,,,,,,,,,,,
2014-09-30,116.63,,,,,,,12.4,31.979999999999997,-2.91,70.91,0.77,4101.08,117.36,-108.48,-85.80000000000001,0.74,9,2014,,,,,,,,,,,,
2014-12-31,119.5,,,,,,,12.2,32.22,-2.0199999999999996,77.42,0.83,4108.66,111.64,82.41000000000001,-75.89999999999998,0.97,12,2014,,,,,,,,,,,,
2015-03-31,121.26,,,,,,,12.4,30.32,-2.27,75.98,3.85,4079.64,112.46,88.32,-89.76,0.27,3,2015,,,,,,,,,,,,
