,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2005-09-30,,,,,,,,,0.0,,,18.92,0.0,732.32,12.5,,,0.0,9,2005,,,,,,,,,,,,
2005-12-31,12.09,,,,,,,10.1,0.0,1.37,-0.04000000000000001,20.61,0.0,733.84,12.52,10.920000000000073,-9.230000000000018,0.13,12,2005,,,,,,,,,,,,
2006-03-31,12.2,,,,,,,10.0,0.0,1.37,-0.06,20.13,0.0,733.33,12.47,10.81,-11.29,0.16,3,2006,,,,,,,,,,,,
2006-06-30,12.21,,,,,,,10.0,0.0,1.44,-0.1,19.88,0.0,787.19,12.96,10.540000000000001,-10.79,0.31,6,2006,,,,,,,,,,,,
2006-09-30,12.379999999999999,,,,,,,10.1,0.0,1.4499999999999997,-0.04000000000000001,19.5,0.0,786.96,12.6,10.41,-10.79,0.46,9,2006,,,,,,,,,,,,
2006-12-31,13.020000000000003,,,,,,,10.0,0.0,1.87,-0.09999999999999998,321.66,0.0,1466.43,29.15,-349.59999999999997,651.75,0.72,12,2006,,,,,,,,,,,,
2007-03-31,26.2,,,,,,,10.2,0.0,2.55,-0.04,47.27,0.0,1487.63,26.7,-274.38,0.0,0.0,3,2007,,,,,,,,,,,,
2007-06-30,26.31,,,,,,,10.0,0.0,2.66,-0.10999999999999999,44.19,0.0,1508.81,26.7,24.379999999999995,-27.46,0.2,6,2007,,,,,,,,,,,,
2007-09-30,26.42000000000001,,,,,,,10.8,0.0,3.38,-0.76,44.14,0.0,1508.56,26.87,23.400000000000006,-23.46,0.37,9,2007,,,,,,,,,,,,
2007-12-31,26.419999999999987,,,,,,,10.4,0.0,2.9000000000000004,-0.2499999999999999,7.24,0.0,1541.46,26.95,-13.700000000000017,-23.189999999999998,0.54,12,2007,,,,,,,,,,,,
2008-06-30,-51.78999999999999,,,,,,,10.1,0.0,-5.96,0.8999999999999999,0.58,0.0,1562.35,27.41,281.24,26.5,0.35,6,2008,,,,,,,,,,,,
2008-12-31,53.94,,,,,,,10.0,0.0,5.7299999999999995,-0.36,3.75,0.0,1564.76,27.53,50.10000000000001,-46.92,0.69,12,2008,,,,,,,,,,,,
2009-06-30,-53.46,,,,,,,10.0,0.0,-5.779999999999999,0.45999999999999996,56.73,0.0,1574.81,27.42,3.339999999999989,53.13,0.3,6,2009,,,,,,,,,,,,
2009-12-31,54.309999999999995,,,,,,,9.6,0.0,6.049999999999999,-0.6799999999999999,49.37,0.0,1501.78,27.72,49.22,-56.580000000000005,0.71,12,2009,,,,,,,,,,,,
2010-06-30,-53.3,,,,,,,8.4,0.0,-6.239999999999999,0.84,50.42,0.0,1546.16,28.33,-94.12,48.99,0.36,6,2010,,,,,,,,,,,,
2010-12-31,55.53,,,,,,,8.0,0.0,5.29,0.0,1.09,0.0,1546.62,28.52,1.1799999999999997,-49.96,0.72,12,2010,,,,,,,,,,,,
2011-06-30,-54.129999999999995,,,,,,,8.3,0.0,-4.85,-0.63,17.87,0.0,1535.25,28.96,16.760000000000005,48.300000000000004,0.37,6,2011,,,,,,,,,,,,
2011-12-31,57.14,,,,,,,8.45,0.0,5.219999999999999,0.63,4.19,0.0,1503.27,25.95,37.11,-50.78000000000001,0.74,12,2011,,,,,,,,,,,,
2012-06-30,-80.58000000000001,,,,,,,8.25,0.0,-3.4099999999999993,0.0,1.74,0.0,1435.1,34.26,-69.03,63.480000000000004,0.28,6,2012,,,,,,,,,,,,
2012-12-31,35.29,,,,,,,8.35,0.0,16.91,0.0,2.92,0.0,1415.31,35.1,14.990000000000002,-13.799999999999997,0.38,12,2012,,,,,,,,,,,,
2013-06-30,-34.129999999999995,,,,,,,3.0,0.0,-12.299999999999999,0.0,7.81,2.07,1180.56,16.6,230.39999999999998,-224.25,0.0,6,2013,,,,,,,,,,,,
2013-12-31,21.309999999999995,,,,,,,3.76,0.0,11.450000000000001,-15.22,4.02,2.19,745.23,16.99,440.82000000000005,-445.57000000000005,0.23,12,2013,,,,,,,,,,,,
2014-06-30,-33.839999999999996,,,,,,,3.68,0.0,-14.680000000000001,8.830000000000002,2.69,2.21,746.55,16.77,-710.21,708.74,0.09,6,2014,,,,,,,,,,,,
2014-12-31,21.990000000000002,,,,,,,3.0,0.78,11.6,-5.47,2.91,0.1,740.59,10.97,10.780000000000001,-10.56,0.17,12,2014,,,,,,,,,,,,
2015-06-30,-21.17,,,,,,,2.98,0.22,-11.889999999999999,5.999999999999999,2.96,0.0,744.87,14.19,-10.930000000000001,12.09,0.08,6,2015,,,,,,,,,,,,
2015-12-31,20.019999999999996,,,,,,,2.78,0.0,9.429999999999998,-7.079999999999999,2.82,0.0,740.72,9.18,9.590000000000002,-9.73,0.15,12,2015,,,,,,,,,,,,
2016-06-30,-23.889999999999997,,,,,,,2.62,0.0,-9.379999999999999,10.02,2.37,0.0,732.8,10.62,-10.38,10.020000000000001,0.08,6,2016,,,,,,,,,,,,
2016-12-31,16.52,,,,,,,2.02,0.0,12.440000000000001,-3.33,2.69,0.0,730.14,10.78,6.99,-6.67,0.13,12,2016,,,,,,,,,,,,
2017-06-30,-19.52,,,,,,,1.92,0.0,-13.38,3.19,2.21,0.0,727.76,12.72,-12.940000000000001,12.59,0.04,6,2017,,,,,,,,,,,,
