,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2002-06-30,105.19999999999999,-31.44,-0.6232170142473673,0.0,-7.78,-20.36,-6.1000000000000005,4.09,0.0,125.57000000000001,-18.02,0.78,89.45,96.41,191.17,286.25,489.84,192.06,27.04,5.59,422.98,14.05,437.04,500.0,52.81,-31.18,-7.58,34.39,14.260000000000002,-1.6405200381679388,38.7,8.28,-0.96,-25.681734462110263,-14.100284947346685,-238.14680156927523,-116.30787528391492,-109.76409663431758,-25.51,-25.1,0.45,0.22,6,2002,0.0,50.44791666666667,-48.43
2002-09-30,97.34000000000003,-27.160000000000004,-0.5425532477840984,0.0,-7.550000000000001,-16.31,-2.3,3.17,0.0,113.65,-15.779999999999998,14.16,65.47,98.53,183.49,272.24,462.88,187.8,24.74,31.84,428.2,9.03,437.23,500.0,25.65,20.39,10.08,-17.089999999999996,14.009999999999998,-1.4611469072164947,61.84,17.05,-1.51,-23.469919301494905,-12.83443841778013,-423.55084005820873,-136.7377907130573,-184.71243286148965,-26.4,-26.04,0.43,0.2,9,2002,0.0,50.05960264900663,-75.59
2002-12-31,75.19,-43.519999999999996,-0.8695961716060783,0.0,-10.73,-32.82,-18.89,2.07,0.0,108.0,-21.200000000000003,1.58,43.89,105.86,163.85,556.39,723.37,193.13,24.08,31.02,436.64,7.7,444.34,500.0,279.03,-1.1599999999999997,1.28,-12.69,13.93,-0.5952763097426471,3.72,1.59,-2.38,-24.071006632524554,-18.341902443119803,-62.39169843002266,-91.5487465368147,-39.44605154898832,-32.99,-32.59,0.38,0.13,12,2002,0.0,50.04621848739496,-119.11
2003-03-31,85.02,-44.2,-0.8799999999999999,0.0,-27.96,-33.44,-19.6,3.36,0.19,118.46,-34.07,3.09,52.55,80.64,144.87,542.46,690.45,195.1,25.4,102.22,449.27,6.36,455.63,500.0,234.82,-5.85,0.2,7.17,13.84,-0.9525,7.14,1.94,-0.88,-25.599999999999998,-22.72,-75.28,-110.84,-55.47999999999999,-52.57,-51.99,0.32,0.14,3,2003,0.0,50.227272727272734,-44.2
2003-06-30,74.36999999999999,-33.61,-0.6695219123505975,0.0,-15.949999999999996,-22.54,-9.009999999999998,2.67,0.38,96.91000000000001,-22.560000000000002,8.15,51.07,85.81,150.44,528.8,682.36,200.44,31.51,106.72,479.93,1.22,481.14,500.0,201.22,-1.6500000000000004,0.27999999999999997,6.42,13.530000000000001,-0.9954864623623922,6.64,2.39,-1.55,-19.69690271173371,-16.500475517285697,-66.81396735638093,-105.84493509831641,-47.77362806837167,-49.32,-48.82,0.31,0.13,6,2003,0.0,50.2,-77.81
2003-09-30,95.51000000000002,-42.28,-0.8449662752935299,0.0,-15.82,-30.56000000000001,-17.259999999999998,3.66,0.57,126.06,-24.15,2.26,48.95,69.3,126.87,515.5,645.68,207.81,37.84,106.66,485.7,1.04,486.75,500.0,158.93,-5.02,-0.19999999999999996,-0.6699999999999999,13.3,-1.0864338930936615,11.52,3.06,-2.4,-26.19395453409943,-21.98320592888667,-106.40941960196518,-183.24501956865686,-76.17370971771172,-48.36,-47.11,0.26,0.12,9,2003,0.0,50.0375,-120.09
2003-12-31,86.71000000000001,-36.75,-0.7357498087222648,0.0,-14.369999999999997,-26.409999999999997,-13.220000000000006,1.65,0.76,113.13,-24.319999999999993,4.06,37.08,69.57,118.77,502.32,624.4,223.9,38.96,106.6,501.35,0.87,502.22,500.0,122.19,-2.0999999999999996,-0.010000000000000009,3.9099999999999984,13.189999999999998,-0.5548081632653062,6.74,4.11,-3.14,-23.54399387911247,-15.70849273144606,-120.30680948737567,-73.27505738332059,-86.03117827084927,-46.97,-45.91,0.24,0.1,12,2003,0.0,49.94904458598726,-156.84
2004-03-31,78.3,-33.11,-0.66,0.0,-24.44,-30.89,-17.85,1.83,0.0,109.19,-30.79,11.24,34.36,56.74,110.23,476.25,589.78,224.45,33.51,97.09,500.87,0.7,501.57,500.0,88.21,-7.96,0.0,15.14,13.04,-0.6925,10.37,5.69,-0.66,-22.44,-19.32,-150.16,-82.0,-138.96,-42.39,-42.29,0.22,0.11,3,2004,0.0,50.166666666666664,-33.11
2004-06-30,84.44000000000001,-29.560000000000002,-0.5801627573001437,0.0,-19.749999999999996,-17.939999999999998,-5.469999999999999,1.1,0.0,102.37,-25.490000000000002,5.61,36.65,59.64,108.03,463.79,575.17,236.14,26.76,97.05,511.3,0.52,511.83,523.45,63.34,-17.54,-0.01,11.919999999999998,12.470000000000002,-0.4717210757780784,9.09,8.08,-1.23,-20.565118876655497,-14.659722355193873,-186.67090473910963,-89.39223232806766,-144.23883835966174,-40.51,-38.51,0.21,0.09,6,2004,0.0,50.951219512195124,-62.67
2004-09-30,59.56999999999999,-85.57000000000001,-1.6682224770642202,0.0,-23.47,-72.65,-60.720000000000006,1.1,0.0,132.21999999999997,-30.879999999999995,2.2,34.33,42.58,87.15,371.37,513.46,453.66,22.75,0.7,535.33,0.35,535.68,523.45,-22.22,-11.18,-0.01,7.780000000000005,11.929999999999996,-0.16457637022320906,-25.91,-24.11,-2.89,-66.6596303291959,-48.39576902320562,1540.4216270912034,-500.7438181327577,1282.5340582838642,-72.05,-66.68,0.16,0.08,9,2004,0.0,51.294117647058826,-148.24
