,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-09-30,,,,,,,,,0.0,,,20.78,84.61,133.75,57.87,230.23,9.89,0.0,10.69,36.93,20.72,57.65,77.0,172.58,,,,,,0.0,0.33,0.41,0.0,0.0,,,,,,16.18,16.16,0.0,3.62,3.62,9,2005,,77.8780487804878,31.93
2005-12-31,98.16999999999999,21.86,0.2804127161182376,0.0,55.050000000000004,29.099999999999994,34.92999999999999,6.85,1.74,69.07,50.0,160.45,120.8,305.4,53.86,395.86,0.0,0.0,10.86,38.75,7.94,46.69,100.0,349.18,7.600000000000001,3.870000000000001,128.2,5.829999999999998,6.108585315645013,1.96,0.13,0.69,0.0,0.0,22.091645287228108,0.0,25.033946830265847,0.0,35.356385945343,18.22,18.19,0.0,7.88,7.88,12,2005,0.0,77.95652173913044,53.79
2006-03-31,72.94,8.69,0.09,0.5,20.97,11.32,17.11,7.35,0.0,61.62,15.08,179.33,113.36,318.58,54.58,409.81,0.0,0.0,12.57,93.94,8.0,101.94,100.0,307.87,22.05,-3.17,0.0,5.79,20.4175,2.39,0.33,0.09,0.5,5.56,8.48,0.0,11.279999999999998,0.0,14.32,12.07,11.91,0.0,3.39,3.39,3,2006,48.27777777777778,96.55555555555556,8.69
2006-06-30,73.49000000000001,1.83,0.019134980988593158,-0.00480566117448253,11.759999999999998,2.92,8.89,7.8,0.0,70.56,6.340000000000002,121.32,111.07,255.81,50.65,344.33,0.0,0.0,12.8,29.6,5.02,34.63,100.0,309.7,-4.870000000000001,-3.1399999999999997,-50.0,5.97,101.90890710382511,2.52,0.11,0.11,0.5,4.55,2.129201520912548,0.0,2.3657794676806083,0.0,3.1450950570342204,7.29,7.18,0.0,8.64,8.64,6,2006,-0.45959595959596555,95.63636363636363,10.52
2006-09-30,106.97999999999999,29.3,0.29432446007031643,0.019656636683256512,45.61000000000001,37.53,43.56999999999999,5.95,0.0,69.45999999999998,41.309999999999995,135.48,113.76,269.19,46.44,376.58,0.0,0.0,11.57,34.44,3.14,37.58,100.0,339.0,42.42,-19.78,-8.490000000000002,6.040000000000001,5.055645051194539,1.76,0.11,0.4,0.5,1.25,31.110095429432448,50.21175288799598,34.58312405826218,45.82631843294826,44.53129080863888,15.91,15.71,0.0,7.82,7.82,9,2006,1.9568181818181856,99.55,39.82
2006-12-31,77.57000000000002,0.759999999999998,0.0076786594381468495,0.34709832429768367,16.849999999999994,2.489999999999995,7.88000000000001,6.0,0.0,75.08000000000004,10.82,125.5,89.27,230.76,48.3,339.6,0.0,0.0,10.17,29.02,5.83,34.85,100.0,304.75,30.499999999999993,-1.6999999999999993,-38.77,5.390000000000001,195.2912500000005,1.97,0.11,0.41,0.85,2.07,0.8952193198619987,1.1057269590931464,0.9978511582060102,0.9296796451453894,1.3087432232626874,12.42,12.26,0.0,7.95,7.95,12,2006,34.35426829268294,98.97560975609757,40.58
2007-03-31,49.65,-6.86,-0.07,0.0,0.69,-6.3,1.72,5.8,0.0,55.95,-10.88,75.02,90.19,174.69,39.83,325.83,0.0,0.0,7.22,23.38,4.55,27.93,100.0,297.89,0.25,-46.5,-4.23,8.02,-20.715,1.95,0.09,-0.07,0.0,0.0,-8.44,-6.84,-9.2,-9.04,-8.32,-15.22,-13.82,0.0,7.47,7.47,3,2007,0.0,98.0,-6.86
2007-06-30,134.45,-88.02,-0.8813132377740303,0.0,114.03,-18.99,-14.700000000000001,6.1,0.0,153.44,38.1,235.46,58.76,303.3,36.68,5593.91,0.0,0.0,5.29,97.26,5295.96,5393.22,100.0,200.69,62.24,49.61,-39.22,4.290000000000001,-1.7300886162235856,3.04,26.87,-0.95,0.0,0.0,-6.308347386172007,-3.1541736930860034,-175.4462731871838,-137.9672681281619,-1.7069645868465433,-53.75,-51.54,0.0,3.12,3.12,6,2007,0.0,99.87368421052632,-94.88
2007-09-30,219.73999999999998,2.8599999999999994,0.02859378396000869,0.0,207.33,49.26,54.620000000000005,5.7,0.0,170.48000000000002,159.65,483.93,24.02,526.43,44.01,6393.79,0.0,0.0,3.6,153.61,6036.64,6190.24,100.0,203.55,-4697.29,6.220000000000001,5007.0199999999995,5.360000000000001,49.87097902097903,2.8,30.41,-0.92,0.0,0.0,0.1790219517496196,-0.08826776787654855,5.6205433601390995,4.216961530102151,-0.047241903933927396,-22.99,-22.79,0.0,3.43,3.43,9,2007,0.0,100.02173913043477,-92.02
2007-12-31,558.4200000000001,277.2,2.709428664002592,0.0,56.81,352.87,362.11,6.0,94.45,205.54999999999995,-43.48000000000002,1728.85,101.59,7902.86,224.81,8533.15,0.0,182.34,22.64,1277.4,5809.19,7086.6,125.0,655.54,962.9700000000003,536.05,-321.5699999999997,9.239999999999998,0.5528010461760463,1.14,10.81,1.81,0.0,0.0,12.993282211901931,50.8354681931094,169.1521762609353,230.94511286316015,31.076098930770062,36.55,19.24,0.0,6.19,6.19,12,2007,0.0,102.30939226519337,185.18
