,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda
2000-03-31,760.86,123.8,6.1899999999999995,2.5,,168.87,168.87
2000-06-30,671.17,108.14,5.408398723807882,2.4993532810209533,,146.89,146.89
2000-09-30,731.3,115.14999999999998,5.7560070874989195,2.502589261852982,,152.7,152.7
2000-12-31,802.77,109.53000000000003,5.476260128772285,2.4983833409678473,,172.57999999999998,172.57999999999998
2001-03-31,825.16,127.53,6.37,4.5,,172.41,172.41
2001-06-30,732.16,100.07,5.003500000000001,2.7454081632653056,,145.75000000000003,145.75000000000003
2001-09-30,711.6200000000001,184.51000000000002,9.227514741209871,2.748416684865693,,248.76999999999992,248.76999999999992
2001-12-31,711.06,120.67999999999995,6.034113252876366,2.751995755883729,,155.09000000000003,155.09000000000003
2002-03-31,855.62,146.62,7.33,3.7499999999999996,,189.73,189.73
2002-06-30,764.4899999999999,175.01,5.833122532102105,3.9998921548953468,,228.71,228.71
2002-09-30,762.55,115.85000000000002,3.860960501051477,2.7505823933614364,,145.42000000000002,145.42000000000002
2002-12-31,374.7600000000002,26.079999999999984,0.8692208128397613,2.749505659723444,,109.61000000000001,109.61000000000001
2003-03-31,672.26,68.36,2.28,0.0,,136.11,136.11
2003-06-30,769.8,158.19,5.271836239240785,6.5,,202.55,202.55
2003-09-30,765.3699999999999,110.07999999999998,3.669006327421798,2.7491445202969116,,171.22999999999996,171.22999999999996
2003-12-31,839.79,294.33000000000004,9.810067040699886,2.750055269739211,,298.89,298.89
2004-03-31,780.15,101.58,3.39,0.0,,176.54,176.54
2004-06-30,874.2700000000001,139.07,3.5656010804072302,6.5,,188.1,188.1
2004-09-30,894.1500000000001,177.24999999999997,4.54682938502034,2.746659805937148,,207.56000000000006,207.56000000000006
2004-12-31,952.6499999999996,193.14999999999998,4.953212503068489,2.7527719825917463,,229.8499999999999,229.8499999999999
2005-03-31,978.17,148.06,3.8,0.0,,225.21,225.21
2005-06-30,1012.84,136.3,3.4942572795048528,6.5,,134.21,134.21
2005-09-30,1033.7900000000002,234.29999999999995,6.00815563182046,2.74835550162318,,300.65000000000003,300.65000000000003
2005-12-31,1118.8999999999996,76.24000000000001,1.9543788872079342,2.753045466667173,,192.7399999999999,192.7399999999999
2006-03-31,1136.88,187.83,4.82,0.0,,307.47,307.47
2006-06-30,1123.54,176.59,3.4841175017836563,6.5,,187.57999999999998,187.57999999999998
2006-09-30,1101.6100000000001,136.07999999999998,2.683535664335664,2.7531963585788355,,167.39000000000004,167.39000000000004
2006-12-31,1184.6699999999996,92.78999999999996,1.8298690353789877,2.7498772621332956,,147.8699999999999,147.8699999999999
2007-03-31,1178.98,159.05,3.14,3.7499999999999996,,250.11,250.11
2007-06-30,1209.4899999999998,107.03999999999996,2.111917020556954,2.7522894353785285,,134.07999999999998,134.07999999999998
2007-09-30,1249.0600000000004,232.95000000000005,4.593275088169285,2.7540548710667343,,249.98999999999995,249.98999999999995
2007-12-31,1263.7099999999996,208.70999999999998,4.11669600847757,2.7468941136603164,,243.87,243.87
2008-03-31,1287.02,252.82,4.99,0.0,,362.35,362.35
2008-06-30,1262.13,326.02000000000004,6.432085550411168,6.5,,377.15999999999997,377.15999999999997
2008-09-30,1275.9,259.89,5.125106530111001,2.7529065188898003,,281.88,281.88
2008-12-31,1260.67,42.59000000000003,0.8398926610084878,2.749939970636547,,68.13,68.13
2009-03-31,1322.64,276.7,5.46,3.75,,355.94,355.94
2009-06-30,1314.1499999999999,207.17000000000002,4.084571889143778,2.7531400337525955,,290.13000000000005,290.13000000000005
2009-09-30,1388.7800000000002,303.16999999999996,5.97834722504574,2.748873895471416,,357.2299999999999,357.2299999999999
2009-12-31,1455.6699999999996,152.25,3.0035372462178884,2.7461481654326976,,279.6200000000001,279.6200000000001
2010-03-31,1553.34,387.8,5.1,3.75,,494.75,494.75
2010-06-30,1596.93,479.7,6.3093682997118155,2.749535514493982,,597.6300000000001,597.6300000000001
2010-09-30,2508.4500000000003,300.1700000000001,3.945986023448406,2.7534100922361655,,370.3799999999999,370.3799999999999
2010-12-31,1829.4299999999994,64.68999999999983,0.8503830049660791,2.750230801038191,,203.83999999999992,203.83999999999992
2011-03-31,2047.02,363.81,4.78,3.7500000000000004,,501.65,501.65
2011-06-30,2223.4199999999996,587.0799999999999,7.717506756827812,2.7480440037875105,,718.62,718.62
2011-09-30,2341.3600000000006,552.68,7.267026876035036,2.748453975538219,,682.21,682.21
2011-12-31,2325.3900000000003,-1451.54,-18.97073226984432,2.8058030603915047,,-1459.83,-1459.83
2012-03-31,2592.75,86.6,1.14,3.75,,86.6,86.6
2012-06-30,3105.24,185.54,2.440777540971559,2.752557700564338,,187.04999999999998,187.04999999999998
2012-09-30,2835.74,58.710000000000036,0.7719162762581233,2.7534792725357,,161.83000000000004,161.83000000000004
2012-12-31,2748.710000000001,294.91999999999996,3.878727967144478,2.747295102548601,,271.72,271.72
2013-03-31,2770.64,389.5,5.12,3.75,,440.81,440.81
2013-06-30,2919.1,526.27,6.9190853598611,2.749330097554517,,617.01,617.01
2013-09-30,2887.2800000000007,550.0999999999999,7.235244598770696,2.7474327152831823,,693.8900000000001,693.8900000000001
2013-12-31,2743.369999999999,282.60000000000014,3.715805246872982,2.75278519365016,,380.3600000000001,380.3600000000001
2014-03-31,2992.62,627.19,5.89,3.75,,736.88,736.88
2014-06-30,3050.5200000000004,411.75,3.86805782817102,2.7487634729441974,,437.0200000000001,437.0200000000001
2014-09-30,3051.669999999999,863.1599999999999,8.109284054466116,2.7495231920112446,,1032.73,1032.73
